,Price,Location,URL,Date,Title,num image,text,condition,make / manufacturer,model name / number,bicycle frame material,bicycle type,brake type,electric assist,frame size,handlebar type,suspension,wheel size,size / dimensions,serial number,part type
0,1000.0,auburn,https://auburn.craigslist.org/mcd/d/fayetteville-bad-credit-no-credit-ok-we/7467438584.html,2022-04-05 15:32,"BAD CREDIT, NO CREDIT, OK! WE WORK WITH EVERYONE!",10,"WE SHIP NATIONWIDE, FINANCE NATIONWIDE! YOU SEE IT! WE SHIP IT! NO PROBLEM!  FINANCING AVAILABLE. WE CAN GET ALMOST EVERYONE ON A MOTORCYCLE. COME SEE OUR EXPERIENCED AND TRUSTED FINANCE TEAM WHO WILL WORK WITH YOU REGARDLESS OF CREDIT TO MAKE YOU HAPPY.  FLIP MY CYCLE ONLINE IS A GREAT PLACE TO START TO LOOK.  Slow pay, bad credit, no credit, divorce, bankruptcy, judgement, past repos and first time buyers. Have you been turned down before? We can get you riding. We have many lenders that can help you rebuild your credit. We have many finance options available from zero down to minimal down payments. You can apply on line at Flip My Cycle. We are located at 6216 Yadkin Road , Fayetteville, NC 28303. WE WELCOME ALL CUSTOMERS REGARDLESS OF THEIR CREDIT SCORE.  FLIPMYCYCLE.COM HAS OVER 80 MOTORCYCLES TO CHOOSE FROM RANGING IN PRICE FROM $2,000 TO $23,000. WE KEEP OUR BIKES CLEAN AND WITH LOW MILES. A LARGE VARIETY AND GREAT PRICES. WE OFFER BIKES FROM 300cc TO 1800cc. SO, IF YOU RIDE SPORT OR CRUISER WE HAVE THEM ALL. FIRST TIME RIDERS DON'T WORRY WE CAN TEACH YOU AND HELP YOU FIND THE RIGHT BIKE. CHECK US OUT ON THE WEB OR BROWSE OUR PICTURES.   FLIP MY CYCLE IS YOUR 1 STOP SHOP. WE DO EVERYTHING FROM BUYING YOUR MOTORCYCLE, SELLING YOUR MOTORCYCLE OR REPAIRS. WE HAVE MORE THAN MOST, WITH PRICES BETTER THAN THE REST, WORKING 7 DAYS A WEEK TO BE BETTER THAN THE REST.  GIVE US A CALL AT 910-779-0737 OR VISIT OUR WEBSITE TO GET PRE-APPROVED NO MATTER YOUR CREDIT. NO CREDIT OR BAD CREDIT IS OUR SPECIALTY.  WE ARE VETERAN OWNED AND OPERATED LOOKING OUT FOR OUR BROTHERS AND SISTERS IN ARMS.  SUZUKI GSXR 600, 750, 1000, YAMAHA R1, R6, BMW, DUCATI, TRIUMPH, HARLEY DAVIDSON, STREET GLIDE, ROAD KING, 883, IRON, TRAIN, WIDE GLIDE, KAWASAKI, ZX 10, ZX-14, 636, ZX 6, HONDA CBR 600, CBR 1000, ULTRA GLIDE, 675, 1300, HAYABUSA, 110, 1800, 103, 96 VICTORY, JACKPOT, HIGH BALL, HONDA",,,,,,,,,,,,,,
1,1.0,auburn,https://auburn.craigslist.org/for/d/defuniak-springs-atvs/7471450438.html,2022-04-17 13:32,Atv’s,23,"Used and New atv’s , go karts and dirt bikes for sale. We also sell parts and repair on all kinds of small engines.",,,,,,,,,,,,,,
2,8795.0,auburn,https://auburn.craigslist.org/fod/d/fairburn-2017-club-car-precedent-seater/7472154287.html,2022-04-16 14:51,2017 Club Car Precedent 4 Seater Gas Alabama Crimson Tide Golf Cart,20,"Very Nice 2017 Club Car Precedent EFI Gas Alabama Crimson Tide ""Roll Tide"" Edition 4 seater Golf Cart engine with the powerful and popular Subaru Fuel injected engine. 20+ MPH. Brand new LED headlights, brake lights, taillights, turn signals, and horn. New 6"" A-Arm lift kit, Brand new 14"" Wheels and 22"" All terrain Tires. Custom Upholstery with custom rear cupholders. Rear view mirror. New tinted windscreen. Nice body with commercial grade Vinyl . Very good condition. Scratches on rear passenger bumper and scratch on front cowl. Very Nice for 2017 cart!  Roll Tide  https://southatlantagolfcarts.com/2811     SOUTH ATLANTA GOLF CART. GAS AND 48V ELECTRIC 4 AND 6 SEATERS    Atlanta GA - delivery available   PRICES START AT $2995. Visit www.southatlantagolfcarts.com for our selection and prices     WWW.SOUTHATLANTAGOLFCARTS.COM    We are located in Atlanta Georgia  Please visit www.southatlantagolfcarts.com for photos and prices.  South Atlanta Golf Carts LLC  770-284-1941   WWW.SOUTHATLANTAGOLFCARTS.COM   We have the best deals around and we ship nationally as well as internationally. Our partners have contracts with the top golf cart manufacturers, and top golf courses in the continental U.S. Thus, we are able to bring you the best prices you will find on the market. Whether you want a beautiful pre-owned cart or a brand new one, we can make it happen. You want something completely custom? We can do that too. Gas or electric? 4 seats or 6 seats? Just something to cruise the back 9 in? We have you covered! Our inventory changes every week and we sell on average between 6-8 carts per week so make sure and check our website or give us a call. All of our carts are completely inspected prior to leaving our facility.   - New and Used - Carts just for golfing - Gas or Electric - Complete Custom Builds - 2, 4, and 6 seaters available  Our custom carts are rebuilt from the ground up. Everything is removed down to the frame and then reassembled, tailored to your specifications. This is a one off completely custom cart that is catered to your golf cart desire. Choose your colors for the body and seats. You have a favorite team? How about your company logo? We'll throw on some custom wheels along with the Bluetooth radio and USB charging ports. You'll enjoy brand-new lift kit with 14"" wheels and 23"" tires. Brand-new headlights, taillights, brake lights, turn signals, and a horn. Tinted Fold down Windscreen.  Ez-go, Yamaha, and Club Car   ***FINANCING AVAILABLE ON NEW CARTS***    Payment options are cash, cashapp, venmo, zelle, wire transfer, and credit card (3% convenience fee added and credit card must be present). Payment must be made in full before delivery can take place. We have accounts with Bank of America, Suntrust, and Wells Fargo.    WWW.SOUTHATLANTAGOLFCARTS.COM   770-284-1941    WWW.SOUTHATLANTAGOLFCARTS.COM   *Custom Wheels and Tires *Lift Kits *Bluetooth Radios *Armrests *Charger Ports *Heated Seats *Neon lights *Brushguards and Nerf Bars *Seatbelts *Custom paint jobs *Infinite Options     Bama Tickets Tuscalossa nick saban tickets sec west championship champions heisman football     four wheeler, 4 wheeler, Atv, quad, power wheel, scooter, moped,dirtbike,pitbike,4x2,4x4, gator, 4wheeler, dirt bike  SCOOTER, DIRTBIKE, 4 WHEELER, FOR SALE, MOTORCYCLE, 2STROKE, 4STROKE, ATV, HONDA, RM,125, 250, 450,KTM, KAWASAKI,2 WHEELER, BIKE, VALERO, APOLO, ORION, SHARK, ARAI, AFX, OFFROAD, TRAIL BIKES, GO CARTS, GO KARTS, SUZUKI, XR, FMF, RACING, MOTORSPORTS, YAMAHA, BANSHEE, AUTOMOBILES, CARS,BIKES, TRIKES, COOLSTER, GATOR,LINHAI, GOLF GOLFCART BATTERIES 6V 8V 24V ELECTRIC CHARGER EZGO RXV TXT EZ GO CLUBCAR CLUB CAR  YAMAHA E Z GO CLUB CAR TOMBERLIN STAR TROJAN 48 VOLT EFI FUEL INJECTED  Trailer Atlanta, EZ-GO RXV, Polaris Ranger, Suzuki, Rhino, Club Car  Yamaha golfcart Yamaha golf cart Yamaha gas golf cart Yamaha cart efi yamaha drive g-29 kart yamaha gas golf cart  Peachtree city, refurbished golf carts, ezgo rxv golf cars, 48 volt electric, gas powered, hunting, 18 inch 12 inch all terrain off road Augusta Newnan Griffin Conyers McDonough Peachtree City Fayetteville Yamaha Club Car Star Car accessories lift kit golf cart repair custom golf cart  EZGO TXT, RXV, club car, president, L4, L6, Limo, 6 passenger, 4 passenger, 2 passenger, 8 passenger, 2 person, 4 person, 6 person, 8 person, gas golf cart, Harley Davidson, Victory, Kawasaki, Yamaha, Suzuki, Triumph, Slingshot, Chevrolet, Chopper, Dodge, Ram F150, F250, F350, hot rod, V8 EZ-GO TXT drive club car tomberlin star   golf cart 48 volt 36 volt ezgo Yamaha club car star tumberlin bad boy buggy 4x4 go cart ds rxv txt drive g16 g22 g29 freedom battery gas lifted custom lowered 14 wheel new used certified pre owned rear seat kit led lights charger stereo turn signal horn brake light street legal windshield seat belts batteries paint fender flares cup holder extended roof two tone seats brush guard rear grab bar golf cart cover carbon fiber dash 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018  go kart, go karts, gokart, gokarts, go cart, go carts, mini bike, 4 wheeler, double seat go kart, go karts for sale, used go karts, electric start gokarts, go kart, go karts, go cart, go carts, mini cars, mini car, replica cars, replica car, replica truck, replica trucks, mini-car, mini-tractors, mini-tractors, Shrine vehicles, parade vehicles, shrine vehicle, parade vehicle, gokart, gokarts, gocart, gocarts, fiberglass mini truck, fiberglass mini tractor trailer, mini tractor trailor, 110cc go kart, 125cc gokart, 150cc gokart, 150cc go kart, 200 cc gokart, 200cc gokart, 200cc go kart, 200 cc go kart. SR-71, Go kart, Go karts, Side by side, www.southatlantagolfcarts.com , double seat go kart, gokart, gocart, go karts, gokarts, gocarts, go kart, go cart, go carts, ATV, go kart, go karts, go cart, go carts, mini cars, mini car, replica cars, replica car, replica truck, replica trucks, mini-car, mini-tractors, mini-tractors, Shrine vehicles, parade vehicles, shrine vehicle, parade vehicle, gokart, gokarts, gocart, gocarts, fiberglass mini truck, fiberglass mini tractor trailer, mini tractor trailor, 110cc go kart, 125cc gokart, 150cc gokart, 150cc go kart, 200 cc gokart, 200cc gokart, 200cc go kart, 200 cc go kart, gokart, go kart, gokarts, go karts, go cart, go carts, gocart, gocarts, youth gokarts, youth go karts, youth gokart, youth go kart, youth gocart, youth go carts, youth gocarts, youth go cart, kart, karts, cart, carts, UTV, ATV, UTVS, ATVS, side by side, side by sides, XBox, Play Station, 4 wheelers, 4 wheeler, Go kart, Go karts, mini cars, parade vehicles, promotions, go kart, go karts, go cart, go carts, mini cars, mini car, replica cars, replica car, replica truck, replica trucks, mini-car, mini-tractors, mini-tractors, Shrine vehicles, parade vehicles, shrine vehicle, parade vehicle, gokart, gokarts, gocart, gocarts, fiberglass mini truck, fiberglass mini tractor trailer, mini tractor trailor, 110cc go kart, 125cc gokart, 150cc gokart, 150cc go kart, 200 cc gokart, 200cc gokart, 200cc go kart, 200 cc go kart. Honda, quad, power wheels,Carter, motorcycle, motorsports, 50cc, 70cc, 80cc, 90cc, 110cc, 1225cc, 150cc, 177cc, 200cc, 225cc, 250cc, hammerhead, kandi, cougar, taotao, off road kart, buggie, linhai, hammer head, trailmaster, manco, murray, yerfdog, dongfang, hamilton bro. briggs, briggs & stratton, 6.5 hp, 6 hp, 5hp, torque-a-verter, torque converter, cdi, gy6, clutch, 35 chain, 40 chain, 420 chain, 41 chain, master link, preditor, 213 preditor, gokart motor, go kart motor, go kart engine, tecumseh, trail kart. do NOT contact me with unsolicited services or offers read would real sentence by will him stand call like give", excellent,,,,,,,,,,,,,
3,30.0,auburn,https://auburn.craigslist.org/bop/d/opelika-thule-961xt-speedway-bike-strap/7468966301.html,2022-04-16 09:07,Thule 961XT Speedway Bike Strap Rear Rack Carrier,6,"Thule 961XT Speedway - Bike Strap Rear Rack Carrier - Holds 2 Bikes and is designed to prevent bikes from swaying.  Used but still in excellent condition.  The foam has not deteriorated and is fully adjustable depending on your vehicle.  Any cosmetic wear, such as scratches are from normal use.  The item is fully operational and functions as intended.    $30 or best offer. Cash only Thanks for looking!",, Thule, 961XT Speedway,,,,,,,,,,,
4,112.0,auburn,https://auburn.craigslist.org/sgd/d/full-garage-gym-squat-rack-dumbbells/7471685378.html,2022-04-15 12:52,"Full Garage Gym-Squat Rack, Dumbbells- Financing Available",4,"Full Garage Gym Setup- Squat Rack, Adjustable Bench, Dumbbells, Bumper Plates, Rower & More  _____________________________________________________________________________ Offered By: BodyKore Fitness Equipment- 949-503-9266- Text or call for more info _____________________________________________________________________________ We have a huge inventory of Commercial Fitness Equipment. Most of our equipment have lifetime warranties and are built for health clubs and commercial gyms. The same equipment you will use at 24 Hour Fitness, LA Fitness, Anytime Fitness, Chuze Fitness, Planet Fitness, Gold's Gym and more! Our state of the art equipment is offered at low low prices and we even offer Easy Financing! Garage Gym Equipment Package  Commercial Squat Cage and Adjustable Bench 5-50lb Rubber Dumbbell Set w/ Rack 300lb Rubber Olympic Grip Plate Set w/ Bar Choice of Rowing Machine or Air Bike  *Low Price of $4000! Or as low as $140/month  IN STOCK READY TO SHIP! This package doesn't work for you? No problem, Equipment packages are fully customizable. We have plenty of stock! .  ____________________________________________________________________________ Commercial Fitness Equipment: Smith Machines, Leg Press, Hack Squat, Squat Racks, Olympic Benches, Military Benches, Utility Benches, Flat Benches, Lat Machines, Seated Calf Raise, Back Hyperextension, Roman Chairs, Power Towers, Chin/Dip Tower, Vertical Knee Raises (VKR), Dual Adjustable Pulley Systems (DAPS), Plate Loaded Machines, Selectorized Strength Machines, Hip Abductor, Leg Extension, Cable Cross, Chest Press Functional Training Equipment: Group Training Rack Systems, Storage Racks, Crossfit Rigs, Olympic Lifting Platforms, Bumper Plates, Kettlebells, Wall Balls, Slam Balls, TRX, Suspension Trainers, Resistance Bands, Yoga Bands, Yoga Mats, Power Bags, Maces, Clubbells, Battle Ropes, Plyoboxes Cardio Equipment: Treadmills, Ellipticals, Steppers, Stepmills, Air runners, Manual Treadmills, Crosstrainers, Airbikes, Spin Bikes, Recumbant Bikes, Upright Bikes, Climbers, Rowers  _____________________________________________________________________ Financing available. 12 Months NO INTEREST on a 48 month term (on approved credit). Payments as low as $99 per month! FOR MORE PICTURES AND INFORMATION VISIT OUR WEBSITE www.bodykore.com PLEASE CONTACT US AT (949) 325-3088  Precor, Technogym, Rogue, Titan, lifefitness, woodway, star trac, nautilus, Deadlift, bumperplate, olympic bar, crossfit, cross fit, weightlifting, smith machine, squatrack, benchpress, gym equipment, treadmill, airdyne, assault, maces, clubbell, dumb bell, Concept 2, marpo BodyKore Fitness Equipment - QUALITY EQUIPMENT, BEST PRICES, EZ FINANCING! 💥💥💥 12 MONTH ZERO INTEREST WITH NO PRE-PAYMENT PENALTY We have a huge inventory of Commercial Fitness Equipment. Most of our equipment have lifetime warranties and are built for health clubs and commercial gyms. The same equipment you will use at 24 Hour Fitness, LA Fitness, Anytime Fitness, Chuze Fitness, Planet Fitness, Gold's Gym and more! Our state of the art equipment is offered at low low prices and we even offer Easy Financing! apply online : http://www.bodykore.com/finance BodyKore Fitness Equipment Phone: (949) 325-3088 Website: www.bodykore.com 📲 ☎️ Call or text 949-503-9266 for quick answers to your questions about this GARAGE GYM EQUIPMENT PACKAGE Check out some of our other equipment for your home gym:      Your message will always be answered by a real human — never an automated system. Kettlebell, Kettlebells, Olympic, Weights, Bench, Press, Squat, Resistance, Bands, Spin, Bike, Bikes, Spinning, Karate, Kung-Fu, Jiu Jitsu, Judo, Kickboxing, BJJ, JiuJitsu, MMA, Muay Thai, Muaythai, Kickboxing, Boxing, Gloves, Flat, Incline, Decline, Cable Machine, Cardio, Treadmill, Elliptical, Oliptical, Pull-Ups, Chin-Ups, Push-Ups, Chest, Arm, Legs, Bicep, Tricep, Shoulder, Gym Bells, Yoga Mats, Aerobics, Quadriceps, Hamstrings, Glutes, Abs, Stomach, Waist, Fat, Muscle, Body, Calves, Gravity Boots, Extension, Lats, Pulldown, Training, Intense, Extreme, Strength, Endurance, Bumper Plates, Olympic Rings, Appearance, Physical, Sports, Baseball, Basketball, Football, Martial Arts, Soccer, Track & Field, Power, Bodybuilding, Nutrition, Heavy, Bars, Tension, Gympak, Bodykore, Kore, Core, Yoga, Foam, Roller, Brake Pads, Pedal, Exercise, Startrac, Star Trac, Precor, Life Fitness, Lifefitness, Lifestride, Soloflex, Jump Rope, Forarm, Power, Blaster, Aerobics, Swimming, Cross Fit, Cross Kick, Apollo, Bodymasters, Steppers, Climbers, Strength Circuit Machines, Cable Station System, Rubber Flooring, Rubber Floor Mats, Smith Machine, Treadmill Belts, Replacement Parts, Medicine Balls, Punching Bags, Barbells, Racks, Rope, Attachments, Dip Belt, Workout Belt, Ab Straps, Thai Pads, Banana Bag, Kick Pad, Headgear, Power Systems, BOSU, tapout,forearm, bicep, arms, soloflex, body by jake, boflex, ab slider, lower back extension, lat pull down, Olympic rings, squat stands, squat racks, training ropes, climbing ropes, Power Racks, Bumper Plates, Rubber Flooring, Rubber Dumbbells, Cushbell and more!!! Ab / Back Equipment Flat and Olympic Benches Hyperextension Bench & Roman Chair Abdominal Equipment Back Equipment Inversion Tables Fitness Accessories Gym Flooring / Equipment Mats Jump Ropes Weight Training Accessories Door Gym Pull Up Bar Hand Strength & Forearm Cable Attachments Collars & Adapters Heart Rate Monitors Wrist, Ankle and Body Weights Scales & Body Fat Testers Squat Bar Pads Foam Product and Rollers Parts Fitness Exercise Gym Equipment Pull Up Bar, Chin Up Bar, Push up Bar and Dip Bars Reading Racks & Water Bottle Holders Exercise Mats Bosu® Ball Exercise Balls and Accessories Exercise Balls Bars & Collars Resistance Training Weight Pins & Leashes As Seen On TV Back Equipment Inversion Tables Door Gym Pull Up Bar Foam Equipment Packages Olympic Bumper Plates Bars GHDs Kettlebells Free Weight Equipment Medicine Balls Concept 2 Rowers Gymnastics Equipment Dumbbells Sandbags Pull-up Bars Training Accessories Plyometric Boxes D-Balls Mats Jump Ropes Climbing Ropes Flooring Bar Holders Gift Certificates Weight Storage home commercial treadmill treadmills elliptical ellipticals exercise bike bikes stepper steppers abcoaster gym equipment new used refurbished free weight dumbbells circuit strength selectorized Orange Co. Riverside Co. Newport Beach Life Fitness parabody tuff stuff repair service Product and Rollers Benches Flat and Olympic Benches Hyperextension Bench & Roman Chair Abdominal Equipment Back Equipment Boxing / Martial Arts Balazs Boxing Chin and Pull Up Bars TKO Fitness Accessories TKO Medicine and Stability Balls TKO Skip Jump Ropes TKO Vest and Ankle Weights TKO Weightlifting Belts and Straps Pull Up Bar, Chin Up Bar, Push up Bar and Dip Bars treadmill Commercial Fitness Equipment Commercial Ellipticals Cross Trainers Commercial Steppers Commercial Exercise Bikes Commercial Treadmills Commercial Rowing Machines Dumbbell Dumbbells / Weights Used Fitness Equipment Physical Therapy, Medical & Rehabilitation Equipment Aquatics Cardio Equipment Indoor Cycling Bikes and Spin Bikes Dumbbells / Weights Plates Dumbbells Barbell Sets Weight Trees Weight Training Accessories Wrist, Ankle and Body Weights Bars & Collars Hand Strength & Forearm Elliptical Trainers / Cross Trainers", new, BodyKore, G703,,,,,,,,,,,
5,167.0,auburn,https://auburn.craigslist.org/sgd/d/home-gym-setup-squat-rackfunctional/7463303177.html,2022-03-26 14:27,"Home Gym Setup-Squat Rack,Functional Trainer,Bench, Dumbbells, Weights",7,"Home Gym Setup- Squat Rack,Functional Trainer, Adjustable Bench, Olympic Weight Set, Dumbbell Set- Financing Available  _____________________________________________________________________________ Offered By: BodyKore Fitness Equipment- 949-503-9266- Text or call for more info _____________________________________________________________________________ Home Gym Equipment Package  Commercial Squat Cage Commercial Adjustable Bench Commercial Dual Adjustable Pulley System 300lb Rubber Olympic Grip Plate Set w/ Bar 5-50lb Rubber Hex Dumbbell Set w/ Rack  *Low Price of $6000! Or as low as $209/month *Monthly payment subject to approval through Bread Financing.  Term options include 12 month & 18 month no interest or up to 36 months interest variable.  Other financing options may be available if credit does not qualify.  IN STOCK READY TO SHIP! Check out the full package here: https://bodykore.com/product/garage-gym-package/ This package doesn't work for you? No problem, Equipment packages are fully customizable. We have plenty of stock! . Check out some of our other equipment for your home gym:       ____________________________________________________________________________ We have a huge inventory of Commercial Fitness Equipment. Most of our equipment have lifetime warranties and are built for health clubs and commercial gyms. The same equipment you will use at 24 Hour Fitness, LA Fitness, Anytime Fitness, Chuze Fitness, Planet Fitness, Gold's Gym and more! Our state of the art equipment is offered at low low prices and we even offer Easy Financing! Commercial Fitness Equipment: Smith Machines, Leg Press, Hack Squat, Squat Racks, Olympic Benches, Military Benches, Utility Benches, Flat Benches, Lat Machines, Seated Calf Raise, Back Hyperextension, Roman Chairs, Power Towers, Chin/Dip Tower, Vertical Knee Raises (VKR), Dual Adjustable Pulley Systems (DAPS), Plate Loaded Machines, Selectorized Strength Machines, Hip Abductor, Leg Extension, Cable Cross, Chest Press Functional Training Equipment: Group Training Rack Systems, Storage Racks, Crossfit Rigs, Olympic Lifting Platforms, Bumper Plates, Kettlebells, Wall Balls, Slam Balls, TRX, Suspension Trainers, Resistance Bands, Yoga Bands, Yoga Mats, Power Bags, Maces, Clubbells, Battle Ropes, Plyoboxes Cardio Equipment: Treadmills, Ellipticals, Steppers, Stepmills, Air runners, Manual Treadmills, Crosstrainers, Airbikes, Spin Bikes, Recumbant Bikes, Upright Bikes, Climbers, Rowers  _____________________________________________________________________ Financing available. 12 Months NO INTEREST on a 48 month term (on approved credit). Payments as low as $99 per month! FOR MORE PICTURES AND INFORMATION VISIT OUR WEBSITE www.bodykore.com PLEASE CONTACT US AT (949) 325-3088  Precor, Technogym, Rogue, Titan, lifefitness, woodway, star trac, nautilus, Deadlift, bumperplate, olympic bar, crossfit, cross fit, weightlifting, smith machine, squatrack, benchpress, gym equipment, treadmill, airdyne, assault, maces, clubbell, dumb bell, Concept 2, marpo BodyKore Fitness Equipment - QUALITY EQUIPMENT, BEST PRICES, EZ FINANCING! 💥💥💥 12 MONTH ZERO INTEREST WITH NO PRE-PAYMENT PENALTY apply online : https://bodykore.com/finance-application/ BodyKore Fitness Equipment Phone: (949) 325-3088 Website: www.bodykore.com 📲 ☎️ Call or text (949) 503-9266 for quick answers to your questions about this GARAGE GYM EQUIPMENT PACKAGE Check out some of our other equipment for your home gym:      Your message will always be answered by a real human — never an automated system. We have a huge inventory of Commercial Fitness Equipment. Most of our equipment have lifetime warranties and are built for health clubs and commercial gyms. The same equipment you will use at 24 Hour Fitness, LA Fitness, Anytime Fitness, Chuze Fitness, Planet Fitness, Gold's Gym and more! Our state of the art equipment is offered at low low prices and we even offer Easy Financing! Kettlebell, Kettlebells, Olympic, Weights, Bench, Press, Squat, Resistance, Bands, Spin, Bike, Bikes, Spinning, Karate, Kung-Fu, Jiu Jitsu, Judo, Kickboxing, BJJ, JiuJitsu, MMA, Muay Thai, Muaythai, Kickboxing, Boxing, Gloves, Flat, Incline, Decline, Cable Machine, Cardio, Treadmill, Elliptical, Oliptical, Pull-Ups, Chin-Ups, Push-Ups, Chest, Arm, Legs, Bicep, Tricep, Shoulder, Gym Bells, Yoga Mats, Aerobics, Quadriceps, Hamstrings, Glutes, Abs, Stomach, Waist, Fat, Muscle, Body, Calves, Gravity Boots, Extension, Lats, Pulldown, Training, Intense, Extreme, Strength, Endurance, Bumper Plates, Olympic Rings, Appearance, Physical, Sports, Baseball, Basketball, Football, Martial Arts, Soccer, Track & Field, Power, Bodybuilding, Nutrition, Heavy, Bars, Tension, Gympak, Bodykore, Kore, Core, Yoga, Foam, Roller, Brake Pads, Pedal, Exercise, Startrac, Star Trac, Precor, Life Fitness, Lifefitness, Lifestride, Soloflex, Jump Rope, Forarm, Power, Blaster, Aerobics, Swimming, Cross Fit, Cross Kick, Apollo, Bodymasters, Steppers, Climbers, Strength Circuit Machines, Cable Station System, Rubber Flooring, Rubber Floor Mats, Smith Machine, Treadmill Belts, Replacement Parts, Medicine Balls, Punching Bags, Barbells, Racks, Rope, Attachments, Dip Belt, Workout Belt, Ab Straps, Thai Pads, Banana Bag, Kick Pad, Headgear, Power Systems, BOSU, tapout,forearm, bicep, arms, soloflex, body by jake, boflex, ab slider, lower back extension, lat pull down, Olympic rings, squat stands, squat racks, training ropes, climbing ropes, Power Racks, Bumper Plates, Rubber Flooring, Rubber Dumbbells, Cushbell and more!!! Ab / Back Equipment Flat and Olympic Benches Hyperextension Bench & Roman Chair Abdominal Equipment Back Equipment Inversion Tables Fitness Accessories Gym Flooring / Equipment Mats Jump Ropes Weight Training Accessories Door Gym Pull Up Bar Hand Strength & Forearm Cable Attachments Collars & Adapters Heart Rate Monitors Wrist, Ankle and Body Weights Scales & Body Fat Testers Squat Bar Pads Foam Product and Rollers Parts Fitness Exercise Gym Equipment Pull Up Bar, Chin Up Bar, Push up Bar and Dip Bars Reading Racks & Water Bottle Holders Exercise Mats Bosu® Ball Exercise Balls and Accessories Exercise Balls Bars & Collars Resistance Training Weight Pins & Leashes As Seen On TV Back Equipment Inversion Tables Door Gym Pull Up Bar Foam Equipment Packages Olympic Bumper Plates Bars GHDs Kettlebells Free Weight Equipment Medicine Balls Concept 2 Rowers Gymnastics Equipment Dumbbells Sandbags Pull-up Bars Training Accessories Plyometric Boxes D-Balls Mats Jump Ropes Climbing Ropes Flooring Bar Holders Gift Certificates Weight Storage home commercial treadmill treadmills elliptical ellipticals exercise bike bikes stepper steppers abcoaster gym equipment new used refurbished free weight dumbbells circuit strength selectorized Orange Co. Riverside Co. Newport Beach Life Fitness parabody tuff stuff repair service Product and Rollers Benches Flat and Olympic Benches Hyperextension Bench & Roman Chair Abdominal Equipment Back Equipment Boxing / Martial Arts Balazs Boxing Chin and Pull Up Bars TKO Fitness Accessories TKO Medicine and Stability Balls TKO Skip Jump Ropes TKO Vest and Ankle Weights TKO Weightlifting Belts and Straps Pull Up Bar, Chin Up Bar, Push up Bar and Dip Bars treadmill Commercial Fitness Equipment Commercial Ellipticals Cross Trainers Commercial Steppers Commercial Exercise Bikes Commercial Treadmills Commercial Rowing Machines Dumbbell Dumbbells / Weights Used Fitness Equipment Physical Therapy, Medical & Rehabilitation Equipment Aquatics Cardio Equipment Indoor Cycling Bikes and Spin Bikes Dumbbells / Weights Plates Dumbbells Barbell Sets Weight Trees Weight Training Accessories Wrist, Ankle and Body Weights Bars & Collars Hand Strength & Forearm Elliptical Trainers / Cross Trainers", new, BodyKore,,,,,,,,,,,,
6,125.0,auburn,https://auburn.craigslist.org/bik/d/opelika-trek-4300-mountain-bike/7466248374.html,2022-04-02 17:32,Trek 4300 Mountain bike,9,"Trek 4300 Mountain bike. Silver in Color. 24 Speeds. Has a new chain. 18"" (46cm) height and it fits me at 5'9"".  Tires in good shape.  CASH ONLY.", good, Trek, 4300, aluminum, mountain, cantilever, none, Medium, flat, suspension fork (hardtail), 26 in,,,
7,75.0,auburn,https://auburn.craigslist.org/bik/d/auburn-giant-revel-blk-gry-poor/7459186732.html,2022-03-16 17:43,"Giant Revel (BLK, GRY) [Poor condition]",0,"Giant Revel Mountain bike left outside, chain rusted, tires rotted, gears not shifting properly. Willing to send pictures and arrange to meet.", salvage,,, aluminum, mountain, disc (mechanical),,,,,,,,
8,500.0,auburn,https://bham.craigslist.org/snw/d/talladega-coleman-mini-bikes-bt200x/7472807461.html,2022-04-18 13:02,2 Coleman mini bikes BT200X,0,I have 2 Coleman mini bikes that have been sitting. Both will need carbs cleaned and the pull rope on one has been pulled out. Wasn’t rode much just need gone. $500. Text 2zero5 7five3 ninenine45 for any more info.,,,,,,,,,,,,,,
9,1.0,auburn,https://bham.craigslist.org/bik/d/springville-mountain-bikes-children/7472692510.html,2022-04-18 09:36,Mountain bikes / children bikes,18,"I have a Vertical PK7 21 speed mountain bike with 26 inch tires for an adult. Nothing wrong with it. Has a kickstand and nice cushioned seat. Asking $65  I have a Magna Excitor 21 speed mountain bike with 26 inch tires for an adult. Has a kickstand and nice cushioned seat. Asking $65  I have a neon green MADD Gear truck bike for kids. Front and back brakes. Nothing wrong with it. Has a kickstand. Asking $25  I have a pacific MTB synergy bicycle for sale. It hasn’t been used in a while so will need the tires aired up etc. It does have gears. It has a kickstand. Asking $15  Call or text 205-4o1-9889, thanks.",,,, alloy, mountain,,, Large,,, other/unknown,,,
