,Price,Location,URL,Date,Title,part type,num image,text,bicycle frame material,bicycle type,frame size,wheel size,condition,make / manufacturer,brake type,model name / number,size / dimensions,electric assist,handlebar type,serial number,suspension
37235,5.0,austin,https://austin.craigslist.org/bop/d/austin-training-wheels-for-wheeled-bikes/7472947390.html,2022-04-18 17:40,"Training Wheels for 14""-16"" wheeled bikes", wheels and wheel parts,2,"New Schwinn training wheels, still in the box. Very sturdy. For bikes with wheel size 14"" - 16"".  Located near Metric and Parmer. If you see this ad, they are available.  If you reply by text, please say you are looking at the training wheels, since I am likely selling several things.",,,,,,,,,,,,,
37236,65.0,austin,https://austin.craigslist.org/bik/d/austin-hitch-mount-bicycle-rack/7470841974.html,2022-04-18 12:28,Hitch mount Bicycle Rack Carriers -3 Bikes,,8,"$60--    UNKNOWN BRAND-no label--.   3-bike trunk mount bike rack.  Fits 1 1/4"" hitch without the metal sleeve or 2"" hitch with sleeve. Rack arms fold down when not in use.  Entire rack folds down for access to back of vehicle.   Rubber straps and cradles secure bikes.  $80--   SPORTRACK -- Heavy duty hitch mount 3-bike carrier fits into  2"" receiver hitch.   Both rack and arms fold when not in use.  Rubber cradles and straps with stabalizers secure bikes.  show contact info  (cash only)", other/unknown, other, not applicable, other/unknown,,,,,,,,,
37237,100.0,austin,https://austin.craigslist.org/bik/d/pflugerville-two-huffy-beach-bikes/7472786641.html,2022-04-18 12:24,Two Huffy Beach Bikes,,0,One women’s Beach Cruiser $50 One men’s Bay Pointe Beach Bike $50 Both bikes need air in the tires; tires should be good but may need replaced. I can’t figure out the frame size. These are adult bikes., other/unknown, cruiser," 54 cm, Medium", 26 in, good, Huffy,,,,,,,
37238,20.0,austin,https://austin.craigslist.org/bop/d/cedar-park-bikes-for-parts/7471365639.html,2022-04-18 02:49,Bikes for parts,,7,Maxim (broken brake line) & Magna (busted chain) mountain bikes $25 each $40 for both,,,,,,,,,,,,,
37239,120.0,austin,https://austin.craigslist.org/bik/d/austin-53cm-brooklyn-bikes-single-speed/7472547716.html,2022-04-17 18:58,53cm Brooklyn Bikes Single Speed,,0,Good shape. Needs air in tires. Haven't ridden in a year. $120 obo. Text only. 77three-4one2-318seven, steel, road, 53cm, 25 in, good, Brooklyn,,,,,,,
37240,100.0,austin,https://austin.craigslist.org/bik/d/austin-buy-bike-parts-and-used-bikes/7461823568.html,2022-04-17 09:59,I buy bike parts and used bikes needing repairs,,0,"Reply with a pic or 2 of what you are wanting to sell and what you want for it.  Mountain bikes, road bikes, hybrids, bmx, kids bikes, tandems and trikes, vintage/antique bikes. No department store bikes.", other/unknown, other, any, other/unknown,,,,,,,,,
37241,100.0,austin,https://austin.craigslist.org/bop/d/austin-trailer-hitch-bicycle-carrier/7472202038.html,2022-04-16 16:50,Trailer Hitch Bicycle Carrier holds 2 bikes,,4,Heavy duty bike holder for 1.25” receiver Xport Performance bicycle carrier made in the USA,,,,,,,,,,,,,
37242,400.0,austin,https://austin.craigslist.org/bik/d/taylor-bikes/7472136142.html,2022-04-16 14:17,Bikes,,2,"Two road bikes, 1 men 1 women and a trail bike. All they need is a tune up. Barely used.  All three for $400.  show contact info", alloy, road, Not sure, 26 in,," Fuji, Trek, Raleigh",,,,,,,
37243,150.0,austin,https://austin.craigslist.org/bik/d/kyle-schwinn-bikes/7471884322.html,2022-04-15 21:12,2 Schwinn Bikes,,0,"2 Schwinn bikes His and hers Good condition, no issues $125 for both", aluminum, other, 26 in, 26 in,, Schwinn, caliper, Point Blank and Del Mar,,,,,
37244,30.0,austin,https://austin.craigslist.org/bik/d/cedar-park-boys-bikes/7466610008.html,2022-04-14 20:03,Boys bikes,,0,"Two boys bikes for sale, together or individually. $30 each, $50 for both.", steel, kids, 16”, 16 in, good, Mongoose / ozone,,,,,,,
