,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,frame size,wheel size,num image,text,condition,make / manufacturer,model name / number,part type,size / dimensions,brake type,electric assist,handlebar type,suspension,serial number
17575,80.0,boston,https://boston.craigslist.org/sob/bik/d/bridgewater-bmx-bikes/7470917505.html,2022-04-18 20:37,BMX bikes, other/unknown, bmx," 20""", 20 in,8,"I am selling 2 BMX bikes.  Both purchased from B and B Bike Shop in Bridgewater.   1.  White Free Agent Champ.  20” wheels but smaller frame than other bike.  Has both pedal brakes and rear wheel hand brake.   Only ridden a couple times for about 100 feet with training wheels (not on bike now, nor included).  Purchased  4/2017.  Been stored in basement since. Son outgrew before he learned to ride.  Paid $230 Asking $80  2. Orange and gray Raleigh Rep IV. 20” Freewheel. Rear wheel hand brake.  Used sparingly for two summers.  Road use only. Purchased 4/2017.  Paid $200 Asking $80",,,,,,,,,,
17576,185.0,boston,https://boston.craigslist.org/nos/bik/d/lynn-pair-of-bikes-schwinn-and-pacific/7472809095.html,2022-04-18 14:05,Pair of Bikes (Schwinn and Pacific), other/unknown, other, medium, other/unknown,6,Pair of bikes for sale:  Schwinn Cross-Fit and Pacific Trailblazer sold as a pair., fair, schwinn, cross-fit,,,,,,,
17577,25.0,boston,https://boston.craigslist.org/gbs/bop/d/cambridge-mens-womens-bikes-for/7472705993.html,2022-04-18 11:04,Men's & Women's Bikes for discount today.,,,,,18,Large selection of Bikes & Bike racks too starting at just $25. Some bike shoes left too-large size. Can be picked up today-Patriots Day. You are also covered by my Triple AAA Umbrella (If you're not a member) on the day of transaction but all bikes are road worthy & ready to ride. The white bike is attached to a trainer for inside the home riding. Thank you., like new, All., See pics., other, All sizes& extra lightweight.,,,,,
17578,500.0,boston,https://boston.craigslist.org/gbs/bik/d/boston-searching-for-80s-90s-bmx-bikes/7460627587.html,2022-04-18 09:19,"Searching for 80s 90s BMX Bikes - Mongoose, Hutch, Redline, DiamondB", steel, bmx, 18, 20 in,14,"Looking to purchase any 1980s and 1990s BMX bikes, any condition, rusted or broken, I collect and restore BMX.  Please email pictures and details and I'll respond immediately.      Supergoose Patterson Expert Pro Class Hutch Redline Diamond Back GT SkyWay Webco Moto mags Team Decades Californian  Anything you got, email me pictures and I will respond immediately with a quote, thanks!",, mongoose, hutch,,,,,,,
17579,25.0,boston,https://boston.craigslist.org/gbs/bik/d/brighton-kids-bikes-25-tricycle-10/7461423028.html,2022-04-18 08:49,2 KIDS Bikes $25-Tricycle $10, steel, kids, small, 20 in,2,Telephone  show contact info  Landline No Texts No Emails,,,,,,,,,,
17580,1600.0,boston,https://boston.craigslist.org/nwb/mcy/d/lowell-dirt-bikes/7472625476.html,2022-04-18 06:20,dirt bikes,,,,,6,Brand new 125 pit bikes 4 speeds 1600 each 3000 for both call 9787612732,,,,,,,,,,
17581,900.0,boston,https://boston.craigslist.org/nos/hab/d/north-reading-home-commercial-gym/7470133410.html,2022-04-17 21:07,HOME COMMERCIAL GYM EQUIPMENT PRECOR STRENGTH TRAINING BIKES,,,,,8,Vision Fitness Bike ES600 Indoor Cycle $175  Vision Fitness E3600HRT Commercial  Upright Fitness Bike $250  PRECOR USA Strength Training System - Measures 8’7” long x 3’ wide x 79”high $900, good,,,,,,,,,
17582,59.0,boston,https://boston.craigslist.org/nwb/bik/d/methuen-women-bikes-for-sale/7472549382.html,2022-04-17 20:04,3 women bikes for sale, other/unknown, road, 26 inch, 26 in,0,"I have 3 nice female bike for sale ,only $59 each,call  show contact info  . no emails",,,,,,,,,,
17583,500.0,boston,https://boston.craigslist.org/gbs/bik/d/somerville-se-bikes-so-cal-flyer-24/7471704621.html,2022-04-17 20:00,"SE Bikes So Cal Flyer 24"" w Hookworm Tires & Pegs", aluminum, bmx," 21.3"" Top Tube", 24 in,8,"SE Bikes So Cal Flyer 24"" Wheels. Just tuned up and ready to ride BMX style cruiser.  Delivery is available for a small fee.  Lightweight 6061 aluminum floval tubing frame with internal headset, mid bottom bracket and SE Wave dropouts Double-wall rims with alloy hubs New SE Bozack 24” x 2.4” Tires Flyer seat with super grippy top cover SE Bikes Life grips with rubber end plugs Retro top-load stem with hidden top cap for a clean look 3-piece tubular cranks with custom SE Racing sprocket SE nylon fiber pedals SE Wheelie pegs and alloy valve caps included 28.3 pounds  Also have some wethepeople 20"" BMX bikes available.  Feel free to text for faster reply  show contact info",, SE Bikes, So Cal Flyer,,,,,,,
17584,40.0,boston,https://boston.craigslist.org/bmw/bop/d/dedham-se-bikes-bmx-pegs/7471568555.html,2022-04-17 19:02,SE Bikes BMX pegs,,,,,4,SE Bikes wheelie pegs set  Brand new in the plastic wrap  Fits 14mm and 3/8 axles (includes adapters). Gold color Deep knurling for ultimate grip  $40.00  show contact info  Call or text  Thank you     Bike Bike's peg peg's bicycle bicycles bicycle's mx motocross moto cross new stock nwt big ripper so cal flyer freestyle trick tricks riding accessories accessory upgrade custom, new, SE Bikes, Wheelie Pegs,," 4"" long",,,,,
