,Price,Location,URL,Date,Title,num image,bicycle frame material,bicycle type,frame size,wheel size,text,condition,make / manufacturer,part type,size / dimensions,handlebar type,model name / number,brake type,electric assist,suspension,serial number
5495,300.0,boulder,https://boulder.craigslist.org/bik/d/boulder-small-medium-specialized/7470621089.html,2022-04-17 22:48,Small / Medium Specialized Mountain Bikes x 4 - Tuned Up,0,,,,,,,,,,,,,,,
5496,1200.0,boulder,https://boulder.craigslist.org/bik/d/lafayette-radwagon-electric-cargo-bike/7472180710.html,2022-04-16 14:55,Radwagon electric cargo bike,0,,,,,,,,,,,,,,,
5497,70.0,boulder,https://boulder.craigslist.org/bik/d/longmont-adult-cruiser-bikes/7472172814.html,2022-04-16 14:36,Adult Cruiser bikes,3, aluminum, cruiser, 26, 26 in,1 male and 1 female cruiser bikes. 26” frames with 7 speeds lightly used. $35 each OBO.,,,,,,,,,,
5498,200.0,boulder,https://boulder.craigslist.org/bid/d/boulder-quality-secondhand-bikes-for/7472097159.html,2022-04-16 11:55,Quality Secondhand Bikes For Sale -- Restored to Like New Condition!,0, other/unknown, other, Various, other/unknown,"I have several used bicycles available in various sizes. (Bikes in this ad are sold.) I have mostly commuters or mountain bikes as well as a few road bikes in the $200-300 range. I was professionally trained as a bike mechanic. Now in my spare time I enjoy restoring and fixing up bikes to bring them new life and add value to our community in Boulder. Most of the bikes have new shifters, tires, grips, etc. and some have been substantially upgraded. The  majority of my bikes are brand names like Trek, Giant, Gary Fisher, Specialized, Bianchi, GT, & Diamondback.   Reach out if you're looking for a quality bike in excellent condition and don't want to add to the consumer stream or pay sticker price for a new one.  Keywords: commuter , mountain , kids , women's , time trial , step through , hybrid , full suspension , hardtail , road bike , Boulder .",,,,,,,,,,
5499,100.0,boulder,https://boulder.craigslist.org/for/d/longmont-bike-hitch-rack-up-to-bikes-by/7468788336.html,2022-04-16 09:58,Bike Hitch Rack (up to 4 bikes)- by Yakima,0,,,,,,,,,,,,,,,
5500,250.0,boulder,https://boulder.craigslist.org/bop/d/lafayette-ns-bikes-dirt-jump-wheelset/7471843420.html,2022-04-15 17:48,NS Bikes Dirt Jump Wheelset (single speed) w / Tires,6,,,,,"NS Bikes Dirt Jump Wheelset (single speed), Specialized Rhythm Lite Tires – 26” Axles: FW: 20x110mm | RW: 10x135mm Bolt-On – black Came off 2018-2019 NS Dirt Jump bike. Very little use, straight rims, no dings/etc Includes disc brake rotor Wheelset has Stay Tru Single Speed hub with 10 tooth cog driver *    *Note: Stay Tru hubs use their own 10 tooth driver and there are no replacements available. As such, you will need to run a BMX style (not mountain bike) crank so you can run a small enough front chainring to have a gear ratio that is in normal dirt jumper range.  You can’t get a mountain bike chainring smaller than 28 tooth and this with the 10 tooth driver is really too much gear for dirt jumping. With the BMX style crank you can drop into the low 20 tooth size chainrings and get the gear you need.", excellent, NS Bikes, wheels and wheel parts," 26""",,,,,,
5501,50.0,boulder,https://boulder.craigslist.org/bik/d/lafayette-bikes/7470502894.html,2022-04-14 16:37,Bikes,3, other/unknown, other, Unknown, other/unknown,$50 each,,,,,,,,,,
5502,460.0,boulder,https://boulder.craigslist.org/spo/d/boulder-brand-new-seasucker-mini-bomber/7470798277.html,2022-04-13 10:59,Brand New Seasucker Mini Bomber Race - 2 Bikes,3,,,,,"I have a brand new Seasucker Mini Bomber Race (for 2 Bikes) bike race for sale.   https://www.seasucker.com/products/mini-bomber-1?gclid=EAIaIQobChMIqPbG37-R9wIV4Qh9Ch3fuQRtEAAYASAAEgJkJPD_BwE  I decided to go in a different direction with my bike rack.   Box has been opened for pics. Items has never been used.  Cash or Venmo Only. Serious Inquires only.   If you are interested, leave message me with a contact number so I can call or text you.",,,,,,,,,,
5503,1500.0,boulder,https://boulder.craigslist.org/bik/d/louisville-fabulous-cruiser-bike/7470534442.html,2022-04-12 16:47,Fabulous Cruiser E-bike,0,,,,,,,,,,,,,,,
5504,275.0,boulder,https://boulder.craigslist.org/bik/d/lafayette-womens-beach-cruiser-bikes/7469220643.html,2022-04-09 15:05,2 womens Beach Cruiser bikes,2, steel, cruiser, 26in, 26 in,2 white 26 in Beach Cruiser bike. One still in original box. i paid over $700. with shipping for both. $500. for both this weekend.  need gone ASAP, new, VANLOFE womens Beach Cruiser,,, cruiser, Ty,,,,
5505,275.0,boulder,https://boulder.craigslist.org/app/d/lafayette-brand-new-bikes/7469212562.html,2022-04-09 14:47,2 Brand New Bikes,2,,,,,selling two brand new beach cruiser bicycle one put together one still in the box. I paid over $700 for a both for 365 for each bike 130 for shipping.￼ need gone ASAP BUY BOTH FOR $500. this weekend￼, new, VANLOFE WOMENS,, 26,, Beach Cruiser,,,,
5506,40.0,boulder,https://boulder.craigslist.org/bop/d/louisville-ns-bikes-legeaters-dh-pedals/7454469968.html,2022-04-03 16:58,NS Bikes Legeaters DH Pedals,2,,,,,"Taken off of a bike I picked up recently. These seem like absolute tanks that will shrug off anything you throw at them, but I already had pedals I wanted to put on this bike. The pedal body is slightly concave to lock your shoe in. Perfect for your lift-only park bike. Bearings spin very smoothly, no axle play, and I replaced all of the missing/seriously damaged setscrews.  Pickup in Louisville only. Looking for $40 or I'll just keep them for my own bike park days.", good, NS Bikes, pedals,,, Legeaters,,,,
5507,1050.0,boulder,https://boulder.craigslist.org/bik/d/boulder-all-city/7465871952.html,2022-04-01 18:14,All City,6, steel, road, 58 cm, 700C,"Capable of tackling ambitious centuries, speedy gravel jaunts, urban commutes, and loaded touring, the nimble and dependable Space Horse offers unmatched elegance, comfort, inspiration, and fun.  The space horse is one of All-City Bikes’ most versatile bikes.  Promoted as a lightweight touring bike, the 612 Select Chromoly Steel frames contain plenty of mounting points for bottles, fenders, and other storage solutions.  The wide tire clearance allows for tires up to 45mm on 700c wheels (only available on frame sizes 49-61cm), or 47mm on 650b   Shimano Tiagra 10-speed groupset.   Shimano PD-A530 pedals - Dual efficient step-in SPD and a concave stable platform  https://allcitycycles.com/bikes/space_horse_tiagra", excellent, All City Bikes,,, drop, Space Horse Tiagra, disc (mechanical), none, frame and fork (full suspension),
5508,350.0,boulder,https://boulder.craigslist.org/bik/d/longmont-jetson-bolt-pro-electric-bikes/7463311514.html,2022-03-26 13:49,Jetson Bolt Pro electric bikes,4, alloy, folding, Small, 14 in,"Selling 2 Jetson Bolt Pro electric bikes.  Basically brand new.  They were purchased for putting in an RV and using when on the road. Collapsible and ready to go!  Great bikes just really hard for my 70 year old mother to handle.  Probably ridden 3 miles max.  They are all charged up and ready for a test spin.  $350 each.  Please call or text only.  Thanks, Kelly", like new, Jetson,,,, Bolt Pro collapsible, disc (mechanical), throttle,,
5509,299.0,boulder,https://boulder.craigslist.org/bik/d/erie-public-bikes-c1-size-medium/7450775809.html,2022-03-24 16:30,Public Bikes C1 Size Medium,6, steel, hybrid/comfort,,,"Excellent used condition. Gently ridden and always stored indoors. Includes all original components. Very comfortable, reliable, Dutch style bicycle.", excellent,,,,,, caliper,,,
5510,25.0,boulder,https://boulder.craigslist.org/spo/d/boulder-yakima-roof-rack-for-road-bikes/7460694808.html,2022-03-20 12:01,Yakima Roof Rack for Road Bikes,0,,,,,"Mounts for attaching road bike to the top of car.   (please text or email, i probably won’t answer the phone from an unknown number because of spam.)", good, Yakima,,,,,,,,
5511,300.0,boulder,https://boulder.craigslist.org/bik/d/boulder-trek-2300-pro-56-cm-great-low/7473000802.html,2022-04-18 19:09,"Trek 2300 Pro 56 cm — Great, Low-cost, Starter Road Bike",0,,,,,,,,,,,,,,,
5512,80.0,boulder,https://boulder.craigslist.org/clo/d/boulder-new-harley-davidson-riding/7466324676.html,2022-04-18 17:08,New - Harley Davidson Riding Boots Size 9,7,,,,,New with Tags -- Harley Davidson Black Motorcycle Boots Metal Emblem  Women's Size 9 US  Model  84145  Located in South Boulder   bikes biker bikers cycles motorbike motorcycles hog, new, Harley Davidson,, 9,, 84145,,,,
5513,100.0,boulder,https://boulder.craigslist.org/bik/d/boulder-adams-original-folder-one-trail/7467114849.html,2022-04-18 17:07,Adams Original Folder One Trail-A-Bike for children,6, steel, kids, 20, 16 in,"Adams Original Folder One Trail-A-Bike Bicycle Trailer Attachment  Kids Ride Along Trailer  Great Condition - Retail $360  Includes New Coupler Attachment   Located in South Boulder  the Folder One is the original that continues to set the bar for the hitch bike category. Featuring the patented Adams hitch that is often imitated but never duplicated, the Folder One offers unmatched safety and durability for years of enjoyment. Backed by a lifetime warranty, the Folder One is the best way to introduce 4-6 year-olds to the joys of cycling.  - Steel frame, designed for children aged 4-6 - Simple single-speed is easy to pedal and ride - Patented, folding frame for easy storage and transport - Compatible with most 26"" and 700c lead bicycles - Low center of gravity offers increased stability to parents and children - Best-in-class steel hitch + 4 adapters will fit almost any seatpost - Full chainguard and bashguard for enhanced durability  bicycle bike children child kid learning bikes cycles tag a long trailers",, Adams,,,, Folder One,,,,
