,Price,Location,URL,Date,Title,num image,text,bicycle frame material,bicycle type,frame size,wheel size,condition,brake type,electric assist,handlebar type,suspension,make / manufacturer,model name / number,part type,serial number,size / dimensions,year manufactured,length overall (LOA),propulsion type,engine hours (total)
28507,40.0,charlotte,https://charlotte.craigslist.org/bop/d/charlotte-bike-rack-for-bikes/7471195968.html,2022-04-18 18:05,Bike rack for 2 bikes,2,"Like new, used maybe 2 times, don’t need anymore.",,,,,,,,,,,,,,,,,,
28508,1.0,charlotte,https://charlotte.craigslist.org/bik/d/huntersville-vintage-70s-bikes-murray/7472786323.html,2022-04-18 13:23,2 Vintage 70's Bikes - Murray and Huffy,20,I am selling 2 vintage bikes from the 70's. One is a Huffy and the other is an All Pro made by Murray. See pics for details. Everything original to each bike.  Taking offers for both., steel, hybrid/comfort, NA, 27 in,,,,,,,,,,,,,,
28509,120.0,charlotte,https://charlotte.craigslist.org/bop/d/harrisburg-yakima-bike-rack-bikes-hitch/7471362122.html,2022-04-18 09:55,"YAKIMA Bike Rack / 4 Bikes / Hitch Mount / 1.25"" and 2"" - EC!",0,,,,,,,,,,,,,,,,,,,
28510,35.0,charlotte,https://charlotte.craigslist.org/bop/d/harrisburg-allen-bike-rack-bikes-trunk/7470863550.html,2022-04-18 09:53,ALLEN Bike Rack / 3 Bikes / Trunk Mount - LIKE NEW!,2,I have an Allen bike rack for sale. It is CLEAN and in LIKE NEW condition. It is designed to be trunk mounted on most vehicles and holds 3 bikes.,,,,, like new,,,,,,,,,,,,,
28511,35.0,charlotte,https://charlotte.craigslist.org/spo/d/harrisburg-bell-bike-rack-bikes-trunk/7470863346.html,2022-04-18 09:53,BELL Bike Rack / 3 Bikes / Trunk Mount / New In the Box - NEW!,2,"I have a Bell bike rack for sale.  It is CLEAN and in NEW condition.  This rack is designed to be trunk mounted and holds up to 3 bikes.  It fits most vehicles.  It's in the original box and removed for pictures only.  I'll be glad to test fit it on your vehicle, if desired.",,,,, new,,,,,,,,,,,,,
28512,30.0,charlotte,https://charlotte.craigslist.org/bop/d/harrisburg-allen-bike-rack-bikes-trunk/7462503026.html,2022-04-18 09:54,ALLEN Bike Rack / 2 Bikes / Trunk Mount - LIKE NEW!,3,I have an Allen bike rack for sale.  It is CLEAN and in LIKE NEW condition.  It is designed to be trunk mounted on most vehicles and holds 2 bikes.,,,,, like new,,,,,,,,,,,,,
28513,25.0,charlotte,https://charlotte.craigslist.org/bop/d/harrisburg-rhode-gear-bike-rack-bikes/7464868405.html,2022-04-18 09:54,RHODE GEAR Bike Rack / 2 Bikes / Trunk Mount - NEW!,0,,,,,,,,,,,,,,,,,,,
28514,35.0,charlotte,https://charlotte.craigslist.org/bop/d/harrisburg-bell-bike-rack-bikes-trunk/7470851911.html,2022-04-18 09:52,BELL Bike Rack / 3 Bikes / Trunk Mount - NEW!,0,,,,,,,,,,,,,,,,,,,
28515,300.0,charlotte,https://charlotte.craigslist.org/bik/d/charlotte-pair-of-schwinn-bikes-mens/7472508177.html,2022-04-17 17:38,Pair of Schwinn Bikes - 1 Men's & 1 Women's,6,2 Schwinn Network Bikes in perfect condtion.  Barely used!  1 Men's and 1 Women's.   Email if you'd like to purchase. Thanks!, steel, road," 17""", other/unknown,,,,,,,,,,,,,,
28516,300.0,charlotte,https://charlotte.craigslist.org/bik/d/charlotte-two-mountain-bikes-for-sale/7470457655.html,2022-04-12 15:58,two mountain bikes for sale,5,Schwynn hybrid- $200 Jeep Comanche- $100, other/unknown, mountain, unknown adult, other/unknown, excellent, other/unknown, none, other/unknown, other/unknown,,,,,,,,,
28517,160.0,charlotte,https://charlotte.craigslist.org/bik/d/charlotte-2x-mountain-bikes-gauntlet-18/7469695195.html,2022-04-10 22:12,2x Mountain Bikes Gauntlet 18 Speed,7,Selling both bikes for $160.  Both bikes were stored inside and only used a few times.  Tires are in great condition and seats have been upgraded to bigger foam seats.  63x24x40 inches (LxWxH), steel, mountain, 24 inches, 24 in, excellent,,,,, NEXT, Gauntlet,,,,,,,
