,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,frame size,wheel size,num image,text,condition,make / manufacturer,model name / number,electric assist,handlebar type,suspension,part type,paint color,year manufactured,serial number,brake type,size / dimensions
2759,30.0,chico,https://chico.craigslist.org/bik/d/chico-bikes-for-one/7469613523.html,2022-04-17 13:12,2 bikes for one, aluminum, kids, teen, 24 in,0,2 bikes one is ready to ride other is a huffy or for parts 24 inch wheels. huffy needs a tube thats it. best tubes in chico sports limited   mangrove    purple bike is la jola.,,,,,,,,,,,,
2760,75.0,chico,https://chico.craigslist.org/bik/d/chico-20-inch-kids-mountain-bike-bikes/7472294554.html,2022-04-16 21:03,20 inch Kids Mountain Bike (2 Bikes), alloy, mountain, Small, 20 in,7,These have been my kids bikes for a couple of years. They have grown out of them and are selling them for $75 each bike. Email if you’d like to check them out.,,,,,,,,,,,,
2761,2000.0,chico,https://chico.craigslist.org/for/d/oroville-go-cart-and-dirt-bikes/7470938820.html,2022-04-13 14:29,Go cart and 2 dirt bikes,,,,,2,Selling all 3 together all 125cc none of it running. Just needs a tune up or new engine easy fix just have no time to mess with it. Firm on price for all 3 good projects.  All 3 have extra parts worth more then asking price.,,,,,,,,,,,,
2762,200.0,chico,https://chico.craigslist.org/bik/d/magalia-womens-bikes-for-sale/7470133507.html,2022-04-11 17:58,4 womens bikes for sale, steel, hybrid/comfort, medium, 26 in,11,"Raleigh LTD-3 speed, original brooks seat, made in england needs shifter cable stop.  Murray 3 speed touring, made in USA, needs seat but still works.  Schwinn Link (city series) 21 speed, front basket.  Specialized Crossroads 21 speed   Bikes have been cleaned and lubed since pictures. Looking to sell all 4 together $200 CASH! Don't give a shit if I sell them so please don't waste our time.", good, Raleigh, LTD-3,,,,,,,,,
2763,200.0,chico,https://chico.craigslist.org/bik/d/chico-sweet-childrens-bikes/7463240074.html,2022-03-26 10:32,Sweet children's bikes, other/unknown, road, Not sure, other/unknown,2,Children's road bike & Mountain bike.  $100 for one or $160 for both  Both have flat tires and likely need tune up.  Otherwise in working condition.,,,,,,,,,,,,
2764,230.0,chico,https://chico.craigslist.org/bik/d/browns-valley-bmx-hard-bikes/7462204163.html,2022-03-23 21:45,BMX Hard Bikes, steel, bmx, Medium, 16 in,5,"Good condition with new tires , breaks seat and grips. Ready to Ride.",, Hard bikes, BMX Back Trail X1,,,,,,,,,
2765,130.0,chico,https://chico.craigslist.org/bik/d/chico-haro-and-redline-bmx-bikes/7461197259.html,2022-03-21 13:55,Haro and redline bmx bikes, aluminum, bmx, Medium, 18 in,4,"2 bmx bikes with 18in. Wheels. One is a haro, and one is a redline. The redline is in slightly better condition with grips, while the redline has bare handlebars. Both will need new chains and tubes but are in fair condition. It’s 130$ for one and $230 for both of them.", fair, Haro & redline, Haro F2series & redline romp, none, bmx, none (rigid),,,,,,
2766,150.0,chico,https://chico.craigslist.org/bik/d/chico-madwagon-cruiser-bicycle/7467921795.html,2022-04-18 15:29,Madwagon cruiser bicycle,,,,,0,,,,,,,,,,,,,
2767,299.0,chico,https://chico.craigslist.org/wtd/d/la-puente-lift-kitkits-for-toyota/7472672939.html,2022-04-18 06:50,"🚘 2.5"",4"",6"",8""Lift Kit(Kits) for Toyota Tundra/4Runner/Tacoma",,,,,14,"2.5"",4"",6"",8""Lift Kit(Kits) for Toyota Tundra/4Runner/Tacoma Installation available	  Suspension Lift Kits(Kit)  2.5"", 3.5"", 4"", 6"", 7"", 7.5"" inch/ Leveling Kits  2"" to 3""	 Same Day Installation available- Call for more detail  626-814-1158	  Also we carry Biggest Selection of Offroad Wheels Fuel, XD series, Moto Metal RBP Method Rims and more...	 Available tires brand and sizes	 RBP Lionhart Lexani Fuel Fedral Nitto Toyo tires package	 33x12.50 x18,  35x12.50x18,  	 33x12.50x20, 35x12.50x20,  37x12.50x20, 	 33x12.50x22,  35x12.50x22, 37x12.50x22	 40x12.50x24	 and more.. 	  audiocityusa.com  -  since 1989 	 888-814-1158   (Open - 7am to 5:30pm -Mon to Sat,  10am to 5pm-Sun  PST)	 13927 Amar Rd, La Puente, CA 91746	 Check out our extensive selection of wheels on cars @ AudioCityUSA.com	  EZ Financing( No Credit Needed) Instant Approval- 90 Days No Interest	 Apply Now at audiocityusa.com and get approved instantly	 If you have a checking account and job, you are already pre-qualified	  Lift Kits Prices - Vehicle year will vary prices(If you don't see your vehicle give us call)	 Nissan Titan	 ------ 2 - 2.5 inch  - $299	 ------ 3 inch  - Call	 ------ 3.5 inch  - Call	 ------ 4 inch  - $999	 ------ 4.5 inch  - Call	 ------ 4.75 inch  - Call	 ------ 6 inch  - $1299	 ------ 7 inch  - x	 ------ 7.5 inch - x	 ------ 8 inch - x	  Toyata Tacoma	 ------ 2 - 2.5 inch  - $299	 ------ 3 inch  - Call	 ------ 3.5 inch  - Call	 ------ 4 inch  - Call	 ------ 4.5 inch  - $999	 ------ 4.75 inch  - x	 ------ 6 inch  - $999	 ------ 7 inch  - x	 ------ 7.5 inch - x	 ------ 8 inch - x	  Toyata Tundra	 ------ 2 - 2.5 inch  - $299	 ------ 3 inch  - Call	 ------ 3.5 inch  - Call	 ------ 4 inch  - $1199	 ------ 4.5 inch  - Call	 ------ 4.75 inch  - Call	 ------ 6 inch  - $1199	 ------ 7 inch  - x	 ------ 7.5 inch - x	 ------ 8 inch - $1799	  Toyata 4 Runner	 ------ 2 - 2.5 inch  - $299	 ------ 3 inch  - Call	 ------ 3.5 inch  - Call	 ------ 4 inch  - Call	 ------ 4.5 inch  - Call	 ------ 4.75 inch  - Call	 ------ 6 inch  - $1899	 ------ 7 inch  - x	 ------ 7.5 inch - x	 ------ 8 inch - x	  Fits on Chevy Chevrolet Blazer, 1500 2500 3500 Dualie Dualy Silverado Colorado Suburban Tahoe Dodge Ram 1500 2500 3500, Ford Expedition Excursion F150 F250 F350 GMC GM Sierra 1500 2500 3500 Yukon Denali Honda Pilot, Hummer H1 H2 H3, Jeep Cherokee Compass Grand Cherokee Wrangler 2WD 4WD Lincoln Mart LT, Nissan Armada Frontier Pathfinder Titan Xterra, Toyota Tacoma 4 Runner FJ Cruiser Land Cruiser Sequoia Tundra and more..	 Suspension Lift Kit Kits  2.5"" inch, 3.5"", 4"", 6"", 7"", 7.5"" and Leveling Kits	 for 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023	 16 17 18 20 22 24 (16x7  16x8  17x8  17x9  18x9  18x10  20x9  20x10  20x12  20x14  22x10 22x12  22x14  24x12  24x14  24x16 ) wheels wheel rims rim tire tires	 chrome black  black machine machined bronze silver Custom color	 Bolt -5Lug  5Lugs 6Lug 6Lugs  8 Lug Lugs (5x5, 5.127, 5.135, 5.139, 6.139, 6.135, 6.120, 6.127,  8.165, 8.170, 8.180 and more)	  LIFT ROAD AMP STEPS KIT KITS PROGRAMMER TIRE WHEELS RIMS CHROME BLACK TREAD CONTROL ARM SHOCKS STRUTS SPRINGS OFF-ROAD OFF EXHAUST MECHANIC SERVICE offroad, offroad fabrication, Off road fab, Fabrication, off road bumper, off road bumpers, off road rear bumper, off road bolt on bumper, Road armor bumper, Dimple dies, Ford, Dodge, Jeep, Toyota, Nissan, Chevy, Hummer, GMC, prerunner, prerunner trucks, roll cages, articulation, rock crawler, long travel, long travel kits, chase truck, chase truck racks, shocks, welding, auto lift kits, D.O.M, 4130, mild steel, aluminum skid plate, skid plate, fabrication off road shop, off road shop, fabrication shop, welding shop, tube bending, tube notching, notching, plasma, plasma cutting, dimple die, dimple die holes, cutting, tube cutting, metal cutting, roll cage, bed cage, engine cage, shock towers, dirt tech, rock crawler, rock sliders, tire gate, tiregate, d-rings, clevis, gas can rack, receiver, hi-lift, high lift, license plate mount, shovel mount, dimple die plate work, dimple die plate, dimple die metal, fuel cell, fuel safe, 4 link, 3 link, long travel suspension, long travel kit, lift spindles, uniball, uni ball, heims, bungs, dirt bikes, utv, jet ski, atv, 4 wheel drive, 4x4, 4x4 trucks, four wheel drive, dual sport, dirt, subaru, wrxrally cars, drift cars, light tabs, light bars, light racks, bump stops, spindles, a-arm, a arm, i-beam i beam, center mount, steering, steering ram, howe, howe pumps, frame, laminate plates, frame plates, fuel cell mounts, 5 point, 4 point, 6 point, 8 point, 10 point, 12 point, race cage, race truck, class 1, class 3, class 5, class 7, class 7s, score, mdr, lucas oil, trophy truck, trophy cart, side by side, side x side, buggy, sand car, 4 seater, 2 seater, two seater, four seater, metal fabrication, bed cage, tubing, CNC, tube notcher, rollback, TJ, razor, fabricator, xj, cherokee, rubicon, wrangler, king of the hammers, king of the desert, tig, mig, metal work, custom fab, welder, boat, trade, barter, rockcrawler, rock-crawler, toyota land cruiser, land cruiser, fj40, fj 40, beadlock, beadlocks, bead lock, bead locks, beadlock wheels, tubebuggy, tube buggy, suburban, small block, big block, small block, swap, horsepower, truck, car, tbi, 1500, 3500, 2500 , silverado, blazer, k5, k5 blazer, c20, 700r4, th350, 700, 4l60, 4l80, t5, t6, k10, k20, seat, valve covers, power steering, power steering pump, air intake, rear bench seat, 4 by 4, custom, carbon fiber, fiberglass, front clip, air scoop, scoop, fiberglass fenders, bedsides, fiberglass bedsides, bed sides, fiberglass 1piece, dash, custom dash, metal dash, flow masters, flowmaster, spin tech, magna flow, magnaflow, turbo, turbo mufflers, mufflers, exhaust, transmission, monster truck, crop truck, airbags, custom work, bench, tilt steering wheel, wood grain, disc brake, drum brake, willwood, original parts, american built, domestic, garage, garage sale, yard sale, hard to find, unique, inner fenders, solid axle, independent suspension, rotor, 3rd member, unlocking hubs, hubs, disc brakes swap, swap to a straight axle, suzuki, tacoma, 4Runners, 4runner, four runner, 22re, 22, engine, motor, tires, rims, wheels, burfield, chrome moly, solid axle, pumpkin, winch, winch mount, winch bumper, hubs, unlocking, locking, drive flange, dana 44, 44, dana 30, 30, dana 60, 60, dana 70, 70, corp 14, 14 bolt, spacers, 6 lug, 5 lug, 8 lug, 6 lug wheels, 5 lug wheels, 8 lug wheels, duel case, duel transfer case, duel transfercase, transfer case, transfercase, 466, 410, 529, 307, 588, gears, trail, trail, trail gear, axles seats, interior, Toyota solid axle, rotor, locking hubs, motor mounts, custom intakes, custom exhaust, bucket seat, bucket seat mounts, fiberglass dash, one piece clip, one piece fibergass, sales, Fabricate, build trailers, custom trailers, repair trailers, frame reinforce, crawler buggy, sliders, roll bar harness, bar stock, mild, .120, .090, .095, die bender, tube bender, fabrication tabs, step notch, shackle, drill tab, light tab, seat tab, light bar, roof rack, modification, weld bead, structural welding, Tire carrier, off road trailer, toy hauler, box trailer, flatbed, car hauler, race trailer, oxy acetylene, plate fenders, rock fenders, armor plate, stinger, cage hoop, shock hoop, tow bar, hitch, stubby, restoration, sheet metal, Custom built, MOTO, motorcycle, Baja, racing, rock crawl, weld, trailers, Built, 2wd spindles, Suspensions, Suspension Components, Lifted Spindles, Spindle Lift, kits, bolt on kits, available, rims and tires, Installation, 2WD. 4"" lift spindle, 4""lift, 6""lift, 8""lift, 10"" lift, custom tube, works, custom tube works, Nerf, light rack, off-road fabrication, Custom Fabricated Bumpers, cheap, project, automotive, free, fox, fox shock, coil over, smoothie bodies, two way bypass, three way bypass, 2way bypass, 3way bypass, off road shocks, off road cars, race truck, Lb, Sb, bed, long bed, short bed, utility, utility bed, 1/2 ton, 3/4 ton, 1 ton, short bed, long bed, swb, lwb, shortbox, box, box truck, fleetside, fleet, pick up, pickup, differential, rear differential, grill, cradle, motor mounts, bully dog, programmer, tuner, chip, power gain, truck programmer, rough country fabtech supper lift, bullet proof fox schocks, king schocks, performance shocks (off road wheels wheel rims rim tire tires- Mud Terrain) Off Road wheels",,,,,,,,,,,,
2768,299.0,chico,https://chico.craigslist.org/wtd/d/la-puente-lift-kits-ford-truck-f150/7472669945.html,2022-04-18 06:42,"🚘 2.5"" 3"" 3.5"" 4"" 8"" Lift Kits Ford Truck F150 F250 F350",,,,,24,"2.5""3"", 3.5"", 4"", 8"" Lift Kits Ford Truck F150 F250 F350 Installation Available  Suspension Lift Kits(Kit)  2.5"", 3.5"", 4"", 6"", 7"", 7.5"" inch/ Leveling Kits  2"" to 3"" Same Day Installation available- Call for more detail  626-814-1158  audiocityusa.com  -  since 1989  888-814-1158   (Open - 7am to 5:30pm -Mon to Sat,  10am to 5pm-Sun  PST) 13927 Amar Rd, La Puente, CA 91746  Also we carry Biggest Selection of Offroad Wheels Fuel, XD series, Moto Metal RBP Method Rims and more... Available tires brand and sizes RBP Lionhart Lexani Fuel Fedral Nitto Toyo tires package 33x12.50 x18,  35x12.50x18,   33x12.50x20, 35x12.50x20,  37x12.50x20,  33x12.50x22,  35x12.50x22, 37x12.50x22 40x12.50x24 and more..   EZ Financing( No Credit Needed) Instant Approval- 90 Days No Interest Apply Now at audiocityusa.com and get approved instantly If you have a checking account and job, you are already pre-qualified  Lift Kits Prices - Vehicle year will vary prices(If you don't see your vehicle give us call) Ford F150-4WD ------ 2 - 2.5 inch  - $299 ------ 3 inch  - Call ------ 3.5 inch  - Call ------ 4 inch  - $1199 ------ 4.5 inch  - $1299 ------ 4.75 inch  - x ------ 6 inch  - $1199 ------ 7 inch  - $1899 ------ 7.5 inch - x ------ 8 inch - $2399  Ford F250-4WD ------ 2 - 2.5 inch  - $299 ------ 3 inch  - Call ------ 3.5 inch  - Call ------ 4 inch  - $1199 ------ 4.5 inch  - $1299 ------ 4.75 inch  - x ------ 6 inch  - Call ------ 7 inch  - x ------ 7.5 inch - x ------ 8 inch - $1399  Ford F350-4WD ------ 2 - 2.5 inch  - $299 ------ 3 inch  - Call ------ 3.5 inch  - Call ------ 4 inch  - $1199 ------ 4.5 inch  - $1299 ------ 4.75 inch  - x ------ 6 inch  - Call ------ 7 inch  - x ------ 7.5 inch - x ------ 8 inch - $1399  audiocityusa.com  -  since 1989  888-814-1158   (Open - 7am to 5:30pm -Mon to Sat,  10am to 5pm-Sun  PST) 13927 Amar Rd, La Puente, CA 91746 Check out our extensive selection of wheels on cars @ AudioCityUSA.com  Fits on Chevy Chevrolet Blazer, 1500 2500 3500 Dualie Dualy Silverado Colorado Suburban Tahoe Dodge Ram 1500 2500 3500, Ford Expedition Excursion F150 F250 F350 GMC GM Sierra 1500 2500 3500 Yukon Denali Honda Pilot, Hummer H1 H2 H3, Jeep Cherokee Compass Grand Cherokee Wrangler 2WD 4WD Lincoln Mart LT, Nissan Armada Frontier Pathfinder Titan Xterra, Toyota Tacoma 4 Runner FJ Cruiser Land Cruiser Sequoia Tundra and more.. Suspension Lift Kit Kits  2.5"" inch, 3.5"", 4"", 6"", 7"", 7.5"" and Leveling Kits for 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 16 17 18 20 22 24 (16x7  16x8  17x8  17x9  18x9  18x10  20x9  20x10  20x12  20x14  22x10 22x12  22x14  24x12  24x14  24x16 ) wheels wheel rims rim tire tires chrome black  black machine machined bronze silver Custom color Bolt -5Lug  5Lugs 6Lug 6Lugs  8 Lug Lugs (5x5, 5.127, 5.135, 5.139, 6.139, 6.135, 6.120, 6.127,  8.165, 8.170, 8.180 and more)  LIFT ROAD AMP STEPS KIT KITS PROGRAMMER TIRE WHEELS RIMS CHROME BLACK TREAD CONTROL ARM SHOCKS STRUTS SPRINGS OFF-ROAD OFF EXHAUST MECHANIC SERVICE offroad, offroad fabrication, Off road fab, Fabrication, off road bumper, off road bumpers, off road rear bumper, off road bolt on bumper, Road armor bumper, Dimple dies, Ford, Dodge, Jeep, Toyota, Nissan, Chevy, Hummer, GMC, prerunner, prerunner trucks, roll cages, articulation, rock crawler, long travel, long travel kits, chase truck, chase truck racks, shocks, welding, auto lift kits, D.O.M, 4130, mild steel, aluminum skid plate, skid plate, fabrication off road shop, off road shop, fabrication shop, welding shop, tube bending, tube notching, notching, plasma, plasma cutting, dimple die, dimple die holes, cutting, tube cutting, metal cutting, roll cage, bed cage, engine cage, shock towers, dirt tech, rock crawler, rock sliders, tire gate, tiregate, d-rings, clevis, gas can rack, receiver, hi-lift, high lift, license plate mount, shovel mount, dimple die plate work, dimple die plate, dimple die metal, fuel cell, fuel safe, 4 link, 3 link, long travel suspension, long travel kit, lift spindles, uniball, uni ball, heims, bungs, dirt bikes, utv, jet ski, atv, 4 wheel drive, 4x4, 4x4 trucks, four wheel drive, dual sport, dirt, subaru, wrxrally cars, drift cars, light tabs, light bars, light racks, bump stops, spindles, a-arm, a arm, i-beam i beam, center mount, steering, steering ram, howe, howe pumps, frame, laminate plates, frame plates, fuel cell mounts, 5 point, 4 point, 6 point, 8 point, 10 point, 12 point, race cage, race truck, class 1, class 3, class 5, class 7, class 7s, score, mdr, lucas oil, trophy truck, trophy cart, side by side, side x side, buggy, sand car, 4 seater, 2 seater, two seater, four seater, metal fabrication, bed cage, tubing, CNC, tube notcher, rollback, TJ, razor, fabricator, xj, cherokee, rubicon, wrangler, king of the hammers, king of the desert, tig, mig, metal work, custom fab, welder, boat, trade, barter, rockcrawler, rock-crawler, toyota land cruiser, land cruiser, fj40, fj 40, beadlock, beadlocks, bead lock, bead locks, beadlock wheels, tubebuggy, tube buggy, suburban, small block, big block, small block, swap, horsepower, truck, car, tbi, 1500, 3500, 2500 , silverado, blazer, k5, k5 blazer, c20, 700r4, th350, 700, 4l60, 4l80, t5, t6, k10, k20, seat, valve covers, power steering, power steering pump, air intake, rear bench seat, 4 by 4, custom, carbon fiber, fiberglass, front clip, air scoop, scoop, fiberglass fenders, bedsides, fiberglass bedsides, bed sides, fiberglass 1piece, dash, custom dash, metal dash, flow masters, flowmaster, spin tech, magna flow, magnaflow, turbo, turbo mufflers, mufflers, exhaust, transmission, monster truck, crop truck, airbags, custom work, bench, tilt steering wheel, wood grain, disc brake, drum brake, willwood, original parts, american built, domestic, garage, garage sale, yard sale, hard to find, unique, inner fenders, solid axle, independent suspension, rotor, 3rd member, unlocking hubs, hubs, disc brakes swap, swap to a straight axle, suzuki, tacoma, 4Runners, 4runner, four runner, 22re, 22, engine, motor, tires, rims, wheels, burfield, chrome moly, solid axle, pumpkin, winch, winch mount, winch bumper, hubs, unlocking, locking, drive flange, dana 44, 44, dana 30, 30, dana 60, 60, dana 70, 70, corp 14, 14 bolt, spacers, 6 lug, 5 lug, 8 lug, 6 lug wheels, 5 lug wheels, 8 lug wheels, duel case, duel transfer case, duel transfercase, transfer case, transfercase, 466, 410, 529, 307, 588, gears, trail, trail, trail gear, axles seats, interior, Toyota solid axle, rotor, locking hubs, motor mounts, custom intakes, custom exhaust, bucket seat, bucket seat mounts, fiberglass dash, one piece clip, one piece fibergass, sales, Fabricate, build trailers, custom trailers, repair trailers, frame reinforce, crawler buggy, sliders, roll bar harness, bar stock, mild, .120, .090, .095, die bender, tube bender, fabrication tabs, step notch, shackle, drill tab, light tab, seat tab, light bar, roof rack, modification, weld bead, structural welding, Tire carrier, off road trailer, toy hauler, box trailer, flatbed, car hauler, race trailer, oxy acetylene, plate fenders, rock fenders, armor plate, stinger, cage hoop, shock hoop, tow bar, hitch, stubby, restoration, sheet metal, Custom built, MOTO, motorcycle, Baja, racing, rock crawl, weld, trailers, Built, 2wd spindles, Suspensions, Suspension Components, Lifted Spindles, Spindle Lift, kits, bolt on kits, available, rims and tires, Installation, 2WD. 4"" lift spindle, 4""lift, 6""lift, 8""lift, 10"" lift, custom tube, works, custom tube works, Nerf, light rack, off-road fabrication, Custom Fabricated Bumpers, cheap, project, automotive, free, fox, fox shock, coil over, smoothie bodies, two way bypass, three way bypass, 2way bypass, 3way bypass, off road shocks, off road cars, race truck, Lb, Sb, bed, long bed, short bed, utility, utility bed, 1/2 ton, 3/4 ton, 1 ton, short bed, long bed, swb, lwb, shortbox, box, box truck, fleetside, fleet, pick up, pickup, differential, rear differential, grill, cradle, motor mounts, bully dog, programmer, tuner, chip, power gain, truck programmer, rough country fabtech supper lift, bullet proof fox schocks, king schocks, performance shocks (off road wheels wheel rims rim tire tires- Mud Terrain) Off Road wheels",,,,,,,,,,,,
