,Price,Location,URL,Date,Title,condition,make / manufacturer,model name / number,num image,text,bicycle frame material,bicycle type,frame size,wheel size,part type,serial number,suspension,brake type,handlebar type,electric assist,size / dimensions
5592,150.0,cosprings,https://cosprings.craigslist.org/spo/d/colorado-springs-bike-rack-xport-bikes/7472378456.html,2022-04-17 09:17,Bike Rack (Xport) - 4 Bikes, good, Xport, Xport,2,"Xport hitch mount (2"") bike carrier up to 4 bikes.  Text  show contact info .",,,,,,,,,,,
5593,1400.0,cosprings,https://cosprings.craigslist.org/bik/d/colorado-springs-blb-london-lapovaria/7463552552.html,2022-04-13 14:45,BLB London LaPovaria Air 50cm rare track bike,, Brick Lane Bikes, LaPiovra Air,4,"No trades. Read full ad. No trades   Rare BLB LaPiovra Air 50cm frame with carbon fork (aluminum steer tube), Conquer Elite Wheelset, Full carbon bullhorns (Profile design Cobra), SRAM Omnium Chainring, SL-K stem, Thompson seatpost, MKS Sylvan pedals with double leather toe cages.   Minor cosmetic blemishes here and there since it’s a bike that got ridden but no functional issues.   No trades. This is a one of a kind track bike build.   $1400 OBO no trades. Low ballers can keep looking. I’ll 100% ignore BS offers.   Don’t setup a test ride unless you have cash in hand. No exceptions.", aluminum, track, 50cm, 700C,,,,,,,
5594,60.0,cosprings,https://cosprings.craigslist.org/bik/d/colorado-springs-kid-bikes/7470082022.html,2022-04-11 16:38,3 kid bikes, good,,,3,3 kid bikes. $20 each All will need tires and some TLC. Vintage for sure, steel, kids, Medium, 12 in,,,,,,,
5595,800.0,cosprings,https://cosprings.craigslist.org/bik/d/weston-trek-bikes/7469983028.html,2022-04-11 13:16,Trek bikes, excellent,,,6,Trek bikes for sale $800. obo Excellent condition very well taken care of have not been ridden very much tires brand new the mail see is 18 inches, aluminum, road, 13 in, other/unknown,,,,,,,
5596,20.0,cosprings,https://cosprings.craigslist.org/bop/d/colorado-springs-wooden-bike-rack-fits/7458336535.html,2022-04-11 11:39,Wooden Bike Rack - Fits 6 Bikes - Great for Garage, excellent,,,3,"I made this with 2x4s. The bike's rear wheel wedges in to be held up. Holds up to six bikes. Screws throughout.   The pictures show it after I moved it from the wall but it was held against a wall with a couple screws.   Cash or Zelle.  BTW, the two bikes in the picture are for sale, too.  https://cosprings.craigslist.org/bik/d/colorado-springs-gt-traffic-20-commuter/ show contact info .html https://cosprings.craigslist.org/bik/d/colorado-springs-58-cm-specialized/ show contact info .html",,,,," racks, fenders, bags",,,,,,
5597,200.0,cosprings,https://cosprings.craigslist.org/bik/d/colorado-springs-bianchi-bikes/7469679648.html,2022-04-10 19:12,Bianchi Bikes, excellent, Bianchi, Boardwalk & Advantage,4,Two Bianchi bikes--one Advantage and one Boardwalk, steel, hybrid/comfort, unknown, 25 in,,,,,,,
5598,100.0,cosprings,https://cosprings.craigslist.org/for/d/yoder-bikes-deskfiling-cabinetgarden/7468135727.html,2022-04-07 08:59,"Bikes, desk,filing cabinet,garden cultivator", good,,,8,"A antique garden cultivator tool, bikes, metal office desk, metal filing cabinet, electric heaters. All items for one cash price of $100.00",,,,,,,,,,,
5599,2295.0,cosprings,https://cosprings.craigslist.org/sgd/d/electric-the-mid-drive-ebike-that/7468099326.html,2022-04-07 07:36,ELECTRIC! The Mid-drive eBike that Shreds! CyberBike eMountain Bikes!, new, Cyberbike,,15,"Introducing the New 2022 Cyberbike Electric Mountain Bikes   Riders agree: Nothing comes close to Cyberbike's combination of performance, value, style, and quality.  See the Cyberbike Mullet Pro in action HERE! (and here, by popular demand, is last year's intro featuring Division 1 Collegiate Mountain Racer Corey Jackson on the first edition Cyberbike) Order online for fast delivery at www.Cyberbike.com All 2022 Cyberbikes are in stock and ready to shred, Order yours before they're sold out!  More mid-drive power than ever Awesome new color graphic display Easier to ride, lower standover frame, the lowest of any mid-drive eMTB New, structurally superior, mountain ready rear suspension linkage The best brakes in the business, even Quad-piston brakes on some models! Massive brake rotors up to 220mm 34mm gold tube forks on some models up to 140mm travel Wider range of models  A proper e-Mountain bike needs to be mid-drive and have full suspension, it's as simple as that. Until now, if you wanted an electric mountain bike to tackle rugged trails, your choices have been heavy, low-quality, fat tire, hub-motor beach bikes, or legacy brands charging $4000 or more for low-power eBikes without full suspension.   Whether your knees are tired or you just want to shred, there is simply no better choice for performance and value than Cyberbike. An American company with great customer support: Cyberbike, USA. The mountains are calling. Will you answer?  Cyberbike eBikes come all with the quietest and most powerful motor in its class, with a long range (65 miles and more) battery, and powerful e-spec hydraulic disk brakes that will be there when you need them. A lightweight package with 500 watts of power, top-of-the-line battery range, and quality components, all for the price of an inexpensive yet stellar bike! You'll get so much more than other eBikes with the CyberBike, it's the real e-MTB experience for the adventurous rider. Performance, specs, and quality components throughout, and the best warranty in the industry, from an American company with experienced American mechanics on call for all your tech support needs.  54 volt/500 watt climbing power with 13Amp hour Li-Ion battery and only 52 lbs means you'll get power and tons of battery range. Now with available throttle! Now from only $2495 Note: Owning and riding comes with risks. Wear proper protection, properly maintain and check your bike, and ride within your limits. By purchasing our products you agree to take full responsibility for the ownership of your bike, including the above and all other reasonable precautions for yourself or anyone you allow to ride your bike.",,,,,,,,,,,
5600,100.0,cosprings,https://cosprings.craigslist.org/bik/d/colorado-springs-bikes-mens-womens/7466576752.html,2022-04-03 14:59,2 Bikes 1 men's 1 womens, good," Geness, Tuesday", ?,5,"Womens day cruser a Tuesday Bike 24""  Men's Geness 26""  V 2100 mountain bike ridden only 2 times", other/unknown, mountain," 24- 26""", 24 in,, ?, frame and fork (full suspension),,,,
5601,50.0,cosprings,https://cosprings.craigslist.org/spo/d/monument-gravity-stand-for-two-bikes/7461462649.html,2022-04-02 19:23,Gravity Stand for Two Bikes,,,,3,"Nice condition gravity stand for two bikes. Lightly used. If you can see the ad, it is still available.  Please remember a contact number with your reply.  Thanks for looking!",,,,,,,,,,,
