,Price,Location,URL,Date,Title,condition,make / manufacturer,model name / number,size / dimensions,num image,text,bicycle frame material,bicycle type,frame size,wheel size,brake type,electric assist,handlebar type,suspension,part type,serial number
5690,80.0,denver,https://denver.craigslist.org/bop/d/denver-schwinn-hitch-bike-rack-bikes/7471099258.html,2022-04-18 16:54,SCHWINN HITCH BIKE RACK 4 bikes, excellent, TEXT ME @, 3*O*3*5*8*2*4*4*I*O, 4 BIKES,5,"Extra clean Schwinn hitch bike rack with locking pin, ready to install. Nice one: holds four bikes, fits 1-1/4' hitch, folds forward and arms fold down. Modern rack will look good in any car new or old.   (If you want this rack, just ask for the Schwinn rack)  $8OCASH-TEXT ME @*3*[]*3*5*8*2*4*4*I*O*THANK YOU",,,,,,,,,,
5691,65.0,denver,https://denver.craigslist.org/bik/d/broomfield-bikes-for-sale/7472878202.html,2022-04-18 14:12,2 bikes for sale,, Specialized/ Schwinn,,,0,"I have a 16"" schwinn gremlin Please text if you need more info", other/unknown, kids, Not sure, other/unknown,,,,,,
5692,800.0,denver,https://denver.craigslist.org/bop/d/golden-bikes-and-parts-for-sale/7472872246.html,2022-04-18 14:01,3 Bikes and parts for sale,,,,,0,,,,,,,,,,,
5693,2299.0,denver,https://denver.craigslist.org/bik/d/denver-2022-premium-bikes-for-sale-fast/7466498553.html,2022-04-18 10:29,2022 Premium E-Bikes for Sale! Fast Beach Cruisers | Fat Tires - 30mph, new,,,,24,"All models come with the upgraded 10.5Ah Batteries with 40+ mile usage!  (3zero3) 48zero 54five1  ON A BUDGET?  The SONIC SABER is the most the affordable premium performance electric bike in the industry.  Let’s start off with our SONIC SS flagship frame and build off of it. For power, we went with the reliable Bafang big daddy 750W hub motor that puts out 1000W peak power.  HOW FAR? Level one pedal assist fourth gear lightly pedaling (13mph) with the stock 8AH battery we’ve clocked 30+ miles. The optional 10.5AH will gain another 8-10 miles. With a 1000W peak power it’s super efficient cruising yet crack the throttle and have some  fun.   MODEL: SONIC SABER  BODY POSITION: Upright  SUGGESTED USE: Cruising & Terrifying The Streets  ELECTRIC BIKE CLASS: Speed Pedelec (Class 2)  WARRANTY: Lifetime frame warranty, 1 year parts, 16 months *motor  & battery  AVAILABILITY: World Wide  MODEL YEAR: 2022  TOTAL WEIGHT: 58 lbs  BATTERY WEIGHT: 5.1 lbs  MOTOR WEIGHT: 12 lbs  FRAME MATERIAL: 6061 Aluminum Alloy  FRAME SIZES: 19 in (48.26 cm)  GEOMETRY MEASUREMENTS 26″: 19″ Seat Tube, 26″ Reach, 30″ Standover Height, 34.5″ Width, 79″ Length, 35.5″ Minimum Saddle Height. Handlebar height 4′  FRAME FORK DETAILS: Front suspension fork with 5” of travel.  FRAME REAR DETAILS: 170mm Hub Spacing, 11/32nd Axle with 15mm Nuts  GEARING DETAILS: 7 Speed Shimano derailleur  SHIFTER DETAILS: Shimano Revo grip shift  CRANKS: *Alum – 42T Chainring  PEDALS: XL Alum  HEADSET: Integrated  STEM: Alum 180º Adjustment Range  HANDLEBAR: *Steel, BMX Style, 180mm Rise, 870mm Length, 30º Back Sweep  BRAKE DETAILS: Mechanical disc, 180mm Front Rotor / rear Rotor, Motor Inhibitors, 2-Finger Levers with Adjustable Reach.  SADDLE: Grand Star Oversize, Quilted, Rubber Bumpers, Reflective Logo on Rear  SEAT POST: Aluminum Alloy  SEAT POST LENGTH: 350 mm  SEAT POST DIAMETER: 27.2 mm  RIMS: Aluminum Alloy, Punchouts, 36 Hole  SPOKES: Stainless Steel, 14 Gauge, Black with Chromed Brass Spoke Nipples  TIRES: MTB 26×3″  WHEEL SIZE: 26 in (66.04cm)  TIRE DETAILS: 10 to 30 PSI (0.4- 2.1 BAR)  TUBE DETAILS: Schrader Valve  ACCESSORIES: Integrated front headlight  & rear tail light  MOTOR BRAND: 26″ Bafang 750 / 1000W peak  MOTOR TYPE: Hub motor  MOTOR NOMINAL OUTPUT: Mens 26″750 watts  MOTOR PEAK OUTPUT: 1000 watts under load  MOTOR TORQUE: 750W 80 Newton meters  BATTERY BRAND: Samsung  BATTERY VOLTAGE: 48 volts  BATTERY AMP HOURS: 8ah  BATTERY CHEMISTRY: Lithium-ion  CHARGE TIME: 6.5 hours  ESTIMATED MIN RANGE: 30-40 miles  ESTIMATED MAX RANGE: 30+ miles  DISPLAY TYPE: Black & white  READOUTS: Clock, Trip Distance and Timer, Odometer, Current Speed, Average Speed, Maximum Speed, Assist Level (0-5)  DISPLAY ACCESSORIES: Independent Button Pad on Left, Buttons: Up, Down, M, Power (Hold Down for Walk Mode, Press M to Cycle Trip Readouts, Press Power to Cycle Distance and Range Readouts)  DRIVE MODE: Cadence Sensing Pedal Assist, Trigger Throttle (12 Magnet Sealed Sensor)  TOP SPEED: Class 2, 25MPH  – Off road use 28+ mph *", alloy, cruiser, 19 inch, 26 in, disc (mechanical), throttle, cruiser, suspension fork (hardtail),,
5694,50.0,denver,https://denver.craigslist.org/bik/d/denver-barely-used-bikes/7460708449.html,2022-04-18 09:24,Barely used bikes, new,,,,2,Cleaning out garage.. selling 2 barely used bikes (Road master) $50 each..  plz note.. the person holding the bike is 6'4. These are both adult bikes. MAYBE used 3 times... pretty much brand new!!, other/unknown, other, adult, other/unknown,,,,,,
5695,100.0,denver,https://denver.craigslist.org/bik/d/denver-mens-road-bikes/7461103359.html,2022-04-18 09:14,Men's ROAD Bikes,,,,,0,,,,,,,,,,,
5696,200.0,denver,https://denver.craigslist.org/bik/d/aurora-trek-bikes/7472699938.html,2022-04-18 08:51,2 Trek bikes,,,,,9,*1 -trek series B- alpha aluminum bike  26x2.0 tires. good condition.   *1 -trek 820- well used. Needs new tires   Serviced recently. Bought at bicycle village (Arvada) a few years ago- $200 each   Selling- $200 for both or $125 each  ***Open to offers ****cash works best  Cross posted, other/unknown, mountain, Large, 26 in,,,,,,
5697,150.0,denver,https://denver.craigslist.org/bik/d/littleton-bike-rack-bikes-carried/7466400312.html,2022-04-18 08:21,Bike rack 4 bikes carried,,,,,0,Great shape all parts including lock and key swinging system 2 inches reciever phone number  show contact info, steel, mountain, Large, 26 in,,,,,,
5698,80.0,denver,https://denver.craigslist.org/bik/d/littleton-bike-rack-bikes-carried/7466397779.html,2022-04-18 08:22,Bike rack 4 bikes carried,,,,,2,Great shape all parts including 2 inches reciever phone number  show contact info, steel, mountain, Large, 26 in,,,,,,
5699,110.0,denver,https://denver.craigslist.org/bik/d/aurora-cruiser-bikes-his-and-her/7471894492.html,2022-04-18 07:24,"2 cruiser bikes ,his and her, Raleigh and Schwinn",, Schwinn, Raleigh,,9,"2 cruiser bikes, his and her.  Raleigh Sprite, 5 gears ,25 frame for tall rider,  27 x 1-1/4 tires,springer seat, nice bike tobacco color made in England.  Schwinn suburban,  vintage women's bike,  21 frame , 27 x 1-1/4 tires, 10 gears , fenders,  springer seat and kick stand equipped , smooth ride. The bikes is good condition, ready to ride. $110 each or $200 for both.303 43four 0725. Call or text.", steel, cruiser, 21, 27 in,,,,,,
