,Price,Location,URL,Date,Title,num image,bicycle frame material,bicycle type,frame size,make / manufacturer,model name / number,wheel size,text,brake type,condition,suspension,part type,electric assist,handlebar type,size / dimensions,serial number
2175,600.0,fayar,https://fayar.craigslist.org/bop/d/cave-springs-just-nv-20-bike-rack-with/7472946415.html,2022-04-18 17:38,Just NV 2.0 bike rack with extension(holds 4 bikes),0,,,,,,,,,,,,,,,
2176,1000.0,fayar,https://fayar.craigslist.org/bik/d/springdale-new-rad-mission-bike/7471661777.html,2022-04-15 12:12,New Rad Mission E Bike & Accessories,4, other/unknown, other, High-Step, Rad Power Bikes, Rad Mission, other/unknown,"Rad Mission E Bike. I purchased it new and rode it only a few times. There are also many accessories that go along with it, including:  -new bluetooth speaker (installed) -new LED head and tail lights (unopened) -new Slime tube sealant (unopened) -new Serfas RX men's saddle (installed) -new bike bag/phone pouch (unopened) -new bike lock (unused) -new bike gloves (unopened) -new kickstand (installed) -new Allen Sports deluxe trunk bike rack (holds 2 bikes)   *also comes with tool kit, battery/charger, & owner's manual  Asking $1000 for everything. I purchased the bike new for $1200, then put another $250 or so towards accessories, putting it somewhere around $1450 total. I literally rode it 3 times, so that's roughly $150 off per ride ;)  It is essentially new and a great ride. You can use the battery as much or as little as you like, allowing you to effortlessly move between street-style riding and electric. It's beautiful to look at, too!  Visit www.radpowerbikes.com for more details (RadMission Steel Blue High-Step)  Text only, please.",,,,,,,,
2177,50.0,fayar,https://fayar.craigslist.org/bik/d/eureka-springs-two-vintage-womens-bikes/7471471893.html,2022-04-14 22:16,Two Vintage Women’s bikes,2, steel, cruiser, Medium,,, 24 in,Two vintage women’s bikes 22”rims One is a Schwin the other is not marked,,,,,,,,
2178,250.0,fayar,https://fayar.craigslist.org/bik/d/fayetteville-vintage-murray-bikes/7471407183.html,2022-04-14 18:16,Vintage Murray Bikes,7, steel, cruiser, 26, Murray,, 26 in,One women's one men's. Both have the Ohio plate on the front. Not 100% on the years. Selling as pair only for one price. Everything works but needs some love. I specs/numbers on size etc. Reply through here with your NAME and CELL NUMBER. I will call you. Will not respond to anything else.,,,,,,,,
2179,985.0,fayar,https://fayar.craigslist.org/snd/d/sapulpa-wheelers-dirt-bikes-go-karts-in/7470444629.html,2022-04-12 14:28,"4 WHEELERS,  DIRT BIKES & GO KARTS!!!! IN STOCK NOW!!!",10,,,,,,,"New ATV's, Dirt bikes and Go Karts in stock now with 6 month parts warranty.  All prices are total out the door, no taxes  Check out our inventory at kickstartatv.com Layaway available!!! $100 down 6 months to pay off and pick up.  No credit check  Sapulpa, OK Close to Tulsa  We beat any advertised price!!!!!  Only at Kickstart ATV!!!!  Open Tuesday - Friday 9 to 5.  Saturday 9 to 3.   609 E Taft Ave Sapulpa, OK 74066  918.277.1905 call/text Brad   kickstartatv.com   honda kawasaki suzuki polairs tractor utv fourwheeler four kubota wheeler cuff cheap ok directions game harley horse atv dirtbike dirt bike coolster taotao tao outdoor tao roketta hawk gmc toyota 4x4 affordable lumber outdoors real cycle cycles  estate metal parts xbox playstation new used mahindra scooter 150cc 110cc 125cc 250 go karts 450 rfz metric powersports tulsa",,,,,,,,
2180,1899.0,fayar,https://fayar.craigslist.org/snd/d/fort-smith-new-sport-and-enduro-150cc/7469810996.html,2022-04-11 09:11,New Sport and Enduro 150cc & 250cc Bikes starting at,10,,,,,,,"ScootTribe Fayetteville ☎ (479)-316-8501 1104 N College Ave, Fayetteville AR 72701    BAD CREDIT, NO CREDIT, NO PROBLEM   AS LOW AS $0 DOWN FINANCING!*(With approval) Approval In Under 10 Minutes  Call us today to see if you're approved!   2022 TBR7 250cc Enduro Street Bikes - $1,899   Top features:    - clutch transmission  - on-road/off-road capable  - blinkers & mirrors  - street legal  - kick start and electric start  - 50-65 MPH Top Speed (depending on rider weight and hill grades)    2022 Bintelli Beast 150cc Street Bikes - $2,299  Top features:    - Digital Speedometer  - rear passenger footpegs  - aggressive/sporty sounding dual port exhaust  - 45-50 MPH top Speed (depending on rider weight and hill grades)  Shop at the hottest new power sports dealership in Fayetteville featured in Powersports Business Magazine!   ScootTribe Fayetteville is located at 1104 N College Ave across from UAMS. Call us at CALL TODAY AT 479-316-8501 for any inquiries!  Love your ride, join the Tribe!     street bike, enduro, 150cc, 250cc, dual sport, dirt bike, sport bike",,,,,,,,
2181,10.0,fayar,https://fayar.craigslist.org/bik/d/bentonville-bicycles/7463638735.html,2022-04-17 13:07,Bicycles,5, other/unknown, kids, Small,,, other/unknown,Selling my bikes. $10 each. Please text at eight70-two04-one243,,,,,,,,
2182,325.0,fayar,https://fayar.craigslist.org/bik/d/fayetteville-like-new-trek-820/7462992528.html,2022-04-17 12:31,LIKE NEW TREK 820 BONTRAGER EDITION MOUNTAIN BIKE GARAGE KEPT 1 OWNER,13, aluminum, mountain, 17INCH SMALL/ MEDIUM, TREK, 820 MULTITRACK, 26 in,"BEAUTIFUL 1 OWNER TREK 820 MULTITRACK BONTRAGER EDITION MOUNTAIN BIKE 21 SPEED GRIP SHIFTING, COMFORT SEAT AND MORE.. EASY TO RIDE!  IT IS READY TO RIDE TODAY!  NEEDS NOTHING BUT A RIDER. IT'S IN IMMACULATE CONDITION AND HAS BEEN ADULT OWNED AND GARAGE KEPT AS YOU CAN SEE. LOOKS AND RIDES AMAZING..   I AM AN AVID RIDER SO I CAN HELP EDUCATE AND FIT YOU TO THE BIKE SO IT WILL BE THE RIGHT SIZE FOR YOU BEFORE PURCHASING.   MEDIUM 17 INCH ADULT SIZE WITH STEP THRU FRAME. PERFECT FOR SOMEONE 5'0 TO 5'8 FT OR CLOSE TO THAT SIZE.  BONTRAGER EDITION COMPONENTS WITH COMFORT GEL SEAT,  HEAD STEM, SEAT STEM, TIRES, 26 INCH SIZE WHEELS AND TIRES. 21 SPEED EASY   PADDLE / TRIGGER SHIFTING, LIGHTWEIGHT ALUMINUM FRAME. YOU WILL LOVE IT.  GARAGE KEPT AND PERFECT MECHANICALLY.. JUST FULLY SERVICED, TUNED AND DETAILED. IT LOOKS BETTER IN PERSON.. YOU WONT FIND A CLEANER BIKE ANYWHERE.  THIS IS A PERFECT BIKE FOR DIRT TRAILS OR CRUISING THE GREENWAY. IT IS VERY EASY TO RIDE. PURCHASED NEW FROM PHAT TIRE BICYCLE SHOP IN BENTONVILLE, AR.  IF YOUR NEW TO BIKING DONT HESITATE TO CALL AND I WILL ANSWER ANY QUESTIONS YOU HAVE.  IM LOCATED IN FAYETTEVILLE ARKANSAS JUST UP FROM GULLEY PARK.  THE PRICE IS FIRM.. SERIOUS INQUIRIES ONLY PLEASE. 479-EIGHT 41-888ZERO  THANKS FOR VIEWING MY ADD!  THIS IS A BIKE STORE BIKE NOT A DEPARTMENT STORE BOX BIKE. IT IS COMPARABLE TO SANTA CRUZ, GIANT, CANNONDALE, SPECIALIZED, BIANCHI, FELT, DIAMONDBACK, JAMIS AND OTHER HI QUALITY BIKES.", caliper, like new, none (rigid),,,,,
2183,18099.0,fayar,https://fayar.craigslist.org/mcd/d/rogers-2022-honda-africa-twin-adventure/7472170505.html,2022-04-16 15:27,2022 Honda Africa Twin Adventure Sports ES Automatic DCT,0,,,,,,,"Sunrise Honda of RogersAsk for: SALES STAFF☎ (479) 903-73731050 WEST HUDSON RD. Rogers, AR 72756Enter this link to see more images plus all other inventory we have available: http://lyv.cc/L2CZ72022 Honda Africa Twin Adventure Sports ES Automatic DCTPrice: $18,099.00Basic Information:Year: 2022Make: HondaModel: Africa Twin Adventure Sports ES Automatic DCTCondition: NewType: Off-RoadTitle: CleanBrakes:ABS BrakesLinked Brake System Front to RearRear Brake: Hydraulic DiscChassis & Suspension:Rear Adjustable Shock / Spring Pre-LoadComfort:Cruise ControlDigital InstrumentationTrip OdometerEngine:Carburetion Type: Fuel InjectedCooling System: LiquidEngine Size (cc): 0Engine Stroke: 4-StrokeFuel InjectorStarter: ElectricValve Configuration: SOHCValves Per Cylinder: 4Other Information:Exterior GuardsFoot PegsFront FenderHand GripsRear FenderStandSafety:Fuel Level WarningRearview MirrorsTemperature WarningSpecifications:Front Tire Speed Rating: HRear Tire Speed Rating: HWheels Composition: AluminumSpeedometerTachometerDescription:2022 Honda® Africa Twin Adventure Sports ES Automatic DCTRIDE THE WORLDAdventure bikes are super-popular these days, and it’s easy to see why. They let you ride just about anywhere. Plus, their upright seating and sensible riding position let you rack up the miles in comfort. But they face a challenge, too: they need to combine state-of-the-art touring and riding technology with total reliability.And that’s why Honda Africa Twin models are so far out in front of all the rest. Technology? Check out things like Apple CarPlay™, Android Auto™, and of course our available automatic DCT transmission. Reliability? Nobody even comes close to Honda there. Comfort? Hey, you’re talking about the people who build the Gold Wing. Off-road performance? Ever heard of the Baja 1000 or the Dakar Rally? All that expertise goes into every Africa Twin we build.For 2022 we’re offering four different Africa Twin models. Our standard Africa Twin is a great choice for serious off-road enthusiasts, with either a six-speed manual transmission or our optional DCT. For long-distance adventure touring, check out our two Africa Twin Adventure Sports ES models: They offer special features like electronically controlled suspension, an adjustable windscreen, larger fuel tank, heated grips, tubeless tires, and more. They too are available with either manual transmission or DCT. And every Africa Twin in our line features Android Auto this year, along with new control settings and a tasty new color choice.Features may include:POWER1084cc TWIN-CYLINDER ENGINEThe CRF1100L Africa Twin sports one of the best engines ever in an adventure bike. The parallel-twin design is narrow, and delivers torque everywhere from idle to redline. You’ll have more grunt down low, and cruise easy on the open road.ENGINEERINGCRUISE CONTROLHere’s one of the worst-kept secrets in the motorcycling world—Honda Africa Twins make great long-distance touring bikes. To that end, we’ve equipped our Africa Twin models with cruise control, just like our Gold Wings. Your next adventure really starts a couple of hundred miles away? No problem!HANDLINGLONG-TRAVEL FRONT SUSPENSIONThe Africa Twin doesn’t just look like an adventure bike—it’s the real deal. Exhibit A: Check out its long-travel front suspension. The inverted Showa fork is fully adjustable with huge 45mm tubes and 9.1 inches of travel—the most front-end travel in the 1000cc off-road class.CONVENIENCEApple CarPlay™ AND ANDROID AUTO™ Apple CarPlay™* seamlessly integrates your compatible iPhone®* into your new Africa Twin, and Android Auto™ does the same for your Android phone. That means you can use your devices to access maps, music, and other services easily. You’ll have access to weather, playlists and telephone numbers while aboard. Available Bluetooth®-enabled wireless headsets let you communicate more easily than ever. And best of all, with more apps available every day, your bike’s technology and convenience remain on the cutting edge.Sunrise Honda of Rogers1050 WEST HUDSON RD.Rogers, AR 72756Ask for: SALES STAFFPrimary Phone: (479) 903-7373A27FBAFAEA464DBBB650D168074EE06C 34305924 10416588",,,,,,,,
2184,100.0,fayar,https://fayar.craigslist.org/mpo/d/farmington-harley-parts-apparel/7472160138.html,2022-04-16 15:07,Harley Parts/Apparel,0,,,,,,,"New, never used rain gear, sissy bar seat, travel luggage bag, new half helmet, used full face helmet, one piece used rain gear. All parts for 2020 Street Glide Special, will fit 20> touring bikes. Also have stock suspension and stock exhaust/headers if interested. Text or call for prices/ availability. Two seven zero seven zero five 9 9 four 3. Daniel.",, new,,,,,,
