,Price,Location,URL,Date,Title,condition,make / manufacturer,model name / number,part type,num image,text,bicycle frame material,bicycle type,frame size,wheel size,brake type,handlebar type,size / dimensions,electric assist,suspension,paint color,year manufactured
1197,145.0,flagstaff,https://flagstaff.craigslist.org/bop/d/sedona-topeak-dual-touch-bike-stand/7471896228.html,2022-04-15 20:14,Topeak Dual-Touch Bike Stand 2 Bikes, excellent, Topeak, Dual-Touch Bike Stand, other,14,Topeak Dual-Touch Bike Stand: 2-bike   $ 145.00 Each Bike Stand or $ 275.00 for Both ......  MAX WEIGHT CAPACITY18 kg / 39.7 lb (Per Hook) 72 kg / 158.7 lb (Per Stand)  SIZE320 x 44 x 18 cm / 126” x 17.3” x 7.1” (Open) 190 cm / 74.8” (Folded)  WEIGHT 5 kg / 11.02 lb,,,,,,,,,,,
1198,200.0,flagstaff,https://flagstaff.craigslist.org/bik/d/flagstaff-quality-used-bikes-for-sale/7461047507.html,2022-04-15 09:29,Quality Used Bikes for sale!,,,,,0,"Hello, I run a quality used bike shop (www.flagstaffbikes.org), and carry a large range of bikes. All my bikes come in good working condition. Email me with your height and the type of bike you’re looking and I’ll let you know what I have available.  Cheers, Adam", other/unknown, other, all sizes, other/unknown,,,,,,,
1199,295.0,flagstaff,https://flagstaff.craigslist.org/bik/d/rimrock-brand-new-2022-framed-freestyle/7467301293.html,2022-04-14 21:09,2 brand new 2022 framed freestyle bikes, new, framed,,,2,2 brand new framed 2022 bikes never been used 1 black slick 1 white polished 295 each obo or poss trade ? Take them both for a package price 928 three 00 eight 270, aluminum, bmx, 20, 20 in, caliper, bmx,,,,,
1200,10.0,flagstaff,https://flagstaff.craigslist.org/bop/d/flagstaff-kona-bikes-saddle/7471301919.html,2022-04-14 12:13,Kona Bikes saddle,,,,,0,,,,,,,,,,,,
1201,2295.0,flagstaff,https://flagstaff.craigslist.org/sgd/d/electric-the-mid-drive-ebike-that/7468107372.html,2022-04-07 06:55,ELECTRIC! The Mid-drive eBike that Shreds! CyberBike eMountain Bikes!, new, Cyberbike,,,15,"Introducing the New 2022 Cyberbike Electric Mountain Bikes   Riders agree: Nothing comes close to Cyberbike's combination of performance, value, style, and quality.  See the Cyberbike Mullet Pro in action HERE! (and here, by popular demand, is last year's intro featuring Division 1 Collegiate Mountain Racer Corey Jackson on the first edition Cyberbike) Order online for fast delivery at www.Cyberbike.com All 2022 Cyberbikes are in stock and ready to shred, Order yours before they're sold out!  More mid-drive power than ever Awesome new color graphic display Easier to ride, lower standover frame, the lowest of any mid-drive eMTB New, structurally superior, mountain ready rear suspension linkage The best brakes in the business, even Quad-piston brakes on some models! Massive brake rotors up to 220mm 34mm gold tube forks on some models up to 140mm travel Wider range of models  A proper e-Mountain bike needs to be mid-drive and have full suspension, it's as simple as that. Until now, if you wanted an electric mountain bike to tackle rugged trails, your choices have been heavy, low-quality, fat tire, hub-motor beach bikes, or legacy brands charging $4000 or more for low-power eBikes without full suspension.   Whether your knees are tired or you just want to shred, there is simply no better choice for performance and value than Cyberbike. An American company with great customer support: Cyberbike, USA. The mountains are calling. Will you answer?  Cyberbike eBikes come all with the quietest and most powerful motor in its class, with a long range (65 miles and more) battery, and powerful e-spec hydraulic disk brakes that will be there when you need them. A lightweight package with 500 watts of power, top-of-the-line battery range, and quality components, all for the price of an inexpensive yet stellar bike! You'll get so much more than other eBikes with the CyberBike, it's the real e-MTB experience for the adventurous rider. Performance, specs, and quality components throughout, and the best warranty in the industry, from an American company with experienced American mechanics on call for all your tech support needs.  54 volt/500 watt climbing power with 13Amp hour Li-Ion battery and only 52 lbs means you'll get power and tons of battery range. Now with available throttle! Now from only $2495 Note: Owning and riding comes with risks. Wear proper protection, properly maintain and check your bike, and ride within your limits. By purchasing our products you agree to take full responsibility for the ownership of your bike, including the above and all other reasonable precautions for yourself or anyone you allow to ride your bike.",,,,,,,,,,,
1202,125.0,flagstaff,https://flagstaff.craigslist.org/bik/d/clarkdale-bikes-parts-art-mountain-bike/7455806147.html,2022-04-04 13:46,"BIKES, PARTS, ART, MOUNTAIN BIKE, BEACH CRUISER, SCHWINN, GIANT",,,,,17,"BIKES, PARTS, ART, MOUNTAIN BIKE, BEACH CRUISER, SCHWINN, GIANT  DESCRIPTION SELLING AS ONE LOT, NOT INDIVIDUALLY.  One Large lot of used bicycles. 21- plus bikes, full and partial. rims, tires, forks, frames, etc. I am a metal artist and going through my yard and thinning out items I do not need or have immediate plans for, before a possible move. These bikes have been sitting outside for awhile, have rust on some of them, a few are aluminum frame, most are steel, many aluminum and steel wheels also go with the lot. I had plans on making a giant outdoor bike sculpture out of the parts, but do not have the time while remodeling before selling. If you are creative and would like to make something out of these to be creative, you cant go wrong.   SPECIFICATIONS Various brands, mountain, street, kids, ladies, beach cruiser, etc.  USES AND IDEAS Art sculptures for indoor or out doors, tables, lamps, gears and pulleys, invent your own bike, etc.  TERMS PHONE CALLS ONLY ! Human interaction is not an inconvenience. ALL TEXTS and EMAILS are considered FRAUDULENT and WILL be IGNORED. I do not need an agency’s help in selling ANY item. ALL Sales Final. There are no expressed or implied warranties or uses for a particular purpose of any kind, unless particular manufacturer of an item offers a warranty, I do not!  LOCATION This item is located in Cottonwood, Arizona. 1 1/2 hours north of Phoenix on I-17, Camp Verde exit # 287, take Hwy 260 towards Cottonwood, it’s a 10 minute drive from I-17. Delivery may be available depending on final selling price, distance, circumstances, etc.   PHONE CALLS ONLY  My phone number is partially spelled out to reduce spammers.   nine28-three01-44two6  MOVING, MUST SELL ASAP  ********** ASKING $125  OBO. CASH ONLY **********   NOTE: If the ad is up, item is still available.", other/unknown, other, all sizes, other/unknown,,,,,,,
1203,200.0,flagstaff,https://flagstaff.craigslist.org/bik/d/flagstaff-bikes-for-refurbishment/7466475978.html,2022-04-03 10:14,Bikes for refurbishment,, Various,,,6,Several mountain bikes ready for some refurbishment. Will make a good deal if interested in all of them., other/unknown, mountain, Various, 26 in,,,,,,,
1204,2450.0,flagstaff,https://flagstaff.craigslist.org/bik/d/flagstaff-salsa-cutthroat-apex/7472995419.html,2022-04-18 17:52,Salsa Cutthroat Apex 1, good, Salsa, Cutthroat Apex 1,,13,"For sale! Hot pink 2019 Salsa Cutthroat Apex 1.  THE GOOD  - Carbon fiber.  - Tubeless 29ers.  - Versatile from geometry and 2.5"" tire clearance (peanut butter bud, no problem)  - New tires (seen in photos).  - Extra pair of brand new tires, still in packaging (Maxxis Ardent).  - Deity flats.  - Everything in working order and red 2 shred.  THE BAD  - Front tire has manufacturer's defect (warped). Very slight sway from side to side when you roll it. Not sure if you'd notice it if you didn't look for it. New set of tires are included, so you can leave it or swap it if you want.  - Bike has lots of desert dings and scratches! I've done my best to include these in the photos.  THE WHY  - Moving, with too many bikes! Accepting best offer!  Located 10 min. north of Flagstaff in Fort Valley.", carbon fiber, gravel, L, 29 in,,,,,,,
1205,500.0,flagstaff,https://flagstaff.craigslist.org/wan/d/flagstaff-buying-small-engine-projects/7472863687.html,2022-04-18 12:44,Buying small engine projects,,,,,0,"I buy project quads (no Chinese), riding mowers, golf carts, snow mobiles, quality brand chainsaws, air compressors and other small engine tools  go carts, mini bikes . I pay cash or will haul off for free.",,,,,,,,,,,
1206,12000.0,flagstaff,https://flagstaff.craigslist.org/for/d/flagstaff-suzuki-strom-650/7472846861.html,2022-04-18 12:13,Suzuki V-Strom 650, new,,,,15,"Selling my practically brand new 2018 V-Strom 650, with Super low Miles 3323, (just past break-in) and one of the best extended warranties that's fully transferable! This bike has been meticulously maintained and is the best one you'll find for sale. I've put nearly 17 grand into it in parts and labor. Unfortunately, I just can't ride anymore so my loss is your gain. I've babied this bike and no expense has been spared on it. Below is a list of all the aftermarket parts, which are the best you can find for these bikes. If you have any questions please let me know. Test rides will only happen with cash in hand and a valid MC license. I also have some gear that I may throw in depending on the offer. I also have a ton of extra parts that go with it. This is the most comfortable and versatile bike I've owned that didn't cost 30k. I've had two of these and they are bulletproof I put over 100,000 miles on the last one without any major issues. It has plenty of power for cruising on the highway and is much sportier than it looks. Easily ride two-up, without a care. and it's comfortable on long-distance trips. I averaged around 60mpg on the highway and was much better in town. I'm sure there's something I'm missing but come and take a look and you'll agree it's a great bike. ABS Option, with Multiple traction control settings  Outback mototek crashbars  Outback mototek large skid plate  Oxford touring heated grips with an intelligent controller.  Rox anti-vibration bar risers  Paddle grip throttle controller  BMW wide grip off-road footpegs  Givi monokey top box large fits full-face helmet and jacket.  Givi mounting plate  Added third brake light  Eastern beaver brake light wiring harness  Happy trails center stand  Baha designs smart lighting controller, with dimmer functions, and a secondary relay.  Wired for auxiliary lights  Auxiliary light tube clamps  Cyclops led high beam and low beam  Cetek batter tender jump port  Extra sets front and rear brake pads  Heavy-duty outdoor-rated cover",,,,,,,,,,,
