,Price,Location,URL,Date,Title,num image,bicycle frame material,bicycle type,brake type,condition,electric assist,frame size,handlebar type,make / manufacturer,model name / number,suspension,wheel size,text,part type,size / dimensions,paint color,year manufactured,serial number
5882,5.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-bikes-for-sale/7472945260.html,2022-04-18 16:35,Bikes for sale,0,,,,,,,,,,,,,,,,,
5883,100.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-new-colorado-bikes-cruiser/7472833100.html,2022-04-18 12:48,New Colorado Bikes Cruiser,12, steel, cruiser, coaster, new, none, 22.5in, cruiser, Colorado Bicycles, Colorado Bikes, none (rigid), 26 in,New Condition Colorado Bikes Cruiser Single Speed Front Headlight Ridden only 2-3 times Beautiful Turquois/Green color,,,,,
5884,150.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-bikes-for-sale-and-extra/7472694649.html,2022-04-18 08:40,Bikes for sale and extra tires,0, other/unknown, other,, good,, 27,,,,, 27.5 in,A few bikes for sale 150 dollars has extra tires and rims,,,,,
5885,175.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-jamis-bikes/7464886394.html,2022-04-17 18:46,JAMIS BIKES,15, aluminum, hybrid/comfort,, excellent,, Medium,,,,, 700C,Selling our jamis bikes $175 each One is hybrid confront One is heavy duty mountain bike,,,,,
5886,75.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-vintage-bikes/7470579161.html,2022-04-17 18:45,Vintage Bikes,3, other/unknown, road,,,, Medium,,,,, other/unknown,Vintage bikes one SCHIWWN and one Raleigh both from the 70s both skinny tires 75 each have 2 bikes,,,,,
5887,250.0,fortcollins,https://fortcollins.craigslist.org/bik/d/cheyenne-nice-specialized-bikes/7472511372.html,2022-04-17 15:46,Nice specialized bikes,2, aluminum, mountain,,,, 56,, Specialized,,, 24 in,"2 nice bike 250 each 475 for both,I am not sure about size. I am 5'10 and the bikes were fired for me 10 years ago",,,,,
5888,1750.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-rad-rover/7470167175.html,2022-04-16 09:49,Rad Rover 6+,0,,,,,,,,,,,,,,,,,
5889,60.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-trunk-rack-for-bikes-super/7460243627.html,2022-04-16 07:34,"Trunk Rack For 2 Bikes- Super LIghtweight and Folding ""Allen AL02""",0,,,,,,,,,,,,,,,,,
5890,29.0,fortcollins,https://fortcollins.craigslist.org/bik/d/wellington-spring-is-near-bikes-and/7459927137.html,2022-04-15 16:49,"Spring is near, bikes and trikes and wagons here",8, alloy, cruiser,,,, Medium,,,,, 20 in,"Spring is near, bikes and trikes and wagons are here.  Plastic cars $30, trikes $20 and $30, vintage tandem bike $199, Diamond Back Cruiser $99, vintage banana seat bike $149, Barbie Wagon $49, vintage tonka dumps and plows $20 each.     Thanks for looking",,,,,
5891,1100.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-box-dog-bikes-pelican-50cm/7470628797.html,2022-04-12 22:42,Box Dog Bikes Pelican 50CM Frameset,5, steel, road,,,,,,,,,,"50CM Box Dog Bikes Pelican Nitto M12 Front Rack Tektro CR720 brakes  I'll be keeping all the other parts from this build.  Absolutely amazing bike, just barely too small for me and so I have to part ways with it.  All you need to know - https://www.boxdogbikes.com/pelican-full",,,,,
5892,1234.0,fortcollins,https://fortcollins.craigslist.org/bik/d/cheyenne-vintage-mtn-bikes/7470410935.html,2022-04-12 12:31,Vintage mtn bikes,0,,,,,,,,,,,,,,,,,
5893,400.0,fortcollins,https://fortcollins.craigslist.org/atq/d/fort-collins-vintage-bikes/7470379892.html,2022-04-12 11:35,Vintage Bikes,5,,,, fair,,,,,,,,Vintage Bikes from the 70's. They have been stored inside but all need some TLC. Shwinn Sting Ray Slik Chik. Texas Ranger Bronco. Texas Rangerette.   All 3 for $400 OBO,,,,,
5894,40.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-bikes/7469970568.html,2022-04-11 12:55,bikes,3, other/unknown, other, none,, other, 24,,,,, 24 in,Bikes,,,,,
5895,175.0,fortcollins,https://fortcollins.craigslist.org/bop/d/loveland-sportrack-adjustable-bicycle/7469296197.html,2022-04-09 18:37,SportRack Adjustable Bicycle Stand for Two Bikes -Steel (Vinyl-Coated),9,,,, like new,,,, SportRack, SR0012,,,"This is the exact same item as the Thule Bike Stacker that costs $230 plus tax (making it about $250 after tax) with the only difference being the sticker across the top. This has been confirmed by several bike forums online that they're made on the same assembly line and the sticker slapped on at the end is the only difference. Great rack in great condition and a great way to save a few bucks over buying new.  •Sport Rack SR0012 Adjustable Bike Stand •Neat, balanced mounting for every style bike •Infinite adjustable bike hangers •V-shaped bike soft rubber holders will not mar paint or crush cables •1"" x 2"" steel construction wont bend even with heavy cruisers •Dimensions: 44.5 x 17.4 x 2.9 inches", other, Adjsutable,,,
5896,300.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-very-nice-bikes/7469121002.html,2022-04-09 11:46,2 very nice bikes,8, aluminum, road,,,, Large,,,,, 28 in,Call me if interested . Look at the pictures the name and brand are in pictures   Call or text 970 two nine six 2722  Posting for a friend .,,,,,
