,Price,Location,URL,Date,Title,num image,text,bicycle frame material,bicycle type,condition,frame size,wheel size,make / manufacturer,model name / number,brake type,electric assist,handlebar type,suspension,size / dimensions
2277,985.0,fortsmith,https://fortsmith.craigslist.org/snd/d/sapulpa-wheelers-dirt-bikes-go-karts-in/7470315624.html,2022-04-12 10:39,"4 WHEELERS, DIRT BIKES & GO KARTS!!!! IN STOCK NOW!!!",10,"New ATV's, Dirt bikes and Go Karts in stock now with 6 months part warranty. All prices are total out the door, no taxes (go karts excluded).  Check out our inventory at kickstartatv.com  Layaway available!!!   $100 down 6 months to pay off and pick up.  No credit check  Sapulpa, OK Close to Tulsa  We beat any advertised price!!!!!  Only at Kickstart ATV!!!!  Open Tuesday - Friday 9 to 5.  Saturday 9 to 3.   609 E Taft Ave Sapulpa, OK 74066  918.277.1905 call/text Brad  kickstartatv.com   honda kawasaki suzuki polairs tractor utv fourwheeler four kubota wheeler cuff cheap ok directions game harley horse atv dirtbike dirt bike coolster taotao tao outdoor tao roketta hawk gmc toyota 4x4 affordable lumber outdoors real cycle cycles  estate metal parts xbox playstation new used mahindra scooter 150cc 110cc 125cc 250 go karts 450 rfz metric powersports tulsa metric cycles",,,,,,,,,,,,
2278,10.0,fortsmith,https://fortsmith.craigslist.org/bik/d/fort-smith-two-girls-bikes/7468659498.html,2022-04-08 12:17,Two Girls Bikes,2,"Two girls bikes.  Both in working condition.  One has 18"" wheels.  One has 20"" wheels.  No holes in the tubes.   $10 each.", steel, kids, fair, child, 20 in,,,,,,,
2279,950.0,fortsmith,https://fortsmith.craigslist.org/bik/d/van-buren-2017-specialized-ariel-elite/7472887294.html,2022-04-18 15:41,2017 specialized ARIEL ELITE CARBON,0,,,,,,,,,,,,,
2280,25.0,fortsmith,https://fortsmith.craigslist.org/mpo/d/pocola-various-brake-pedal-levers-some/7467648164.html,2022-04-17 18:54,Various brake pedal levers some Harley,24,"I have several brake levers in good condition some steel chrome and some Harley aluminum if you have any of these bikes you will recognize them. Ok zoom in to all the pictures and look at them closely as this is an,  “as is basis sale.” Thank you for looking.   Disclaimer; Cash in Person is obviously preferred, if not I will ship the part/part’s to the lower 48 on your dime using FedEx after your electronic payment clears in full. ABSOLUTELY NO PAYMENT IN ANY FORM OF PAPER OTHER THAN CASH, TOO MANY FAKE PEOPLE AND WAYS TO FORGE REAL LOOKING PAPERWORK!!!!!! We can use, PayPal, Zelle, or several other electronic payments, must be electronic no exception’s.If you have a problem with electronic payments and can’t buy in Person then thank you for looking.  Please ask if you miss understand any part of the payment or shipping guidelines and we will discuss it in more detail.",,, good,,,,,,,,,
2281,18099.0,fortsmith,https://fortsmith.craigslist.org/mcd/d/rogers-2022-honda-africa-twin-adventure/7472174932.html,2022-04-16 15:37,2022 Honda Africa Twin Adventure Sports ES Automatic DCT,0,"Sunrise Honda of RogersAsk for: SALES STAFF☎ (479) 903-73731050 WEST HUDSON RD. Rogers, AR 72756Enter this link to see more images plus all other inventory we have available: http://lyv.cc/XFQYE2022 Honda Africa Twin Adventure Sports ES Automatic DCTPrice: $18,099.00Basic Information:Year: 2022Make: HondaModel: Africa Twin Adventure Sports ES Automatic DCTCondition: NewType: Off-RoadTitle: CleanBrakes:ABS BrakesLinked Brake System Front to RearRear Brake: Hydraulic DiscChassis & Suspension:Rear Adjustable Shock / Spring Pre-LoadComfort:Cruise ControlDigital InstrumentationTrip OdometerEngine:Carburetion Type: Fuel InjectedCooling System: LiquidEngine Size (cc): 0Engine Stroke: 4-StrokeFuel InjectorStarter: ElectricValve Configuration: SOHCValves Per Cylinder: 4Other Information:Exterior GuardsFoot PegsFront FenderHand GripsRear FenderStandSafety:Fuel Level WarningRearview MirrorsTemperature WarningSpecifications:Front Tire Speed Rating: HRear Tire Speed Rating: HWheels Composition: AluminumSpeedometerTachometerDescription:2022 Honda® Africa Twin Adventure Sports ES Automatic DCTRIDE THE WORLDAdventure bikes are super-popular these days, and it’s easy to see why. They let you ride just about anywhere. Plus, their upright seating and sensible riding position let you rack up the miles in comfort. But they face a challenge, too: they need to combine state-of-the-art touring and riding technology with total reliability.And that’s why Honda Africa Twin models are so far out in front of all the rest. Technology? Check out things like Apple CarPlay™, Android Auto™, and of course our available automatic DCT transmission. Reliability? Nobody even comes close to Honda there. Comfort? Hey, you’re talking about the people who build the Gold Wing. Off-road performance? Ever heard of the Baja 1000 or the Dakar Rally? All that expertise goes into every Africa Twin we build.For 2022 we’re offering four different Africa Twin models. Our standard Africa Twin is a great choice for serious off-road enthusiasts, with either a six-speed manual transmission or our optional DCT. For long-distance adventure touring, check out our two Africa Twin Adventure Sports ES models: They offer special features like electronically controlled suspension, an adjustable windscreen, larger fuel tank, heated grips, tubeless tires, and more. They too are available with either manual transmission or DCT. And every Africa Twin in our line features Android Auto this year, along with new control settings and a tasty new color choice.Features may include:POWER1084cc TWIN-CYLINDER ENGINEThe CRF1100L Africa Twin sports one of the best engines ever in an adventure bike. The parallel-twin design is narrow, and delivers torque everywhere from idle to redline. You’ll have more grunt down low, and cruise easy on the open road.ENGINEERINGCRUISE CONTROLHere’s one of the worst-kept secrets in the motorcycling world—Honda Africa Twins make great long-distance touring bikes. To that end, we’ve equipped our Africa Twin models with cruise control, just like our Gold Wings. Your next adventure really starts a couple of hundred miles away? No problem!HANDLINGLONG-TRAVEL FRONT SUSPENSIONThe Africa Twin doesn’t just look like an adventure bike—it’s the real deal. Exhibit A: Check out its long-travel front suspension. The inverted Showa fork is fully adjustable with huge 45mm tubes and 9.1 inches of travel—the most front-end travel in the 1000cc off-road class.CONVENIENCEApple CarPlay™ AND ANDROID AUTO™ Apple CarPlay™* seamlessly integrates your compatible iPhone®* into your new Africa Twin, and Android Auto™ does the same for your Android phone. That means you can use your devices to access maps, music, and other services easily. You’ll have access to weather, playlists and telephone numbers while aboard. Available Bluetooth®-enabled wireless headsets let you communicate more easily than ever. And best of all, with more apps available every day, your bike’s technology and convenience remain on the cutting edge.Sunrise Honda of Rogers1050 WEST HUDSON RD.Rogers, AR 72756Ask for: SALES STAFFPrimary Phone: (479) 903-7373A27FBAFAEA464DBBB650D168074EE06C 34305924 10416589",,,,,,,,,,,,
2282,35.0,fortsmith,https://fortsmith.craigslist.org/mpo/d/pocola-front-caliper-in-very-good/7467133169.html,2022-04-16 09:17,Front caliper in very good condition,8,"I have a front caliper in very good condition that will fit most bikes medium size. Please zoom in to all the pictures and look at them closely as this is an, “as is basis sale.” Thank you for looking.   Disclaimer; Cash in Person is obviously preferred, if not I will ship the part/part’s to the lower 48 on your dime using FedEx after your electronic payment clears in full. ABSOLUTELY NO PAYMENT IN ANY FORM OF PAPER OTHER THAN CASH, TOO MANY FAKE PEOPLE AND WAYS TO FORGE REAL LOOKING PAPERWORK!!!!!! We can use, PayPal, Zelle, or several other electronic payments, must be electronic no exception’s.If you have a problem with electronic payments and can’t buy in Person then thank you for looking.  Please ask if you miss understand any part of the payment or shipping guidelines and we will discuss it in more detail.",,, good,,,,,,,,,
2283,55.0,fortsmith,https://fortsmith.craigslist.org/mpo/d/pocola-98-honda-magna-750-top-triple/7463437306.html,2022-04-16 08:57,98 Honda Magna 750 top triple tree,8,"I have a 98 Honda Magna 750 top triple tree that most likely fits other year’s and bikes. Please zoom in to all the pictures and look at them closely as this is an, “as is basis sale.” Thank you for looking.   Disclaimer; Cash in Person is obviously preferred, if not I will ship the part/part’s to the lower 48 on your dime using FedEx after your electronic payment clears in full. ABSOLUTELY NO PAYMENT IN ANY FORM OF PAPER OTHER THAN CASH, TOO MANY FAKE PEOPLE AND WAYS TO FORGE REAL LOOKING PAPERWORK!!!!!! We can use, PayPal, Zelle, or several other electronic payments, must be electronic no exception’s.If you have a problem with electronic payments and can’t buy in Person then thank you for looking.  Please ask if you miss understand any part of the payment or shipping guidelines and we will discuss it in more detail.",,, excellent,,, Honda 1998, Magna750,,,,,
2284,25.0,fortsmith,https://fortsmith.craigslist.org/mpo/d/pocola-honda-aero-wire-coil-in-good/7462088397.html,2022-04-16 08:53,Honda Aero 2 wire coil in good condition what year?,6,"I have a Honda Aero 750 2 wire coil, complete with caps looks to be in very good condition. Everything I have came off of wrecked running bikes so it’s fair to say that all my electrical works just fine. That being said I can’t Garuntee anything. Please zoom in to all the pictures closely as this is an, “as is basis sale.” Thank you for looking.   Disclaimer; Cash in Person is obviously preferred, if not I will ship the part/part’s to the lower 48 on your dime using FedEx after your electronic payment clears in full. ABSOLUTELY NO PAYMENT IN ANY FORM OF PAPER OTHER THAN CASH, TOO MANY FAKE PEOPLE AND WAYS TO FORGE REAL LOOKING PAPERWORK!!!!!! We can use, PayPal, Zelle, or several other electronic payments, must be electronic no exception’s.If you have a problem with electronic payments and can’t buy in Person then thank you for looking.  Please ask if you miss understand any part of the payment or shipping guidelines and we will discuss it in more detail.",,, good,,, Honda, Aero 750 Shadow/Spirit?,,,,,
2285,35.0,fortsmith,https://fortsmith.craigslist.org/mpo/d/pocola-honda-spirit-oval-air-cleaner/7467136806.html,2022-04-16 08:45,Honda Spirit oval air cleaner,17,"I have 2 Honda Spirit oval air cleaner’s that will be sold separately and both are a little different so I’m sure they fit on different bikes. Please zoom in to all the pictures and look at them closely as this is an, “as is basis sale.”  Disclaimer; Cash in Person is obviously preferred, if not I will ship the part/part’s to the lower 48 on your dime using FedEx after your electronic payment clears in full. ABSOLUTELY NO PAYMENT IN ANY FORM OF PAPER OTHER THAN CASH, TOO MANY FAKE PEOPLE AND WAYS TO FORGE REAL LOOKING PAPERWORK!!!!!! We can use, PayPal, Zelle, or several other electronic payments, must be electronic no exception’s.If you have a problem with electronic payments and can’t buy in Person then thank you for looking.  Please ask if you miss understand any part of the payment or shipping guidelines and we will discuss it in more detail.",,, good,,, Honda, Spirit/Shadow,,,,,
2286,45.0,fortsmith,https://fortsmith.craigslist.org/mpo/d/pocola-harley-davidson-foot-peg-mounts/7461470877.html,2022-04-16 08:33,Harley Davidson foot peg mounts,4,"I have a matching pair of Harley Davidson passenger foot peg mount’s that only you know what bike they fit. I have several sets of these that fit several bikes and several year’s all listed in here. Please zoom in to all the pictures closely as this is an, “as is basis sale.” Thank you for looking.   Disclaimer; Cash in Person is obviously preferred, if not I will ship the part/part’s to the lower 48 on your dime using FedEx after your electronic payment clears in full. ABSOLUTELY NO PAYMENT IN ANY FORM OF PAPER OTHER THAN CASH, TOO MANY FAKE PEOPLE AND WAYS TO FORGE REAL LOOKING PAPERWORK!!!!!! We can use, PayPal, Zelle, or several other electronic payments, must be electronic no exception’s.If you have a problem with electronic payments and can’t buy in Person then thank you for looking.  Please ask if you miss understand any part of the payment or shipping guidelines and we will discuss it in more detail.",,, good,,, Harley Davidson,,,,,,
