,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,brake type,condition,electric assist,frame size,handlebar type,make / manufacturer,model name / number,serial number,suspension,wheel size,num image,text,part type,size / dimensions
2915,3600.0,goldcountry,https://goldcountry.craigslist.org/bik/d/foresthill-gorilla-pedego-trail-tracker/7463033823.html,2022-03-25 19:16,"Gorilla Pedego Trail Tracker, Monster Truck of E-Bikes", aluminum, cruiser, disc (hydraulic), like new, throttle, Medium, cruiser, Pedego, Trail Tracker Gorilla, LF201110072, none (rigid), 26 in,10,"I have a 2021 Pedego Trail Tracker, Gorilla edition electric cruiser bike for sale. This bike is very well taken care of and flawless of cracks and dings in the frame. The bike is very lightly used (mostly pavement and trails), and has very low miles with no wear and tear. Drivetrain and chain are not stretched at all. Fitted with massive 26x4 tires, this bike can handle anything from sand to snow to mud to trails and is a blast to ride. It is the perfect balance of comfort and performance. Everything in the pictures is included. Let me know what questions you have.  Details and Features: Pedego Trail Tracker Gorilla version, 26"" step thru frame, suspension seat post, pedal assist, throttle, 7 gears, like new, less than 250 miles, with Topeak rear tire rack and MTX trunk bag. 48V, 15AH battery. 4"" tires, integrated battery, front light. 1 year old. Black.  Five levels of pedal assist Suspension-equipped seat post, for a smoother ride Twist-and-go throttle Powerful geared motor, providing best in class power and acceleration Premier quality disk brakes Self-sealing tire tubes LCD display and USB charging port, to keep your phone and digital devices powered up  Check out complete specs at:   https://pedegoelectricbikes.com/product/trail-tracker-electric-fat-tire-bike/",,
2916,50.0,goldcountry,https://goldcountry.craigslist.org/bik/d/grass-valley-mountain-bikes-50/7460833264.html,2022-03-20 16:47,Mountain Bikes. $50, aluminum, mountain,,,, Medium,,,,,, 26 in,0,Several Mountain  bikes (6) to   choose from.  Mostly in good shape.  All will need either tires or a seat.  Bought a  set of  bikes so family  could ride together.  Now all kids off at college so selling.,,
2917,3700.0,goldcountry,https://goldcountry.craigslist.org/bik/d/grass-valley-giant-tcr-advanced-pro/7472969122.html,2022-04-18 16:35,Giant TCR Advanced Pro Disc 2017,,,,,,,,,,,,,0,,,
2918,675.0,goldcountry,https://goldcountry.craigslist.org/bop/d/tahoe-city-thule-roof-rack-bike-sup/7472717817.html,2022-04-18 08:24,Thule Roof Rack Bike/SUP/Kayak for SUV,,,, good,,,, Thule,,,,,7,"Complete system fits two bikes on Mid Size SUV with raised rails. Includes 4 Thule Rapid Crossroad 450R Fasteners, 4 Thule Locking Cores with keys,  2 Thule WingBar Evo blades and 2 Thule Proride Roof Mounted Bike Racks. Fits my 2020 RAV 4 TRD Offroad but likely to fit any SUV with raised rails and similar dimensions. Cross bars allow simultaneous or solo carrying of SUP or Kayak. Gently used and fully functional with no major defects.  Pick up in Tahoe City.", other,
2919,675.0,goldcountry,https://goldcountry.craigslist.org/bop/d/tahoe-city-thule-bike-roof-rack-for-suv/7472716971.html,2022-04-18 08:23,Thule Bike Roof Rack for SUV,,,, good,,,, Thule,,,,,7,"Complete system fits two bikes on Mid Size SUV with raised rails. Includes 4 Thule Rapid Crossroad 450R Fasteners, 4 Thule Locking Cores with keys,  2 Thule WingBar Evo blades and 2 Thule Proride Roof Mounted Bike Racks. Fits my 2020 RAV 4 TRD Offroad but likely to fit any SUV with raised rails and similar dimensions. Gently used and fully functional with no major defects.  Pick up in Tahoe City.", other,
2920,6000.0,goldcountry,https://goldcountry.craigslist.org/snw/d/martell-2017-ktm-duke-390/7472607166.html,2022-04-17 23:12,2017 KTM Duke 390,,,,,,,,,,,,,10,"This 2017 Duke 390 is a splendid bike all around. If you're a beginner it is easy to maneuver and stay grounded. If you're an advanced rider, then trust me, you can't find a better bike for the twisties. It practically rides using mind-control. It doesn't have an insane amount of power that you worry about it, but has enough power to make giggle each time you pull back the throttle.  This bike is fantastic and well-loved. Yes, I know the going rate for these bikes, but this one, in particular, is unlike all others. You will find an extensive list of mods and other goodies I am giving away with the bike.     I am only selling with the right offer. So please, no low-ballers. Registered for Feb 2023. Loved and cared for religiously. Oil Changes, services, and all maintenance done when needed per manufacture recommendation.  Here is a great site that reviews the stock version of the bike.   Bike Features: Ride-By Wire 273cc Liquid-Cooled 1-cyl TFT Color Display Front and Rear Byebre (Brembo) Brakes Standard ABS Supermoto Mode (No Traction Control on rear) AKA Drift Mode LED Headlamps WP Front and Rear Suspension Stock HP 44 (This Bike is Modded - so likely higher) 0-60 <5secs (Best I got was 4.8sec) I am 245lbs, 6' 1""!  List of modifications: Rapid Bike Evo (Auto-Tune)  -Better running bike, faster, automapping -accounts for fuel, air, mods, rider tendencies Competition Werkes Cat-Delete (stock included) Muffler Baffle Delete Engine Ice Coolant  Car Horn (louder+deeper than stock) TFT display screen Protector KTM My Ride unlocked (Bluetooth phone controls) K&N Air Filter Tank Pad Engine/Crash Cage Air Box port expansion Lithium-ion battery Replacement Custom Mounted LED pods (wired to stock High Brights) Color Matched Handle Bar Mirrors LED Blinker (front/Back) After Market Brake/Clutch Levers Extra cushion added to stock Seat OEM grab handles Tail Tidy license plate holder Custom LED rear Blinkers (programmable) Wired to stock blinkers Accent Lights (under front fairings)  Brake Light flasher New chain Semi off-road tires 16 tooth front sprocket (14+15 included) Brand New Double Sintered Brake Pads (Front+Rear)  Other Goodies: Motorcycle Jack Motorcycle Wheel Stands Engine Oil Engine Coolant Misc Stock Parts Stock Catalytic Converter (used <2k miles) XL KTM Motorcycle Jacket Motorcycle Cover KTM Owners Manual KTM toolkit KTM owners case 1 Key-cant find the other for the life of me (Code card included-used for re-key)",,
2921,40.0,goldcountry,https://goldcountry.craigslist.org/bik/d/cedar-ridge-racor-bike-rack/7472602576.html,2022-04-17 21:46,Racor 4 Bike Rack, steel, other,,,, 4 bike,, Racor, PLB-4R,,, other/unknown,3,Racor PLB-4R Free Standing Bike Rack.  This rack holds 4 bikes.,,
2922,300.0,goldcountry,https://goldcountry.craigslist.org/bik/d/pinecrest-salsa-timberjack-20-kids-bike/7472407854.html,2022-04-17 09:40,Salsa Timberjack 20 kids bike, aluminum, kids,, excellent,, Kids,, Salsa, Timberjack,, suspension fork (hardtail), 20 in,0,"Great bike to introduce young riders to gears and dual hand brakes. Nice fat tires roll through everything! Huge confidence builder for budding riders. Great condition, and well loved.  View bike specs here: https://www.salsacycles.com/bikes/2019_timberjack_20_sus  Email if interested. This bike is located in Arnold, no delivery available to other locations.",,
2923,25.0,goldcountry,https://goldcountry.craigslist.org/bik/d/camino-two-bike-racks-roof-and-frame/7470769011.html,2022-04-17 04:03,Two Bike Racks Roof and Frame Mount, steel, mountain,, good,, 36 inch approx.,, Thule Sportrack,,,, 26 in,5,"Sportrack is made by Thule. This model rack is a top rack holding 2 bikes. It clamps to your existing roof rack rails and has wheel track guides and a frame clamp. I will post pics soon. Holds 2 bikes. Clamps onto most any existing roof rack system.  Make offers as you wish, worst I could say is no.",,
2924,200.0,goldcountry,https://goldcountry.craigslist.org/mpo/d/cedar-ridge-huge-plastics-and-seat-lot/7472195870.html,2022-04-16 14:33,Huge Plastics and seat lot '03 KTM,,,,,,,,,,,,,10,At one point we had three 2003 KTM 525's both MXC and EXC.  This is a huge lot of new and used plastics and seats for those bikes. These parts fit many other years and models.  $200 for all of it! I prefer to sell this as a complete set. I have many other parts I will be listing including 2 tanks and a large variety of mechanical parts and lighting.  Time to clean out the shop.,,
