,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,brake type,condition,electric assist,frame size,handlebar type,make / manufacturer,suspension,wheel size,num image,text,model name / number,part type,serial number,size / dimensions
3014,200.0,hanford,https://hanford.craigslist.org/bik/d/avenal-two-vintage-bikes-fixed-gear/7464172376.html,2022-03-28 15:52,Two vintage bikes fixed gear cruisers murray Higgins, steel, cruiser, drum, good, none, medium, cruiser, Murray Higgins, none (rigid), 20 in,9,Two vintage bikes fixed gear cruisers  200 takes both one is a 1991 Murray grey blue no seat. Other is a Higgins sears and ro buck dont know year has fenders and a schwinn seat old. Both worked great berfore siting both still roll great selling as is will not separate. Serious inquiries only email only thanks for looking.,,,,
3015,350.0,hanford,https://hanford.craigslist.org/bik/d/avenal-schwinn-ss-road-bike-carbon/7472556412.html,2022-04-17 17:33,schwinn SS road bike carbon aluminum, aluminum, road, caliper, good, none, xs, flat, schwinn, suspension fork (hardtail), 700C,8,"Schwinn SS road bike carbon aluminum , this is not a Walmart schwinn,  this was one of schwinns top quality bikes, carbon fork , main stays, and fsa carbon crank. Asking $350 Comes with two sets of tires . Continental gator skins and cycle cross tires. Great bike for woman or man 5ft to 5ft 7"" show contact info", ss,,,
3016,800.0,hanford,https://hanford.craigslist.org/bik/d/hanford-marin-mountain-bike-excellent/7469694223.html,2022-04-10 19:07,Marin Mountain Bike - Excellent Condition, aluminum, mountain, hydraulic rim brakes, like new, none, XL frame, other/unknown, Marin,, 700C,4,"2021 XL frame San Anselmo DS bike for sale.  Excellent condition; only ridden a few times on neighborhood bike rides (not due to bike function; I am a liesure rider and would prefer a cruiser).  Purchased locally at Fulton Bike Works.  See link below from Marin Bikes.  Cash, Venmo, PayPal, or CashApp only.   https://www.marinbikes.com/bikes/2022-san-anselmo-ds2", San Anselmo,,,
3017,8999.0,hanford,https://hanford.craigslist.org/snd/d/hanford-yamaha-banshee-for-sale/7465785693.html,2022-04-01 13:35,YAMAHA BANSHEE FOR SALE!!,,,,,,,,,,,0,,,,,
3018,12345.0,hanford,https://hanford.craigslist.org/wad/d/hanford-wanted-motorhomes-fifth-wheels/7462543526.html,2022-03-24 16:07,WANTED  Motorhomes Fifth Wheels & Travel Trailers.,,,,,,,,,,,0,,,,,
3019,1.0,hanford,https://hanford.craigslist.org/wad/d/hanford-wanted-classic-cars/7462530590.html,2022-03-24 15:34,WANTED Classic Car's,,,,,,,,,,,0,,,,,
3020,1.0,hanford,https://hanford.craigslist.org/mcd/d/lathrop-harley-davidson-superstore/7462336084.html,2022-03-24 08:56,"HARLEY DAVIDSON SUPERSTORE FINANCING AVAILABLE HUGE INVENTORY RV, BOAT",,,,,,,,,,,0,,,,,
3021,30.0,hanford,https://hanford.craigslist.org/bop/d/hanford-bike-parts/7469211805.html,2022-04-09 13:45,Bike parts,,,,,,,,,,,17,"Handlebars are $30,  Heavy Duty tire tubes 20""and 26"" $10 each and  Tires are $40 per pair.",,,,
3022,8000.0,hanford,https://hanford.craigslist.org/snw/d/lemoore-ltr-450/7468778735.html,2022-04-08 13:54,ltr 450,,,,,,,,,,,0,,,,,
3023,4449.0,hanford,https://hanford.craigslist.org/mcd/d/visalia-2022-ttr-230/7468246940.html,2022-04-07 11:15,2022 TTR 230,,,,,,,,,,,0,"************ 2022 TTR 230 *****************  TOP FEATURES 1 . Broad, Accessible Powerband YZ-inspired looks with a stout 223cc air-cooled SOHC four-stroke produces predictable, broad power making the TT-R230 a great choice for both beginner and intermediate riders. 2 . Racing- Derived Ergonomics The competition-style flat seat and tank junction position the rider for greater mobility. 3 . Convenient Electric Start With a simple push of a button, the electric start makes getting started a breeze. 4 . Trail- Ready Dimensions The low seat height on top of a long-travel suspension and 11.6 inches of ground clearance make this a serious trail bike that's accessible for a wide range of riders. 5 . Robust, Compact Frame The steel, diamond-type frame design means great handling and strength.  ENGINE Broad, Accessible Powerband The 223cc air-cooled SOHC four-stroke puts out smooth, widespread power that is perfectly suited for all kinds of trails and riders. The super-reliable electric start adds quick-start convenience. — 6-Speed Transmission Smooth-shifting, six-speed transmission with heavy-duty clutch is geared for maximum versatility and usable power delivery. —Digital Ignition CDI magneto ignition system is ultra-reliable and nearly maintenance- free. —Free-Flowing Intake The YZ-type air filter offers easy maintenance and maximum airflow. —Forest-Friendly Exhaust Lightweight exhaust with quiet muffler and USFS-approved spark arrestor. —Low Maintenance Engine Automatic cam chain tensioner means minimal maintenance and longer engine life. CHASSIS/SUSPENSION Robust, Compact Frame The steel frame with a compact wheelbase and low seat height result in superb maneuverability and super responsive handling for beginner or intermediate riders. —Advanced Rear Suspension A linkage-mounted adjustable rear shock serves up 8.7 inches of smooth, progressive rear wheel travel for great bump absorption and handling. —Trail-Ready Front Fork The 36mm front fork with 9.4 inches of wheel travel provides plush, confidence-inspiring control over rough terrain. —Generous Ground Clearance Generous 11.6 inches of ground clearance is enough to handle almost any trail. —Lightweight Swingarm Aluminum box-section swingarm features snail-type chain adjusters for quick and easy chain adjustments. Dual Disc Braking System Front 220mm disc and 130mm rear drum brakes provide powerful, confident stops. —MX-Style Wheels and Tires Full-size 21-inch front and 18-inch rear aluminum wheels keep unsprung weight down while knobby tires provide motocross-spec grip. ADDITIONAL FEATURES Comfortable Saddle Long gripper seat is low, comfortable and allows for easy rider movement. —Racing Styling Team Yamaha-inspired colors and graphics and front and side number plates create distinctive, motocross styling. —Grippy Foot Pegs Large folding, cleated foot pegs provide excellent footing, even in wet or muddy conditions. —Fork Protection Durable fork boots provide excellent fork seal and stanchion tube protection.  SPECIFICATIONS: Engine Type 223cc air-cooled SOHC 4-stroke; 2 valves Bore x Stroke 70.0mm x 58.0mm Compression Ratio 9.5:1 Fuel Delivery Carburetor Ignition CDI Transmission Constant-mesh 6-speed; multiplate wet clutch Final Drive Chain Suspension / Front Telescopic fork; 9.4-in travel Suspension / Rear Single shock; 8.7-in travel Brakes / Front Hydraulic single disc, 220mm Brakes / Rear Drum, 130mm Tires / Front 80/100-21 Tires / Rear 100/100-18 L x W x H 81.3 in x 31.5 in x 46.5 in Seat Height 34.3 in Wheelbase 54.5 in Rake (Caster Angle) 27.0° Trail 4.4 in Ground Clearance 11.6 in Fuel Capacity 2.1 gal Fuel Economy n/a Wet Weight 251 lb Warranty 90 Day (Limited Factory Warranty)  FOR MORE INFO, PLEASE FEEL FREE TO CALL, EMAIL OR JUST STOP BY AND CHECK US OUT.  VISIT US AT www.ga-motorsports.com TO APPLY FOR FINANCING ON LINE  ALSO, FIND US AND LIKE US ON FACEBOOK TO SEE UPCOMING EVENTS AND DEALER SPECIALS.  ----------------------------------------------GA MOTORSPORTS-----------------------------------------------  ***ADDITIONAL DEALERS COST & FEES, TAX and LICENSE ARE NOT INCLUDED IN ADVERTISED PRICE***",,,,
