,Price,Location,URL,Date,Title,condition,make / manufacturer,model name / number,num image,text,bicycle frame material,bicycle type,frame size,suspension,wheel size,brake type,electric assist,handlebar type,part type,size / dimensions
38256,225.0,houston,https://houston.craigslist.org/bop/d/humble-mavic-aksirum-wheelset-for-road/7470306214.html,2022-04-18 20:27,Mavic Aksirum wheelset for road bikes, excellent, Mavic, Aksium race,9,Mavic Aksium race wheelset Excellent condition Shimano/Sram 9/10/11 speed compatible  Continental tires included  (Cassette not included),,,,,,,,,,
38257,60.0,houston,https://houston.craigslist.org/bik/d/houston-tag-along-bikes/7472994295.html,2022-04-18 19:48,Tag along bikes, good, Trek/Adams,,5,"I have 2 tag along style bikes for sale. My children have outgrown them, so time to clear them out. One is a Trek and the other is an Adams Trail a Bike. Both are in used, but good condition with lots of usable life left. The Trek is $60.00 and includes the clamp for a 27.2 seat post. The Adams is $40.00 because I don’t have the seat post shims for it.  I’ve seen them online from $15 to $20. I can meet in SW Houston in the afternoon or near downtown during the work day.", steel, kids, Small, none (rigid), 20 in,,,,,
38258,385.0,houston,https://houston.craigslist.org/bop/d/houston-skywalker-extra-large-extra/7464729896.html,2022-04-18 17:10,"Skywalker extra large, extra heavy duty bike rack for 6 bikes", like new,,,6,"Please text me only on Eight three two - eight six zero - two four five six.  if you are interested in the items posted,  all the items you see are still available, do not throw low ball offer, serious buyer only, no call please. Very heavy duty steel made,  very sturdy  Dimensions: 99"" L x 36"" D x 20"" H in great condition",,,,,,,,,,
38259,200.0,houston,https://houston.craigslist.org/bik/d/houston-specialized-bikes/7471897905.html,2022-04-18 13:15,SPECIALIZED BIKES,,,,5,"2 SPECIALIZED KIDS FOR SALE. 24"" WHEELS.  12"" FRAME SIZE.  ALUMINUM FRAME  7 SPEEDS  FRONT SUSPENSION.  IN GOOD CONDITION.  $200 EACH OR $380 FOR BOTH.  SERIOUS AND TOTAL INQUIRIES", aluminum, mountain, KIDS,, 24 in,,,,,
38260,300.0,houston,https://houston.craigslist.org/bik/d/houston-wanted-old-bikes-from-1980s-and/7467639344.html,2022-04-18 07:44,WANTED old bikes from 1980's and early 1990's,,,,0,"Looking for old Dyno, GT Performer, BMX, Redline, Mongoose, Hutch, Haro, Skyway, Kuwahara, etc. bikes / bicycles  Whole bikes or parts...", other/unknown, bmx, any,, 20 in,,,,,
38261,99.0,houston,https://houston.craigslist.org/mpo/d/houston-1100lb-motorcycle-atv-jack/7472621350.html,2022-04-18 04:27,1100LB Motorcycle ATV Jack scissor stand Hoist Bikes LIFT ANYTHING, new,,,3,"BRAND NEW IN BOX!!!  Lifts EVERYTHING and ANYTHING you want !!!   Product Features  LIFT UP TO almost 15 inches high!!!!!  Weight Capacity:  1,100 lbs. POUNDS  !!  For repairing , for use in the garage,  shop, outdoors  or at the track. Designed to fit most motorcycle models OR ATVS Wide deck center  Brand - Dragway Tools  Can be used to LIFT EVERYTHING AND ANYTHING ELSE also!!!!!   Introductions: This is our 1100LBS Motorcycle / ATV Jack, which is made from ULTRA strength Metal when loaded, the adjustable locking screws and  wheels improve stability and safety. But it will also roll easily on four durable casters, making it easy to position,  easy to adjust and easy to store.  It can be used alone or with almost any motorcycle lift It has an 1100 Lb. capacity, made of solid steel and it's easy to use, and so strong.  It'll easily handle small vehicles like dirt bikes and  ATVs.  Features: 1. New and in a good condition. 2. Adopting premium Metal for good hardness and durability. 3. With 1100lbs capacity. 4. Help you easily repair dirt bikes or ATVs. 5. Easy to operate. 6. 12 cm removable crank handle.   Specifications: Color:  Red Capacity:  1100 Lbs Minimum Height:  3.35"" / 8.5cm Maximum Height:  13.38"" / 33.99cm Dimensions:  (16.73 x 10.04 x 4.72)"" / (42.5 x 25.5 x 12)cm (L x W x H)    TAGS -  bikes ,,  lifting , motorcycles ,  scooter , moped , asdd ,,  high , raise , ATV , motocross , motor ,, repair , tools , dirt bike ,  lift  ,",,,,,,,,,,
38262,1.0,houston,https://houston.craigslist.org/bik/d/brenham-vintage-bikes/7472507870.html,2022-04-17 16:34,Vintage bikes,,,,6,"1940’s Western Flyer 500.00 and Rollfast bikes 350.00 also 96 GT , barely used 100.00 . Stored inside", steel, cruiser, Unknown,, 27 in,,,,,
38263,1600.0,houston,https://houston.craigslist.org/spo/d/friendswood-rogue-echo-bike-sole-bike/7472455832.html,2022-04-17 13:56,Rogue Echo Bike & Sole Bike for Sale, like new,,,11,"I have 2 bikes for sale.  I purchased both bikes at the end of Covid and I can't ride them due to knee injuries.  They are both like new. The Rogue bike has less than 10 minutes of use (most likely less).  Absolutely perfect condition.  I am willing to sell this bike for $700.00 (retail before tax and shipping is 845.00). Like I said, this bike is virtually new.  The Sole Stationary (LCB Studio) bike has approx. 25-30 hours of use.  Great bike but again, my knees can't take it.  Perfect Condition. Spent a lot of time looking for a great light commercial bike and it is well worth it. I am willing to sell this bike for $900 (retail before tax and shipping is $1,299.99).  https://www.roguefitness.com/rogue-echo-bike https://www.soletreadmills.com/Bikes/LCB-SOLE-Upright-Bike",,,,,,,,,,
38264,10.0,houston,https://houston.craigslist.org/bop/d/houston-brake-discs-for-front-and-rear/7472093621.html,2022-04-16 12:52,* Brake Discs for Front and Rear Mountain Bikes *,,,,0,,,,,,,,,,,
38265,4500.0,houston,https://houston.craigslist.org/snw/d/tomball-yamaha-yz-250-will-consider/7460101594.html,2022-04-16 10:44,Yamaha YZ 250 (will consider trades for other bikes),,,,8,"This bike is in excellent condition with no problems and under 47 hours of riding! The only reason I did not put ""like new"" is due to some scratches and dirt from trail riding. I have owned it for almost 3 years with no major problems. Like many Yamahas, it warms up a little slow but runs great and responds well. I have put handguards, a skid plate and a different FMF pipe on the bike since owning it (but I also have the original). I am only selling it because I prefer a different bike for trail riding and my wife and I are looking for land right now and could use the extra money.  I will entertain offers. I am offering to serious buyers only and I only accept cash but will consider trades for a 4-stroke and a smaller cash offer. This is NOT a beginner bike. If you are interested, you can call or text me. I WILL get back with you if I do not answer.",,,,,,,,,,
38266,150.0,houston,https://houston.craigslist.org/bik/d/houston-schwinn-mountain-bikes/7460595684.html,2022-04-16 07:40,Schwinn Mountain Bikes,,,,0,,,,,,,,,,,
38267,1.0,houston,https://houston.craigslist.org/sgd/d/conroe-atvs-utvs-dirt-bikes-go-karts/7471768861.html,2022-04-15 15:39,"ATVs, UTVs, Dirt Bikes, Go-Karts, Motorcycles, Scooters and more!",,,,0,"Prices start at just $999! We are also offering FREE delivery up to a 15 mile radius. (Inquire about further distances.)  INVENTORY LISTED HERE: austinpowersports.com/inventory  GET PRE-APPROVED HERE: austinpowersports.com/financing  We have lots of inventory to choose from! We also have financing options that are easy to qualify for right on our website!  All units include our dealer warranty (with extended warranty options) and a blue Texas Title! We have many units that are in the assembly process and will come available during the week. We do not charge any assembly or destination fees!  ATVs, UTVs, Dirt Bikes, Go-Karts, Motorcycles, Scooters and more!  Address: 817 N. Frazier St. Conroe, Texas 77301  Phone: 936-247-4500 CHOOSE OPTION 0  Hours: Tuesday-Saturday 10am-6pm (We are closed Sunday and Monday)  Website: austinpowersports.com Facebook: fb.com/austinpowersportsconroe Click on inventory to view our prices! Call or stop by today!  TAGS/KEYWORDS: ATV UTV DIRT BIKE DIRTBIKE TAO APOLLO TAOTAO DONGFANG SHANDONG FANGPOWER ELECTRIC GOKART GO-KART GO KART GOLF CART MOTORCYCLE SCOOTER MOPED FOUR WHEELER FOUR-WHEELER Z20 Z40 X18 DB-25 110cc 125cc 200cc 250cc 300cc OFF ROAD OFF-ROAD STREET LEGAL STREET-LEGAL UTILITY SPORT KAWASAKI HARLEY QUAD ENDURO 4 WHEEL PARTS SERVICE MECHANIC MOTO CYCLE MOTOR",,,,,,,,,,
38268,1800.0,houston,https://houston.craigslist.org/bik/d/houston-juiced-bikes-scorpion/7471469878.html,2022-04-14 22:05,Juiced Bikes Scorpion,,,,17,"Selling my Scorpion as I don't use it much. Been in storage for a while collecting dust, has less than 300 miles(will verify). Comes with the original charger too.   Also has the bike horn to alert others and extremely bright headlight/taillights. I've fallen once on it and the left handle bar tip has Some scratches from gliding on cement(Check Pictures). Overall works well and was super fun to use I just don't use it anymore and want to get rid of it.   Speed is 18-22mph, you can do 28mph if you add the off- road mod from their website.   Range is up to 75miles and parts for this are easily found on the manufacturer website apart from very thorough manuals for disassembly or repair.   Paid $2500 for it. Priced to sell or Best Offer.", aluminum, other,,,,,,,,
38269,350.0,houston,https://houston.craigslist.org/bik/d/houston-2006-haro-bikes-dave-mirra-540/7470565384.html,2022-04-12 19:13,"2006 HARO Bikes Dave Mirra 540 BMX Flatland Freestyle Bike 20"" Bicycle", good,,,6,"I am offering up for sale this collectible 2006 HARO Bikes Dave Mirra 540 BMX Flatland Freestyle Bike 20"" Bicycle.  It is left hand drive as all real Mirra bikes are. Dave Mirra died back in 2016 and these bikes are becoming more and more rare as the years go by.  This bike is ALL ORIGINAL and still in nice shape with a few dings and scratches. Not to shabby for a 16 year old bike !   It consists of the following components:  HARO BIKES Dave Mirra 540 Chro-Moly Frame HARO BIKES Dave Mirra 540 Chro-Moly Threadless Forks HARO Threadless 4-Bolt Stem HARO  Chro-Moly SEVEN 7.5 2PC Handlebars Aheadset Threadless Headset HARO Grips with Bar Ends TEKTRO 990 Brake Levers (Front and Rear) TEKTRO 990 Brake Calipers (Front and Rear) Odyssey GYRO Brake Detangler System HARO BIKES Seat Clamp HARO BIKES Seatpost HARO BIKES Padded Saddle Seat HARO BIKES 3 PC Cranks with HARO Chainring HARO BIKES Aluminum Platform Pedals AlexRims DM18 Aluminum 36 Spoke 20"" Rims with 14mm Haro Hubs HARO Multi Surface Flatland/Freestyle/Street Tires Pegs on rear   The top tube length from center of steering tube to center of seatpost insert tube is 20.5 inches.   This bike is in good condition and rides great.  $350 CASH gets you this great bike !   Thanks for looking.", steel, bmx, 20.5 TT, none (rigid), 20 in, u-brakes, none, riser,,
38270,20.0,houston,https://houston.craigslist.org/bik/d/katy-bikes/7470130849.html,2022-04-11 19:49,2 bikes,, Schwinn, Ranger,0,2 Bikes. Works but tires need pumping., other/unknown, cruiser, Medium,, 24 in,,,,,
38271,10.0,houston,https://houston.craigslist.org/bik/d/katy-bikes/7469964714.html,2022-04-11 13:44,Bikes,,,,0,"I have three kid's bikes. Two of them need either a new innertube or tire, but otherwise work fine. $10 each or $25 for all three. My kids have outgrown and I no longer need them. Call or text Joe.", steel, bmx, 12,, 12 in,,,,,
38272,100.0,houston,https://houston.craigslist.org/spo/d/houston-two-excercise-bikes/7468733848.html,2022-04-08 14:28,Two Excercise bikes, good, Doufit, EB-01,2,Take both for $100.  Email me for more info or pick up.  Doufit EB-01 Exercise Bike with Seat  Fit Quest 699-794 (Purple/Black color),,,,,,,,,,
38273,30.0,houston,https://houston.craigslist.org/spo/d/houston-floor-stand-for-bikes/7468631822.html,2022-04-08 11:29,Floor Stand for 2 bikes, like new,,,4,Floor rack for 2 bikes. $30 *bicycles not included *,,,,,,,,,,
