,Price,Location,URL,Date,Title,condition,make / manufacturer,num image,text,bicycle frame material,bicycle type,brake type,frame size,model name / number,suspension,wheel size,size / dimensions,electric assist,paint color,year manufactured,handlebar type
2492,2295.0,littlerock,https://littlerock.craigslist.org/sgd/d/electric-the-mid-drive-ebike-that/7468129925.html,2022-04-07 09:43,ELECTRIC! The Mid-drive eBike that Shreds! CyberBike eMountain Bikes!, new, Cyberbike,15,"Introducing the New 2022 Cyberbike Electric Mountain Bikes   Riders agree: Nothing comes close to Cyberbike's combination of performance, value, style, and quality.  See the Cyberbike Mullet Pro in action HERE! (and here, by popular demand, is last year's intro featuring Division 1 Collegiate Mountain Racer Corey Jackson on the first edition Cyberbike) Order online for fast delivery at www.Cyberbike.com All 2022 Cyberbikes are in stock and ready to shred, Order yours before they're sold out!  More mid-drive power than ever Awesome new color graphic display Easier to ride, lower standover frame, the lowest of any mid-drive eMTB New, structurally superior, mountain ready rear suspension linkage The best brakes in the business, even Quad-piston brakes on some models! Massive brake rotors up to 220mm 34mm gold tube forks on some models up to 140mm travel Wider range of models  A proper e-Mountain bike needs to be mid-drive and have full suspension, it's as simple as that. Until now, if you wanted an electric mountain bike to tackle rugged trails, your choices have been heavy, low-quality, fat tire, hub-motor beach bikes, or legacy brands charging $4000 or more for low-power eBikes without full suspension.   Whether your knees are tired or you just want to shred, there is simply no better choice for performance and value than Cyberbike. An American company with great customer support: Cyberbike, USA. The mountains are calling. Will you answer?  Cyberbike eBikes come all with the quietest and most powerful motor in its class, with a long range (65 miles and more) battery, and powerful e-spec hydraulic disk brakes that will be there when you need them. A lightweight package with 500 watts of power, top-of-the-line battery range, and quality components, all for the price of an inexpensive yet stellar bike! You'll get so much more than other eBikes with the CyberBike, it's the real e-MTB experience for the adventurous rider. Performance, specs, and quality components throughout, and the best warranty in the industry, from an American company with experienced American mechanics on call for all your tech support needs.  54 volt/500 watt climbing power with 13Amp hour Li-Ion battery and only 52 lbs means you'll get power and tons of battery range. Now with available throttle! Now from only $2495 Note: Owning and riding comes with risks. Wear proper protection, properly maintain and check your bike, and ride within your limits. By purchasing our products you agree to take full responsibility for the ownership of your bike, including the above and all other reasonable precautions for yourself or anyone you allow to ride your bike.",,,,,,,,,,,,
2493,2500.0,littlerock,https://littlerock.craigslist.org/mcy/d/mountain-pine-94-honda-goldwing-plus/7466284898.html,2022-04-02 19:18,94 Honda goldwing plus more bikes,,,0,94 Honda goldwing needs a little tlc. $2500. A 95 Honda cb 750  $1700 great bike. Two honda ST1100. One needs a little work to get back on road ....one is a parts bike almost complete.   Steve 501-762-2066,,,,,,,,,,,,
2494,750.0,littlerock,https://littlerock.craigslist.org/bik/d/little-rock-trek-bicycle-everything-you/7461936724.html,2022-04-18 18:17,Trek Bicycle + Everything You Need to Start Riding!, like new, Trek,6,"Selling a Trek Dual Sport 2 hybrid bike! Size Medium (appropriate for most average size adults). Like new condition. Has 72 miles on it, all paved roads, no falls. Always kept under cover when not in use.  See Trek website for specs: https://www.trekbikes.com/us/en_US/bikes/hybrid-bikes/dual-sport-bikes/dual-sport/dual-sport-2/p/32889/  Highlights include a suspension fork that can be locked out for a smoother ride on pavement and hydraulic disc brakes.  Comes with everything you need to be road or trail ready! Additional items include:  - Bontrager WaveCel helmet - Helmet liner for cold weather  - Kryptonite New-U Evolution Standard Lock  - Kryptoflex 410 Double Loop Cable (to be used with lock) - Magicshine Allty DRL Bike Headlight (1000 lumens) - Blackburn Dayblazer rear light (65 lumens) - Lezyne Alloy Drive Hand Pump  - Floor pump (this was given to me and I haven’t tried it, but it looks like it’s in good shape) - Ibera rear rack - Ibera trunk bag (clips onto rack – easy to put on and take off) - Handlebar bag - 2 bike bells - Bottle cages x2 (one on the bike, one extra) - Topeak Mini 9-function bicycle tool - Small repair kit with miscellaneous items - 3 car racks (1 roof rack and 2 trunk racks, all given to me used, so they have some wear)   The bike alone was worth $750 new, so with all of the included supplies, this is a fantastic deal!", aluminum, hybrid/comfort, disc (hydraulic), Medium, Dual Sport 2, suspension fork (hardtail), 700C,,,,,
2495,150.0,littlerock,https://littlerock.craigslist.org/bop/d/north-little-rock-bicycle-carrier/7472207278.html,2022-04-16 17:05,3 Bicycle Carrier, like new, Allen Sports,2,Allen Sports Bicycle Carrier for 3 bikes. Seldom used and in great condition. $150 firm.,,,,, 552RR,,,,,,,
2496,18099.0,littlerock,https://littlerock.craigslist.org/mcd/d/rogers-2022-honda-africa-twin-adventure/7472179408.html,2022-04-16 15:48,2022 Honda Africa Twin Adventure Sports ES Automatic DCT,,,0,"Sunrise Honda of RogersAsk for: SALES STAFF☎ (479) 903-73731050 WEST HUDSON RD. Rogers, AR 72756Enter this link to see more images plus all other inventory we have available: http://lyv.cc/CH9WP2022 Honda Africa Twin Adventure Sports ES Automatic DCTPrice: $18,099.00Basic Information:Year: 2022Make: HondaModel: Africa Twin Adventure Sports ES Automatic DCTCondition: NewType: Off-RoadTitle: CleanBrakes:ABS BrakesLinked Brake System Front to RearRear Brake: Hydraulic DiscChassis & Suspension:Rear Adjustable Shock / Spring Pre-LoadComfort:Cruise ControlDigital InstrumentationTrip OdometerEngine:Carburetion Type: Fuel InjectedCooling System: LiquidEngine Size (cc): 0Engine Stroke: 4-StrokeFuel InjectorStarter: ElectricValve Configuration: SOHCValves Per Cylinder: 4Other Information:Exterior GuardsFoot PegsFront FenderHand GripsRear FenderStandSafety:Fuel Level WarningRearview MirrorsTemperature WarningSpecifications:Front Tire Speed Rating: HRear Tire Speed Rating: HWheels Composition: AluminumSpeedometerTachometerDescription:2022 Honda® Africa Twin Adventure Sports ES Automatic DCTRIDE THE WORLDAdventure bikes are super-popular these days, and it’s easy to see why. They let you ride just about anywhere. Plus, their upright seating and sensible riding position let you rack up the miles in comfort. But they face a challenge, too: they need to combine state-of-the-art touring and riding technology with total reliability.And that’s why Honda Africa Twin models are so far out in front of all the rest. Technology? Check out things like Apple CarPlay™, Android Auto™, and of course our available automatic DCT transmission. Reliability? Nobody even comes close to Honda there. Comfort? Hey, you’re talking about the people who build the Gold Wing. Off-road performance? Ever heard of the Baja 1000 or the Dakar Rally? All that expertise goes into every Africa Twin we build.For 2022 we’re offering four different Africa Twin models. Our standard Africa Twin is a great choice for serious off-road enthusiasts, with either a six-speed manual transmission or our optional DCT. For long-distance adventure touring, check out our two Africa Twin Adventure Sports ES models: They offer special features like electronically controlled suspension, an adjustable windscreen, larger fuel tank, heated grips, tubeless tires, and more. They too are available with either manual transmission or DCT. And every Africa Twin in our line features Android Auto this year, along with new control settings and a tasty new color choice.Features may include:POWER1084cc TWIN-CYLINDER ENGINEThe CRF1100L Africa Twin sports one of the best engines ever in an adventure bike. The parallel-twin design is narrow, and delivers torque everywhere from idle to redline. You’ll have more grunt down low, and cruise easy on the open road.ENGINEERINGCRUISE CONTROLHere’s one of the worst-kept secrets in the motorcycling world—Honda Africa Twins make great long-distance touring bikes. To that end, we’ve equipped our Africa Twin models with cruise control, just like our Gold Wings. Your next adventure really starts a couple of hundred miles away? No problem!HANDLINGLONG-TRAVEL FRONT SUSPENSIONThe Africa Twin doesn’t just look like an adventure bike—it’s the real deal. Exhibit A: Check out its long-travel front suspension. The inverted Showa fork is fully adjustable with huge 45mm tubes and 9.1 inches of travel—the most front-end travel in the 1000cc off-road class.CONVENIENCEApple CarPlay™ AND ANDROID AUTO™ Apple CarPlay™* seamlessly integrates your compatible iPhone®* into your new Africa Twin, and Android Auto™ does the same for your Android phone. That means you can use your devices to access maps, music, and other services easily. You’ll have access to weather, playlists and telephone numbers while aboard. Available Bluetooth®-enabled wireless headsets let you communicate more easily than ever. And best of all, with more apps available every day, your bike’s technology and convenience remain on the cutting edge.Sunrise Honda of Rogers1050 WEST HUDSON RD.Rogers, AR 72756Ask for: SALES STAFFPrimary Phone: (479) 903-7373A27FBAFAEA464DBBB650D168074EE06C 34305924 10416590",,,,,,,,,,,,
2497,112.0,littlerock,https://littlerock.craigslist.org/sgd/d/full-garage-gym-squat-rack-dumbbells/7471710144.html,2022-04-15 13:38,"Full Garage Gym-Squat Rack, Dumbbells- Financing Available", new, BodyKore,4,"Full Garage Gym Setup- Squat Rack, Adjustable Bench, Dumbbells, Bumper Plates, Rower & More  _____________________________________________________________________________ Offered By: BodyKore Fitness Equipment- 949-503-9266- Text or call for more info _____________________________________________________________________________ We have a huge inventory of Commercial Fitness Equipment. Most of our equipment have lifetime warranties and are built for health clubs and commercial gyms. The same equipment you will use at 24 Hour Fitness, LA Fitness, Anytime Fitness, Chuze Fitness, Planet Fitness, Gold's Gym and more! Our state of the art equipment is offered at low low prices and we even offer Easy Financing! Garage Gym Equipment Package  Commercial Squat Cage and Adjustable Bench 5-50lb Rubber Dumbbell Set w/ Rack 300lb Rubber Olympic Grip Plate Set w/ Bar Choice of Rowing Machine or Air Bike  *Low Price of $4000! Or as low as $140/month  IN STOCK READY TO SHIP! This package doesn't work for you? No problem, Equipment packages are fully customizable. We have plenty of stock! .  ____________________________________________________________________________ Commercial Fitness Equipment: Smith Machines, Leg Press, Hack Squat, Squat Racks, Olympic Benches, Military Benches, Utility Benches, Flat Benches, Lat Machines, Seated Calf Raise, Back Hyperextension, Roman Chairs, Power Towers, Chin/Dip Tower, Vertical Knee Raises (VKR), Dual Adjustable Pulley Systems (DAPS), Plate Loaded Machines, Selectorized Strength Machines, Hip Abductor, Leg Extension, Cable Cross, Chest Press Functional Training Equipment: Group Training Rack Systems, Storage Racks, Crossfit Rigs, Olympic Lifting Platforms, Bumper Plates, Kettlebells, Wall Balls, Slam Balls, TRX, Suspension Trainers, Resistance Bands, Yoga Bands, Yoga Mats, Power Bags, Maces, Clubbells, Battle Ropes, Plyoboxes Cardio Equipment: Treadmills, Ellipticals, Steppers, Stepmills, Air runners, Manual Treadmills, Crosstrainers, Airbikes, Spin Bikes, Recumbant Bikes, Upright Bikes, Climbers, Rowers  _____________________________________________________________________ Financing available. 12 Months NO INTEREST on a 48 month term (on approved credit). Payments as low as $99 per month! FOR MORE PICTURES AND INFORMATION VISIT OUR WEBSITE www.bodykore.com PLEASE CONTACT US AT (949) 325-3088  Precor, Technogym, Rogue, Titan, lifefitness, woodway, star trac, nautilus, Deadlift, bumperplate, olympic bar, crossfit, cross fit, weightlifting, smith machine, squatrack, benchpress, gym equipment, treadmill, airdyne, assault, maces, clubbell, dumb bell, Concept 2, marpo BodyKore Fitness Equipment - QUALITY EQUIPMENT, BEST PRICES, EZ FINANCING! 💥💥💥 12 MONTH ZERO INTEREST WITH NO PRE-PAYMENT PENALTY We have a huge inventory of Commercial Fitness Equipment. Most of our equipment have lifetime warranties and are built for health clubs and commercial gyms. The same equipment you will use at 24 Hour Fitness, LA Fitness, Anytime Fitness, Chuze Fitness, Planet Fitness, Gold's Gym and more! Our state of the art equipment is offered at low low prices and we even offer Easy Financing! apply online : http://www.bodykore.com/finance BodyKore Fitness Equipment Phone: (949) 325-3088 Website: www.bodykore.com 📲 ☎️ Call or text 949-503-9266 for quick answers to your questions about this GARAGE GYM EQUIPMENT PACKAGE Check out some of our other equipment for your home gym:      Your message will always be answered by a real human — never an automated system. Kettlebell, Kettlebells, Olympic, Weights, Bench, Press, Squat, Resistance, Bands, Spin, Bike, Bikes, Spinning, Karate, Kung-Fu, Jiu Jitsu, Judo, Kickboxing, BJJ, JiuJitsu, MMA, Muay Thai, Muaythai, Kickboxing, Boxing, Gloves, Flat, Incline, Decline, Cable Machine, Cardio, Treadmill, Elliptical, Oliptical, Pull-Ups, Chin-Ups, Push-Ups, Chest, Arm, Legs, Bicep, Tricep, Shoulder, Gym Bells, Yoga Mats, Aerobics, Quadriceps, Hamstrings, Glutes, Abs, Stomach, Waist, Fat, Muscle, Body, Calves, Gravity Boots, Extension, Lats, Pulldown, Training, Intense, Extreme, Strength, Endurance, Bumper Plates, Olympic Rings, Appearance, Physical, Sports, Baseball, Basketball, Football, Martial Arts, Soccer, Track & Field, Power, Bodybuilding, Nutrition, Heavy, Bars, Tension, Gympak, Bodykore, Kore, Core, Yoga, Foam, Roller, Brake Pads, Pedal, Exercise, Startrac, Star Trac, Precor, Life Fitness, Lifefitness, Lifestride, Soloflex, Jump Rope, Forarm, Power, Blaster, Aerobics, Swimming, Cross Fit, Cross Kick, Apollo, Bodymasters, Steppers, Climbers, Strength Circuit Machines, Cable Station System, Rubber Flooring, Rubber Floor Mats, Smith Machine, Treadmill Belts, Replacement Parts, Medicine Balls, Punching Bags, Barbells, Racks, Rope, Attachments, Dip Belt, Workout Belt, Ab Straps, Thai Pads, Banana Bag, Kick Pad, Headgear, Power Systems, BOSU, tapout,forearm, bicep, arms, soloflex, body by jake, boflex, ab slider, lower back extension, lat pull down, Olympic rings, squat stands, squat racks, training ropes, climbing ropes, Power Racks, Bumper Plates, Rubber Flooring, Rubber Dumbbells, Cushbell and more!!! Ab / Back Equipment Flat and Olympic Benches Hyperextension Bench & Roman Chair Abdominal Equipment Back Equipment Inversion Tables Fitness Accessories Gym Flooring / Equipment Mats Jump Ropes Weight Training Accessories Door Gym Pull Up Bar Hand Strength & Forearm Cable Attachments Collars & Adapters Heart Rate Monitors Wrist, Ankle and Body Weights Scales & Body Fat Testers Squat Bar Pads Foam Product and Rollers Parts Fitness Exercise Gym Equipment Pull Up Bar, Chin Up Bar, Push up Bar and Dip Bars Reading Racks & Water Bottle Holders Exercise Mats Bosu® Ball Exercise Balls and Accessories Exercise Balls Bars & Collars Resistance Training Weight Pins & Leashes As Seen On TV Back Equipment Inversion Tables Door Gym Pull Up Bar Foam Equipment Packages Olympic Bumper Plates Bars GHDs Kettlebells Free Weight Equipment Medicine Balls Concept 2 Rowers Gymnastics Equipment Dumbbells Sandbags Pull-up Bars Training Accessories Plyometric Boxes D-Balls Mats Jump Ropes Climbing Ropes Flooring Bar Holders Gift Certificates Weight Storage home commercial treadmill treadmills elliptical ellipticals exercise bike bikes stepper steppers abcoaster gym equipment new used refurbished free weight dumbbells circuit strength selectorized Orange Co. Riverside Co. Newport Beach Life Fitness parabody tuff stuff repair service Product and Rollers Benches Flat and Olympic Benches Hyperextension Bench & Roman Chair Abdominal Equipment Back Equipment Boxing / Martial Arts Balazs Boxing Chin and Pull Up Bars TKO Fitness Accessories TKO Medicine and Stability Balls TKO Skip Jump Ropes TKO Vest and Ankle Weights TKO Weightlifting Belts and Straps Pull Up Bar, Chin Up Bar, Push up Bar and Dip Bars treadmill Commercial Fitness Equipment Commercial Ellipticals Cross Trainers Commercial Steppers Commercial Exercise Bikes Commercial Treadmills Commercial Rowing Machines Dumbbell Dumbbells / Weights Used Fitness Equipment Physical Therapy, Medical & Rehabilitation Equipment Aquatics Cardio Equipment Indoor Cycling Bikes and Spin Bikes Dumbbells / Weights Plates Dumbbells Barbell Sets Weight Trees Weight Training Accessories Wrist, Ankle and Body Weights Bars & Collars Hand Strength & Forearm Elliptical Trainers / Cross Trainers",,,,, G703,,,,,,,
2498,200.0,littlerock,https://littlerock.craigslist.org/mpo/d/heber-springs-klr650-seat-brand-new/7470262281.html,2022-04-15 08:13,KLR650 SEAT *BRAND-NEW*, new, Kawasaki,3,"BRAND NEW factory seat from a 2017 Kawasaki KLR650.  Seat was removed when bike was new and kept in storage.   Fits 1987-2018 KLR’s.   Kawasaki upgraded their factory seat in the 2014.5+ bikes, it’s way more comfortable than the previous years and are very nice seats. $200 cash firm. Seat is in Heber Springs, you gotta come here.   Meet at public or business location. Scam texts will be ignored and blocked. Text preferred or call and leave msg.",,,,, KLR650,,, 1987-2018,,,,
2499,9990.0,littlerock,https://littlerock.craigslist.org/mcd/d/searcy-2022-honda-crf-450r-single/7471206036.html,2022-04-14 11:12,2022 Honda CRF 450R Single-Cylinder 449.7 cc,,,3,"Sunrise Pre-Owned MotorsportsAsk for: Pre-Owned Sales☎ (501) 305-29003201 East Park Plaza Searcy, AR 72143Enter this link to see more images plus all other inventory we have available: http://lyv.cc/YAHLR2022 Honda CRF 450R Single-Cylinder 449.7 ccPrice: $9,990.00Basic Information:Year: 2022Make: HondaModel: CRFTrim: 450RStock Number: 7nk500658Condition: UsedType: Off-RoadTitle: CleanColor: RedBrakes:Front Brake: DiscFront Brake Diameter (in): 10.2Front Brake Diameter (mm): 260Rear Brake: DiscRear Brake Diameter (in): 9.5Rear Brake Diameter (mm): 240Chassis & Suspension:Frame: AluminumFront Adjustable Rebound DampingFront Suspension Brand Name: ShowaFront Suspension Size (in): 1.9Front Suspension Size (mm): 49Front Suspension Type: Inverted ForkFront Travel (in): 12.2Front Travel (mm): 310Number Rear Shock Absorbers: 1Rear Adjustable Rebound DampingRear Adjustable Shock / Spring Pre-LoadRear Suspension Brand Name: Pro LinkRear Suspension Material: AluminumRear Suspension Type: Twin Sided Swing ArmRear Travel (in): 12.4Rear Travel (mm): 315Steering DamperComfort:Adjustable HandlebarsAdjustable LeversDrivetrain:Number Of Speeds: 5Primary Drive (Rear Wheel): ChainTransmission: ManualEngine:Bore (in): 3.78Bore (mm): 96Carburetion Type: Fuel InjectedCompression Ratio: 13.5Cooling System: LiquidCylinders: 1Engine Size (cc): 449Engine Size (ci): 27.4Engine Stroke: 4-StrokeEngine Type: Single-CylinderFuel Capacity (gal): 1.7Fuel InjectorFuel Injector Size (mm): 46Fuel Requirements: RegularStarter: ElectricStroke (in): 2.45Stroke (mm): 62.1Valve Configuration: OHVValves: 4Valves Per Cylinder: 4Other Information:Decal KitEngine Case GuardExhaust GuardExterior CoversExterior GuardsFoot PegsFoot Peg Location: DriverFork GuardsFront FenderHand GripsSide CoverRear FenderStandStand Type: KickSafety:Skid PlateSpecifications:Body Material: PlasticFront Tire (Full Spec): Dunlop Geomax MX33Front Tire (Inches): 21Front Tire Aspect Ratio: 100Front Tire Width: 80Fuel Capacity (liters): 6Ground Clearance (in): 13.2Ground Clearance (mm): 335.3Height (inches): 49Height (mm): 1267.5Length (inches): 85Length (mm): 2181.9Rear Tire (Full Spec): Dunlop Geomax MX33Rear Tire (Inches): 19Rear Tire Aspect Ratio: 80Rear Tire Width: 120Seat Height (inches): 38Tube / Tubeless: TubedWet Weight (kg): 110.7Wet Weight (lbs): 244Wheelbase (in): 58.3Wheelbase (mm): 1480.8Wheels Composition: AluminumWidth (inches): 32Width (mm): 828Description:2022 Honda® CRF450RFACTORY-LEVEL PERFORMANCEWhen it comes to winning, the Honda CRF450R is the machine championships are made of. And after your first ride, you’ll know why. The engine makes tremendous, instant power, thanks to Honda’s exclusive Unicam® design. The chassis is an active part of the handling equation, backed up with premium Showa suspension at both ends. But what the spec charts can’t show is the level of refinement that only Honda brings to the class, all with the goal of letting you rail through the corners, flatten out the whoops, ace the rhythm sections and do it lap after lap with incredible precision.Looking for the best of the best? Then check out our CRF450RWE (WE for Works Edition). We’ve fine-tuned it with special touches like an exclusive Yoshimura exhaust, Twin Air filter, Throttle Jockey seat cover, Hinson clutch basket and cover, premium DID DirtStar LT-X rims, Kashima and titanium nitrate-coated forks, a red cylinder head cover, and hands-on touches like special cylinder-head porting. Both the RWE and the CRF450R get suspension and engine setting changes for 2022, sharpening the best bike on the track even a little more. Ready to win? Because we’re ready to ride.Features may include:HANDLINGLIGHT NARROW FRAMEGreat handling starts with a superior frame, and that’s one place where the CRF450R’s chassis puts you out front. First, it’s light—over a pound and a half lighter than the previous generation’s. By making the frame’s main spars narrow, we save weight, but more important we make the chassis more responsive by fine-tuning the lateral rigidity. The result is a bike that gets into, around, and out of corners faster.ENGINEERINGHYDRAULIC CLUTCHThe CRF450R features the first hydraulically actuated clutch we’ve offered outside of our works bikes. Made by Nissin, it’s the same design as in our Grand Prix MX machines, and performs better than third-party conversions. You get a clutch-lever pull that’s ten percent lighter at its peak, even though it’s paired with a new, stronger 8-plate clutch. Plus, you’ll never have to worry about making a clutch-cable adjustment, even during the longest events.CONVENIENCESEALED AIRBOX AND FILTERAlong with the special air filter, the airbox shape helps deliver more torque. You can access the airbox through the left number plate. And because the CRF450R’s filter has no rubber gasket where it interfaces with the intake boot, cleaning and servicing the filter is faster and less messy than ever.PERFORMANCEEXCLUSIVE WORKS EDITIONSimply stated, the best of the best. The CRF450RWE Works Edition includes all the standard CRF450R features, but also gets a special hand-ported cylinder head; Hinson clutch basket and cover; Twin Air filter, Throttle Jockey graphics and seat cover; upgraded DID DirtStar LT-X rims; an exclusive Yoshimura exhaust system including a titanium header; titanium nitride-coated lower fork legs; revalved suspension; an RK gold chain; special ECU settings; and black triple clamps. Available in extremely limited numbers.Sunrise Pre-Owned Motorsports3201 East Park PlazaSearcy, AR 72143Ask for: Pre-Owned Sales5013052900: (501) 305-2900A27FBAFAEA464DBBB650D168074EE06C 34311052 10406582",,,,,,,,,,,,
2500,1.0,littlerock,https://littlerock.craigslist.org/sgd/d/used-gym-equipment-life-fitness-precor/7471089664.html,2022-04-14 05:31,"Used Gym Equipment - Life Fitness, Precor, Cybex, Hammer Strength", excellent," Life Fitness, Cybex, Hammer",10,"We have everything you need for your commercial or home gym! Check us out!  BuyAndSellFitness.com or call (407) 674-2663  25000 sq ft warehouse full of equipment From Top Brands Like Cybex Precor Life Fitness Stairmaster Hammer Strength Nautilus Matrix @ More!  Our Inventory Includes : - Treadmill - Elliptical - Recumbent Bike - Upright Bike - Spin Bikes - Strength Equipment & More!  - Cybex Arc Trainer - Precor AMT - Cable Crossovers - Smith Machines - Dumbbells - Olympic Plates - Leg Press  We also have gym packages of top brand commercial gym equipment that fit your budget!!!  Bumper Plates, Precor Icarian, Star Trac, Cybex, Paramount, Magnum, Life Fitness, Hammer Strength, Stair Master, Techno Gym. Treadmill, Elliptical, Spinning Bike, Spin Bikes, Recumbent Bikes, Up Right Bikes, Stepmills, Steeper, Spinners. Free weights, Dumbbells, Barbells, Racks, Plates, Plate Trees, Bench, Olympic Bench, Decline Bench, Multi Station, Jungle Gym, Cable Cross Over, Accessories. Gym, Commercial Gym Equipment, Fitness Equipment, Used Gym Equipment, Refurbish Fitness Equipment, Equipo de Gimnasio Usado, Cybex, Life Fitness, Star Trac, Precor, Hoist, True, Nautilus, Hammer Strength, Atlantis, Matrix. Diesel, Paramount, Stair Master, Magnum, Quantum, Body Master, Icarian, Elite Gym Equipment International inc. Circuit, Complete Gym, All Commercial Machines, Fitness & Gym Equipment Outlet Warehouse. Treadmills, Ellipticals, Cross Trainer, Stepmills, Recumbent Bike, Upright Bike, Spin Bikes, Steppers, Spinners, Multi Station Gym, Jungle Gym, Fitness Equipment, Commercial Gym Equipment, Exercise Equipment, Cardio Machines, Cross Fit, Exercise, Cardio, Plate Loaded Machines, Leg Press, Smith Machine, Cable Crossover, Weights, Dumbbells, Rubber Dumbbells, Barbells, Rubber Weights, Plates, Rubber Mats, Racks, Commercial Benches and Accessories, fitness equipment, nustep, hex dumbbells, crossfit, concept2",,,,,,,,,,,,
2501,4399.0,littlerock,https://littlerock.craigslist.org/mcd/d/searcy-2021-kawasaki-klx230r/7470954969.html,2022-04-13 17:04,2021 Kawasaki KLX230R,,,9,"Ask for: Sunrise MotorsportsPrimary Phone: (501) 268-88262021 Kawasaki KLX®230RPrice: $4,399.00Enter this link to see more images plus all other inventory we have available: http://lyv.cc/J8HUUDescription:2021 Kawasaki KLX®230RGET OUT AND PLAYTake trail adventuring to the next level. With long travel suspension, and ample ground clearance, KLX®230R lightweight, full-size recreational trail bikes are purpose-built for serious fun in the dirt.Features may include:STEADY POWERGO PLAYThe KLX®230R recreational off-road motorcycle is powered by a 223cc fuel-injected, air-cooled single, tuned for low-mid range power.RUGGED CHASSISBUILT TOUGHDesigning the engine and chassis at the same time was key to making the KLX®230R play bike as agile, balanced and reliable as possible, appealing to new riders and fun for experienced riders.HIGH-PERFORMANCE CAPABILITYTAKE ON THE TRAILSDesigned from the ground up for dirt fun. That’s why the KLX®230R off-road motorcycle features long-travel suspension, front and rear disc brakes and full-size wheels.TRAIL-RIDING PERFORMANCEBLAZE YOUR OWN TRAILSWith long-travel suspension, light weight and ample ground clearance, the KLX®230R is the ideal off-road adventure partner for pure off-road performance.233cc fuel-injected, air-cooled four-stroke singleCapable off-road performanceTrail-tuned long travel suspensionADDITIONALCompact perimeter frameHassle-free electric startFull-size wheelsKX™-inspired styling and ergonomicsBasic Information:Year: 2021Make: KawasakiModel: KLX®230RCondition: NewType: Off-RoadTitle: CleanEngine:Engine Size (cc): 0Enter this link to see more images plus all other inventory we have available: http://lyv.cc/J8HUUA27FBAFAEA464DBBB650D168074EE06C 34226125 10404903",,,,,,,,,,,,
