,Price,Location,URL,Date,Title,condition,make / manufacturer,model name / number,size / dimensions,num image,text,bicycle frame material,bicycle type,frame size,suspension,wheel size,brake type,electric assist,handlebar type,year manufactured,part type,serial number
27161,75.0,longisland,https://longisland.craigslist.org/mpo/d/centereach-wheel-stands/7469784573.html,2022-04-18 19:46,Wheel Stands, new, Universal, Spoke bikes, 22x10,2,"Wheel Stands for Sport bikes, brand new, never even unwrapped . Front and back wheels. $75.00 for the pair, cash and carry",,,,,,,,,,,
27162,1500.0,longisland,https://longisland.craigslist.org/bik/d/mastic-beach-father-and-son-custom-rat/7469582026.html,2022-04-18 18:39,Father and Son Custom Rat Rod Dragster Bikes!!, good,,,,7,"Be the new Bad Boys on your Block! Sold as a set only. These limited edition Custom rat rod drag racing cycles were built in the spirit of the crazy nitro burning dragster cars! These bicycles are the first and only bicycles of their kind and only 200 of them were ever made! You will never see these collectibles anywhere ever again! They are from a limited run in 2015. Both bicycles feature extra wide custom back dragster style tires and rims, small funny car style front wheels, Shimano disk brakes, extra wide frame tubing, unique steering fuctionalitity, a cool flame insignia and extra comfort custom printed seats!  The Father sized bike is also eqiuped with an 8-speed internal hub shifter for top speeds or superb hill climbing  capabilities!  There are mount points on the rail body to add super large custom cargo crates/coolers/ or ornamentations.   These bikes originally retailed for $979.99 when they were manufactured and sold in 2015.    Product Details:  Nitro Rail Dragster Bicycle Unique, low-riding design Behaves like a normal bike Lollipop Red High-grip stainless steel pedals Sleek, comfortable seats with height adjustment Drag-style 12.5” x 2.25” Kenda front tire Dual-point kickstand 8-speed internally geared hub for powerful hill-climbing ability Integrated hardware allows for easy customization of bike 89” x 9.5” x 28”  Both bicycles have some minor scratches and/or cosmetic blemishes.", steel, other, adult and child, other/unknown, other/unknown,,,,,,
27163,75.0,longisland,https://longisland.craigslist.org/bik/d/selden-mountain-bikes/7469003590.html,2022-04-17 19:15,Mountain bikes,,,,,6,Mountain bikes for sale prices range call or text  show contact info  for info Located in selden ny, alloy, mountain, 17.5,, 26 in,,,,,,
27164,175.0,longisland,https://longisland.craigslist.org/bik/d/huntington-giant-revel-youth-bikes/7472362246.html,2022-04-17 10:26,Giant Revel youth bikes, like new, Giant, Revel,,0,"Two Giant Revel youth bicycles for sale. 7 Speeds. Great condition, light use. $175.00 Each.", aluminum, hybrid/comfort, Youth. 24” tires,, 24 in,,,,,,
27165,150.0,longisland,https://longisland.craigslist.org/bik/d/lake-grove-mountain-bikes/7464506220.html,2022-04-17 07:39,mountain bikes,,,,,7,"jamis ranger SX 21 speed 12"" frame $150 GT agressor 21 speed 20.5"" $180 trek 800 21 speed 19.5"" $160 cannondale M800 21 speed 17"" $250 trek 800 antelope 18 speed 20"" $160 GT outpost 21 speed 23"" $180 mongoose NX 8.4 24 speed 18"" $275", other/unknown, mountain, varies,, 26 in,,,,,,
27166,150.0,longisland,https://longisland.craigslist.org/bik/d/lake-grove-comfort-bikes/7464506582.html,2022-04-17 07:38,comfort bikes,,,,,5,"raleigh SC 30 21 speed 16"" frame $150 raleigh passage 3.0 21 speed 16"" $150 raleigh venture 7 speed 19"" $150 jamis explorer 2.0 21 speed 18"" $180 schwinn sierra sport 21 speed 21"" $150", other/unknown, hybrid/comfort, varies,, 26 in,,,,,,
27167,150.0,longisland,https://longisland.craigslist.org/bik/d/lake-grove-24-wheel-mountain-bikes/7464506784.html,2022-04-17 07:38,"24"" wheel mountain bikes",,,,,0,,,,,,,,,,,,
27168,150.0,longisland,https://longisland.craigslist.org/bik/d/lake-grove-hybrid-bikes/7464507135.html,2022-04-17 07:38,hybrid bikes,,,,,9,"trek 700 18 speed 17"" $200 univega activia 21 speed 22"" frame $160 diamondback parkway 18 speed 19"" frame $150 alder executive 21 speed 22"" frame $175 fuji supreme 18 speed 21"" $140 bianchi avenue 21 speed 19"" $200 trek 7100 21 speed 15"" $200 cannondale H600 21 speed 18.5"" $250 specialized globe 21 speed 16"" $250 fuji nevado 4.0 21 speed 17"" $250  all bikes are clean tuned and new parts where needed tires,brake pads cables ect.", other/unknown, hybrid/comfort, varies,, 700C,,,,,,
27169,40.0,longisland,https://longisland.craigslist.org/bik/d/center-moriches-bikes-two-for-sale/7472162234.html,2022-04-16 16:12,bikes two for sale, good,,,,8,one 24in and 26in one for 40 the other is 50, steel, mountain, med, suspension fork (hardtail), 26 in, u-brakes, none, flat,,,
27170,1.0,longisland,https://longisland.craigslist.org/bik/d/kings-park-very-old-bikes/7472005812.html,2022-04-16 11:00,Very Old Bikes,, see above, see above,,0,"These bikes have been in storage for at least 50 years.   Schwinn Breeze 26' woman's 3 speed fg010867 26 x 1 3/8 tires  Ross Piranha 16"" single speed 16 x2.125 tires Rhino Racer 12 x 1 1/2 x 2.25 tires Sears 3 speed 26 x 1 tires ?? Manufacture girls 20 x 1.7 tires, single speed All original. Have some surface rust.  Best offer.", other/unknown, other, see above,, other/unknown,,,,,,
