,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,brake type,condition,electric assist,frame size,handlebar type,make / manufacturer,model name / number,suspension,wheel size,num image,text,serial number,part type,size / dimensions
3391,1400.0,losangeles,https://losangeles.craigslist.org/sgv/bik/d/san-gabriel-juiced-city-scrambler-ebike/7472991066.html,2022-04-18 17:38,Juiced City Scrambler eBike w/ GOODIES, aluminum, road, disc (hydraulic), like new, throttle, 17.5, bmx, Juiced Bikes, Juiced City Scrambler, frame and fork (full suspension), 20 in,7,"Lightly used Juiced City Scrambler eBike  Odometer currently at a low 561 miles Comes with an extremely loud custom horn, front and rear fenders, adjustable suspension, hydraulic dual disc brakes, long super comfortable and soft seat (can fit a passenger), 7 speed transmission, one side mirror, bright rear tail light and a bright LED headlight Bike retails $1700 NEW WITHOUT TAXES Come pick it up for $1400 barely used in San Gabriel Will be including bike, charger, and battery Full spec sheet - https://www.juicedbikes.com/products/scrambler",,,
3392,30.0,losangeles,https://losangeles.craigslist.org/lgb/bik/d/bellflower-girls-kids-bikes/7463075750.html,2022-04-18 16:42,Girls/kids bikes, steel, cruiser,,,, girls/kids,,,,, 20 in,6,"2 girls bikes with training wheels, one 20 inch wheels & one with 16 in. wheels both ride and are straight but could use seat covers ( taped up now ), $30 each or $50 for both, no email or text, call  show contact info",,,
3393,500.0,losangeles,https://losangeles.craigslist.org/sfv/bik/d/burbank-raleigh-m50-mountain-bikes/7470028645.html,2022-04-18 12:15,RALEIGH M50 MOUNTAIN BIKES, steel, mountain, caliper, excellent,," 16""MEDIUM & 20""LARGE", bullhorn, RALEIGH, M50, suspension fork (hardtail), 26 in,0,"2 RALEIGH M50 MOUNTAIN BIKES, HIS & HERS WITH TIRE PUMP, INNER TUBE BAG, WATER CRADLE", M50,,
3394,50000.0,losangeles,https://losangeles.craigslist.org/lgb/spo/d/thousand-oaks-spin-bikes-schwinn-carbon/7460538110.html,2022-04-18 11:26,Spin Bikes SCHWINN Carbon Blue CARDIO Exercise Bike Indoor Cycling ABS,,,, excellent,,,, Schwinn, AC Performance Carbon Blue,,,17,"JUST KIDDING -- WANTING TO GET YOUR ATTENTION!  :) ONLY $850/BIKE!  Awesome spin bike! Top commercial grade. GREAT DEAL!!!!!!!! I have up to 30 of these!  INCLUDES: - Echelon2 console + power upgrade!! - Triple Link Pedals (w/ toe cages)  Used, in excellent condition! They all been technician examined and maintained -- they work great and no issues. And, it looks good!!! Of course, its' used, so hold expectations accurately -- there are signs of usage (i.e. stabilizer covers have marks from people stepping on it with clip shoes; there may be a small scratch here or there; or, some touch-up paint in small areas; etc.). Nothing that would be unexpected.  THE BIKE WORKS PERFECT!!! If you are OK with some cosmetic imperfections (and, I'm ONLY saying this so you know going into it... but, also -- I HAVE VERY HIGH STANDARDS. So, what I may note, may not mean anything to you). Pictures of actual bikes! THEY ARE CLEAN!! AND, THEY LOOK GREAT!!  INCLUDES: - Echelon2 console + power upgrade!! - Triple Link Pedals (w/ toe cages)  Delivery is also available (charge, TBD)",,,
3395,1000.0,losangeles,https://losangeles.craigslist.org/sfv/bik/d/glendale-schwinn-bikes/7468799209.html,2022-04-18 10:56,Schwinn (3 bikes), steel, hybrid/comfort, cantilever, fair, none, Various, cruiser, Schwinn, Suburban / Varsity, none (rigid), other/unknown,7,"I have three Schwinn late 60's to early 70's bikes - Projects  Selling as package deal, 3 for $1000 O.B.O.  Men's Suburban - Blue. New paint, seat and tire/tubes  Women's Varsity - 1 Brown Shown & 1 Red.  I have a newer green/white seat.   *I have all parts old and new.",,,
3396,785.0,losangeles,https://losangeles.craigslist.org/lgb/bik/d/long-beach-thule-easyfoldplatform-rack/7464262291.html,2022-04-18 10:25,"Thule easyfold.platform rack great for E-bikes,has fold away ramp,", aluminum, other,,,, 222,,,,, 26 in,6,"Thule Easy Fold platform rack great for E-bikes,has fold away ramp,locking clamps to hold bikes rack is $1000 out the door $785  show contact info",,,
3397,75.0,losangeles,https://losangeles.craigslist.org/ant/bik/d/fontana-his-and-her-bikes/7472783359.html,2022-04-18 10:18,His and Her Bikes, aluminum, mountain,,,, 29x29x29,,,,, 18 in,2,"My Mom and Dad are moving and selling stuff. These bikes were gently used by a senior couple... Selling for $40 EACH or $75 if you take both. Not sure about the wheel size, frame material and type of bikes, (See pics) but I can get more info if you are interested! They live in Rosamond CA 93560 Antelope Valley",,,
3398,15.0,losangeles,https://losangeles.craigslist.org/wst/bik/d/redondo-beach-three-kids-bikes-for-sale/7472766365.html,2022-04-18 09:48,Three (3) Kids Bikes for Sale, other/unknown, kids,,,, Kids,,,,, 12 in,8,"Three (3) Kids bikes all for $15 or Best Offer.  The bikes include a Disney Princess Bike, Spiderman Bike and a Lightning McQueen Bike.  All three bikes have flat tires.",,,
3399,20.0,losangeles,https://losangeles.craigslist.org/sgv/bik/d/san-dimas-da-bike-folding-bike-small/7471793479.html,2022-04-18 09:49,da bike folding bike & 2 small traingwheel bikes - radio flyer & barbi, steel, kids,, good,, small,,,,, 10 in,0,2 small traingwheel bikes - radio flyer $20   &  barbi bike $20      da bike  folding bike is $300 obo   vintage peugeot road bike . univega road bike & maico road bike.  pics comming or i can text to your phone.  6 two 6  8 one 8  3 five 1 nine,,,
3400,1299.0,losangeles,https://losangeles.craigslist.org/lgb/bik/d/bellflower-aventon-electric-bikes-bike/7467720722.html,2022-04-18 09:33,Aventon Electric e Bikes E-bike Electric Bicycle, aluminum, hybrid/comfort, disc (hydraulic),,,,,,,,,23,"For over 3 years, we mastered to hand-pick quality E-bikes for our local customers.   We now have Aventon Ebikes in our store!  Aventon is a top-quality e-bike company that stormed the Internet with popular reviews.  💡We are selling Aventons and other e-bikes at the same internet prices without extras or hidden fees!  ✔Price Starts at $1299 for the Pace 350 and up to $1999 for the Aventure 750w.  ✔Available on our Website or In-Store Purchase in Cerritos.  ✔Free Assembly, No Build Fees.  Free In-Store Warranty and after sales support.  💻www.562ebikes.com 🚗15971 Piuma Ave., Cerritos CA 90703  🕙Opens fom10 am to 5 pm, (Closes at 4 pm on Sundays) 🔒We are only close on Tuesdays.  📲Text or Call:   show contact info",,,
