,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,condition,frame size,make / manufacturer,wheel size,num image,text,model name / number,suspension,brake type,electric assist,handlebar type,part type,serial number,size / dimensions
20979,60.0,minneapolis,https://minneapolis.craigslist.org/hnp/bik/d/minneapolis-family-kids-bikes-16-to-20/7471396383.html,2022-04-18 19:44,"FAMILY KIDS BIKES---16"" TO 20"" EXCELLENT BIKES>>>your choice", alloy, kids, excellent, 16 inch, RALEIGH  & others, 16 in,7,"From out big family, I have a hand full of EXCELLENT BIKES, sizes 16 inch, 18 inch, and 20 inch.  All look great and work fantastic.",,,,,,,,
20980,30.0,minneapolis,https://minneapolis.craigslist.org/hnp/bik/d/minneapolis-small-kiddies-12-bikes-in/7471398964.html,2022-04-18 19:24,"SMALL KIDDIES 12"" BIKES IN GREAT CONDITION--YOUR CHOICE>>>", alloy, kids, excellent, 12 inch,, 12 in,0,"A few FAMILY KIDDIES [12""] BIKES, all outgrown, and excellent condition.  Your choice ...$30. Some have training wheels.",,,,,,,,
20981,120.0,minneapolis,https://minneapolis.craigslist.org/hnp/bik/d/minneapolis-vintage-cruiser-bikes/7471262713.html,2022-04-18 19:24,"[ 2 ] VINTAGE CRUISER BIKES:  SCHWINN 26"" & HOLIDAY 26"" each>>>>>", steel, cruiser, excellent, 26 inch, HOLIDAY, 26 in,0,"A excellent VINTAGE CRUISER BIKE.  Fantastically preserved.   HOLIDAY MAILMAN'S BIKE..[ 26"" &17"" FRM.] A very solid bike in excellent condition from the 1970's.",,,,,,,,
20982,250.0,minneapolis,https://minneapolis.craigslist.org/dak/bik/d/inver-grove-heights-10-speed-schwinn/7472166777.html,2022-04-18 16:53,10 speed Schwinn bikes (2), steel, cruiser,, 27,, 27 in,0,His and hers Schwinn bikes.  1- Schwinn Varsity.      1- Schwinn World Sport.   Both in really good condition.     Prefer to sell together.   $250 for both or $150 each.   Thanks.,,,,,,,,
20983,12.0,minneapolis,https://minneapolis.craigslist.org/ram/bik/d/saint-paul-toddler-trikes-bikes-scooter/7465846957.html,2022-04-18 15:27,toddler trikes bikes scooter-radio flyer fold n go trikes-disney princ, other/unknown, kids,," 12""",, 12 in,4,"(SOLD2- 12"" disney princess bikes--SOLD)-1 scooter-- 1 radio flyer fold n go trike--trike w basket sold------used -but work great--pickup 55117 little canada cash only  pickup driveway----Priced $12 Each",,,,,,,,
20984,150.0,minneapolis,https://minneapolis.craigslist.org/hnp/bik/d/minneapolis-bike-rack-2-bikes/7461849304.html,2022-04-18 12:45,Bike Rack/1-2 Bikes,,,,,,,0,,,,,,,,,
20985,390.0,minneapolis,https://minneapolis.craigslist.org/ram/bik/d/saint-paul-cleary-bikes-hedgehog-16/7467072035.html,2022-04-18 08:29,"Cleary Bikes Hedgehog 16"" Kid's Bike Orange", aluminum, kids, new, Kid's, Cleary, 16 in,0,"New.  Please text back to set up a local pickup.  The Hedgehog is a ""do anything"" bike. Kids drop stairs, tackle technical trails or hunt for caterpillars in the neighborhood. The bike has no rider weight limit, so when your child has gone to sleep after a day of riding, take the Hedgehog for a spin. You'll see how fun it is.  - Hedgehog Bikes do not accept training wheels - Best fit for riders with an inseam of 17"" to 21 - Grips, riser handlebars and brake levers designed for small hands - Front and rear child-specific hand brakes", Hedgehog, none (rigid),,,,,,
20986,25.0,minneapolis,https://minneapolis.craigslist.org/ram/bik/d/willernie-kids-bikes/7469000067.html,2022-04-17 21:41,Kids bikes, alloy, kids, fair, 10, Magna, 16 in,3,"Some kids bike stuff.  The yellow bike has 16 inch wheels. A tag along, also.  $25 for everything.  Text please",, none (rigid),,,,,,
20987,200.0,minneapolis,https://minneapolis.craigslist.org/hnp/bop/d/minneapolis-bike-rack-bikes-6-ski/7466613501.html,2022-04-17 19:36,Bike Rack 3-Bikes + 4/6 Ski Snowboard Rack,,,,,,,5,I bought this a couple summers ago and we have outgrown it. I just bought a Lolo Rack to replace it. It can be switched between a bike rack and ski/snowboard rack.  Asking: $200 OBO,,,,,,,,
20988,75.0,minneapolis,https://minneapolis.craigslist.org/dak/bik/d/burnsville-kids-bikes/7472540480.html,2022-04-17 18:30,Kids Bikes, aluminum, kids,, 16,, 16 in,19,"(3) kids bikes for sale. Below are the details:  1) 12.5"" small child's bike with training wheels. New tires and tubes. $75  1) 16"" kids bike with new tires and tubes. $85  1) 18"" kids bike with new tires and tubes. $95  I just tuned all these bikes and replaced all the tires and tubes.  See the above prices:     Huffy, specialized",,,,,,,,
