,Price,Location,URL,Date,Title,num image,text,bicycle frame material,bicycle type,frame size,make / manufacturer,wheel size,brake type,condition,electric assist,model name / number,suspension,handlebar type,size / dimensions,length overall (LOA),propulsion type,year manufactured,part type,serial number,engine hours (total),paint color
1308,700.0,mohave,https://mohave.craigslist.org/mpo/d/lake-havasu-city-suzuki-jr-50-polini-50/7466290416.html,2022-04-18 07:50,Suzuki JR 50 & Polini 50 dirt bikes,11,"$even hundred each or both for $ twelve hundred .....  682 - 4 six 5 - five 5 3 oh  Yes for Texting  please leave message if no answer  call for details  dirt bike   Please .. please try not to ask questions here as we do not check often .. use the phone for text or calls   Have 2 great running starter bike for any  kids that wants to tear up some dirt.   Bill of sale only ""no title"" bikes starts ups has been sitting for a bit since my boys grew out of it.   We have helmets and boots  and a training wheel set but some modifications needed to be made to install it.   We have oil for it cause was going to do a service before deciding on selling.   The second bike is a Polini 50cc I believe a 95 it is water cooled and automatic as well.  Selling Both bikes for 1200 or 700 each.   do not need help selling or third parties  no extra cash or shippers deal ... will report you  Available .. will remove when sold ...  thanks for looking at ad ...... have a great day !",,,,,,,,,,,,,,,,,,,
1309,1.0,mohave,https://mohave.craigslist.org/mcd/d/lake-havasu-city-cash-today-for-dirt/7472619755.html,2022-04-18 01:54,Cash today for Dirt Bikes and ATVs,0,"LOOKING FOR RACE AND OFF ROAD MOTORCYCLES, DIRT BIKES, ATVS, UTVs IN ANY CONDITION.  WILL PAY CASH TODAY FOR FULL BIKES, BASKET CASES, NO TITLE OR WHATEVER YOU HAVE. TEXT OR CALL ME NOW! Local to Lake Havasu, Kingman, Bullhead, Needles, Laughlin, Parker and more. Willing to travel for the right deals.     atv quad 4wheeler 4 wheeler four utv dirtbike dirt bike mx sx ktm cr yz kx rm 250 rmz crf 250f 450f 125 500 yfz trx 400ex rzr maverick x3 800 900 1000 xp turbo teryx talon yxz yxz1000",,,,,,,,,,,,,,,,,,,
1310,75.0,mohave,https://mohave.craigslist.org/bik/d/lake-havasu-city-road-bikes-27-inch/7472572334.html,2022-04-17 18:42,2 Road bikes 27 inch tires,0,2 Adult bikes. Only $75 for both., other/unknown, road, Adult size, Centurian & Shogun, 27 in,,,,,,,,,,,,,,
1311,1800.0,mohave,https://mohave.craigslist.org/bik/d/lake-havasu-city-juiced-bikes-scorpion/7471829503.html,2022-04-15 16:20,Juiced Bikes - Scorpion X Electric Moped-Style eBike 750 watt 52v 28+ MPH,16,"This listing is for a Juiced Scorpion X e-bike. This was my personal bike used for about 3 months as my primary transportation to work. I now live too far away to ride this bike to work and would like to sell it. Bike is in great shape, hardly used, and these are now on back order through Juiced themselves. Bike has 501 total miles on it. Great range, front and rear suspension, throttle and pedal assist acceleration, horn, cupholder, rear rack, digital display, removable battery with charger, key ignition, fat tires, ultra bright lights. Snag this great deal at hundreds of the manufacturer price! (Includes free bike lock with alarm)  Manufacturer description: The new Scorpion X electric moped-style bike delivers an upgraded riding experience with more power, speed, and range! Equipped with a new electronics system and custom RetroBlade motor, Scorpion X offers an epic e-bike value loaded with super premium features. The X is also equipped with Torque and Cadence pedal assist technology, a bigger 52-Volt 15Ah pack (15%+ more riding range) and an upgraded 8-speed cassette and 56T-11T transmission for easier pedaling at higher speeds. Additional enhancements to the Scorpion X include a 100 db horn, Key Switch for security, and the RelayRack (compatible with the Cargo Platform adaptor kit).  https://www.juicedbikes.com/products/scorpion-x?variant=39261196353600", aluminum, cruiser, other, Juiced Bikes, 20 in, disc (mechanical), good, throttle, Scorpion X, frame and fork (full suspension),,,,,,,,,
1312,1200.0,mohave,https://mohave.craigslist.org/bik/d/fort-mohave-radcity-step-through/7470992746.html,2022-04-13 16:48,RadCity Step Through 3,0,"The Rad City 3 step through is Rad Power Bikes 3rd installment of their city electric bike model. The city 3 step through scored a 10 out of 10 on universality making it one of the most universal ebikes on the market. Rad Power Bikes is one of the biggest names in the electric bike industry. They make a ton of different kinds of styled e-bikes. If you've been shopping for an electric bike or are familiar with the electric bike industry, you’ll definitely have heard the name Rad Power Bikes before. The RadCity is what they consider to be a bit of a city bike or a commuter bike. It’s definitely geared towards those who are not looking to really off-road at all. This bike is for someone looking for a sound electric bike to get them from point A to B a little bit quicker. This definitely makes for a good commuting e-bike and I think that's what they were really going for here with this RadCity model.  Like New", aluminum, hybrid/comfort, 19 inch, Rad Bikes, 18 in,, like new, throttle,,, cruiser,,,,,,,,
1313,10.0,mohave,https://mohave.craigslist.org/bik/d/topock-several-bikes-vintage-schwinn/7468150862.html,2022-04-07 08:27,"Several bikes, vintage Schwinn, mongoose, 21 doors 10 speed",0,"Bikes in various conditions, sizes, etc..from 20$ up to 80$ vintage Schwinn in very good condition, call for more info  show contact info  Jim or  show contact info  no vms or emails please text or call", aluminum, other," 00""",, 12 in,, excellent,,,,,,,,,,,,
1314,949.0,mohave,https://mohave.craigslist.org/snd/d/arlington-new-atvs-dirt-bikes-go-karts/7467620350.html,2022-04-06 04:02,New ATVs | Dirt Bikes |Go-Karts Golf Carts Scooters & More Sale !!!!!!,18,"FREE SHIPPING! Only at 360Powersports.com  CALL NOW 469-217-7070  SHOP OUR IN-STOCK ITEMS TODAY!   https://www.360powersports.com/in-stock/  360 Powersports is your one-stop-shop Atvs, dirt bikes, go-karts, scooters, utvs, side by side.  TAKING CARE OF BUSINESS ONE CUSTOMER AT A TIME!     Use this code at check out to save $25 Buy1Save25     HUGE SALE ON ALL PRODUCTS!!  Free shipping right to you!   Fast & Financing With Flexible Monthly Payments!     WE ALSO OFFER FULLY ASSEMBLED AND TESTED SERVICE AT A ADDITIONAL COST. WE HIGHLY RECOMMEND YOU GET IT FULLY ASSEMBLED AND TESTED SO WHEN YOU RECEIVE YOUR UNIT YOU JUST GAS & GO.      ATVS 110cc Beginner ATVs - $949 125cc Kids Mid-Size ATVs - $1299 Adult ATVs - starting at $1999  Dirt Bikes Kids Dirt Bikes starting at $399.95  Mid size Dirt Bikes starting at $929 Full-Size Dirt Bikes - starting at $1309  Go-Karts & UTVs Kids Go-Kart - starting at $1379 Adult GoKarts & UTVs starting at $2649  Golf carts (Gas)  Gas Powered Golf Carts starting at $6250     Golf carts (Electric)   Electric golf Carts starting at $7950  360 Powersports is one of the nation’s largest power sports dealers across the USA. We are the HIGHEST RATED online dealer on Google and many other rating platforms! We are NOT the lowest dirt cheap price on the internet and nor do we strive to be. When purchasing a vehicle with us you will get value and customer service including our 360 Care, Tech Support, assigned Rep, fast delivery, and more! We carry all parts and all products come with industry-leading warranties! Most of our products come with speed governors, remote kill switches, factory-tested & heat-cycled engines, and much more!   **Fast 5-10 Day Shipping Right To You Free shipping!      Shop Now At www.360Powersports.com To Receive The Best Customer Service At The Lowest Prices  OR Call Us At 469-217-7070 To Place Your Order!     Keywords: MOTORCYCLE, MOTORCYCLES, HONDA, YAMAHA, KAWASAKI, DIRT BIKE, DIRT BIKES, ATV, ATVS, GO-KART, GO-KARTS, POLARIS. atv, atvs, kids atv, 4 wheeler, 4-wheeler, 4-wheelers, quad, kid quad, mini quad, quads, go-kart, go-karts, gokart, gokarts, go kart, go karts, gocart, go cart, dune buggy, dune buggie, dune buggies, sand rail, dirt bike, pit bike, moped, scooter, enduro, motorcycle, mini bike, monkey bike, doodle bug, dirtbike, pitbike, coolster, roketa, honda clone, gy6, taotao, bashan, kandi, kinroad, dongfang, chinese, china, parts, repairs, clearance, budget, wholesale, sale, 49cc, 50cc, 70cc, 80cc, 90cc, 110cc, 125cc, 150cc, 170cc, 180cc, 200cc, 250cc go-kart, batman, jaguar, recon, hunter, rancher, shark, rapidity, viper, t-rex, cazador utv, utvs, polaris copy, crazor, avenger, sxs, ninja bike, Kawasaki, Polaris SCOOTER, SCOOTERS, MOTORCYCLE, MOTORCYCLES, HONDA, YAMAHA, KAWASAKI, DIRT BIKE, DIRT BIKES, ATV, ATVS, GO-KART, GO-KARTS, POLARIS. atv, atvs, kids atv, 4 wheeler, 4-wheeler, 4-wheelers, quad, kid quad, mini quad, quads, go-kart, go-karts, gokart, gokarts, go kart, go karts, gocart, go cart, dune buggy, dune buggie, dune buggies, sand rail, dirt bike, pit bike, moped, scooter, enduro, motorcycle, mini bike, monkey bike, doodle bug, dirtbike, pitbike, coolster, roketa, honda clone, gy6, taotao, bashan, kandi, kinroad, dongfang, chinese, china, parts, repairs, clearance, budget, wholesale, sale, 49cc, 50cc, 70cc, 80cc, 90cc, 110cc, 125cc, 150cc, 170cc, 180cc, 200cc, 250cc go-kart, batman, jaguar, recon, hunter, rancher, shark, rapidity, viper, t-rex, cazador utv, utvs, polaris copy, crazor, avenger, sxs, ninja bike, Kawasaki, Polaris, cazador, electric golf carts , enforcer golf carts",,,,,,,,,,,,,,,,,,,
1315,18.0,mohave,https://mohave.craigslist.org/for/d/lake-havasu-city-rv-ladder-bike-rack/7454509980.html,2022-04-02 14:04,Rv ladder bike rack 2 bikes,0,,,,,,,,,,,,,,,,,,,,
1316,99999.0,mohave,https://mohave.craigslist.org/wan/d/bullhead-city-wanted-cash-for-harley/7455833309.html,2022-04-01 06:10,wanted cash for harley davidson parts and bikes! dyna fxr roadking ect,0,I have cash in hand for harley Davidson bikes running or not basket cases or just a collection of parts.    Do you have old Harley Davidson parts  taking up room in the garage. Or did you own a motorcycle shop and have old overflow inventory. I will come to you with cash and a truck. I'm interested in Harley Davidson manuals then manual's specialty tools tequila's aftermarket parts it parts OEM parts service parts.     Knucklehead panhead shovelhead evolution twin cam Milwaukee 8 fxr fxrp fxrd fxrt dyna sportster bagger Street glide chopper Performance engine parts,,,,,,, good,,,,,,,,,,,,
1317,599.0,mohave,https://mohave.craigslist.org/mcd/d/simi-valley-brand-new-apollo-7cc-pit/7465296425.html,2022-03-31 11:11,BRAND NEW APOLLO 7CC PIT BIKE / DIRT BIKES,5,"BRAND NEW APOLLO 70CC DIRTBIKES $599.99 WITH FREE DELIVERY !  includes free training wheels !  Red, Blue, Green available  70cc 4 stroke motor 4 speed auto clutch 10' front and rear wheels throttle limiter  text 805-630-7223 for more info     Key: 50cc dirt bike pit bikes honda, kawasaki crf 50 ttr 50 yamaha, pw 50 dirt bike kids dirt bike 70cc",,,,,,,,,,,,,,,,,,,
