,Price,Location,URL,Date,Title,num image,bicycle frame material,bicycle type,frame size,wheel size,text,brake type,condition,electric assist,handlebar type,make / manufacturer,model name / number,suspension,serial number,size / dimensions,year manufactured,paint color
3859,50.0,monterey,https://monterey.craigslist.org/bik/d/castroville-eastern-bikes/7472743957.html,2022-04-18 09:11,Eastern bikes,0,,,,,,,,,,,,,,,,
3860,100.0,monterey,https://monterey.craigslist.org/bid/d/salinas-buy-sell-bikes-salinas-pawn/7472220197.html,2022-04-16 15:38,BUY & SELL BIKES (SALINAS PAWN),0, other/unknown, other," lg,md,sml", other/unknown,"WE BUY, SELL AND EVEN GIVE LOANS ON NAME BRAND BICYCLES!!!    Don't use it, don't need it, starting to get ugly or just looking to upgrade. We pay you hard cash fast!  Still love your bike but you need some quick cash? We can help. We help people every day with quick cash, cash they may need for an emergency or any quick necessity. Our loans are helpful, 4 month term, easy to understand and highly confidential.   Give us a call (831)422-7296 or stop by our shop Salinas Pawn 431 east market st Salinas CA. We would be more than happy to help you! Hablamos español!  We accept top names like: cannondale alchemy diamondback ibis all city cycles ancheer bianchi colnago co-op cycles critical retrospec cube devinci electra evil bikes felt firmstrong fuji ghost giant gt bikes intense Jamis Juliana kestrel niner norco orange mountain bikes orbea pivot prevelo priority pure fix quietkat rad power bikes Raleigh ride1up Rocky Mountain sage titanium salsa Santa Cruz Schwinn sixthreezero specialized bikes surly bikes tern transition Tommaso trek woom yeti Yuba and MORE!",,,,,,,,,,,
3861,150.0,monterey,https://monterey.craigslist.org/bik/d/monterey-schwinn-style-bikes-brand-new/7465077450.html,2022-04-14 06:00,"***Schwinn Style Bikes,  Brand New ***",2, aluminum, cruiser," 26""", 26 in,"Hi Craigslist  I am selling 3  ( Brand New ) Tags still on them.  26 ""Ocean Pacific "" Roller"" Aluminum Schwinn style beach cruiser bike- single speed __ $150.00 each    Ocean Pacific Lightweight aluminum Frame and Fork Single alloy Crankset Chrome cruiser Handlebars Black adjustable height Stem Single speed Drivetrain Big comfy plush seat / Saddle Alloy lightweight Rims Coaster Brake Platform Pedals  Want to Save some $$$__  These are great Deals. $$$  Thomas  show contact info  Please text or Call No emails will be answered", coaster, new, none, cruiser, Ocean Pacific, 2685517, none (rigid),,,,
3862,700.0,monterey,https://monterey.craigslist.org/bik/d/salinas-trek-and-specialized-mountain/7470084392.html,2022-04-11 15:44,Trek and Specialized Mountain Bikes and trailer,2, other/unknown, mountain, Teen/adult size, 26 in,"Bikes were over $600 each new ""SOLD""  Trailer was $400 new.    ASKING $150 OBO on the bike trailer.", disc (hydraulic), excellent,,, Trek/Specialized,, suspension fork (hardtail),,,,
3863,600.0,monterey,https://monterey.craigslist.org/bik/d/greenfield-felt-z75-road-bikes-600-each/7469528769.html,2022-04-10 11:39,Felt Z75 Road Bikes $600 Each OBO,4, aluminum, road, 56, 700C,"NEW 2015 Felt Road Bike Z75 Paid $1250.00 each (We have receipts) Motorcycle Injury forces sale  One has clip-ins and one does not They have about 6 miles each on them, so they are brand new  If you buy both we will throw in the used Thule bike rack swing away valued at $600. Fits in 2"" trailer receiver",,,,, Felt, Z75, other/unknown,,,,
3864,50.0,monterey,https://monterey.craigslist.org/bik/d/castroville-kids-bikes/7469316457.html,2022-04-09 18:59,kid’s bikes,3, other/unknown, other, 20 inch and 24 inch, other/unknown,"3 kids bikes all in excellent condition  -Diamond Back Della Cruz girls 20” cruiser.  White, single speed coaster brake with front basket $50.00  -Raleigh “Lilly” model with 6 speed and cantilever brakes.  Girl’s 20” with doll carrier on back. $50.00  -Specialized “Hot Rock” 24” with 10 speeds and cantilever brakes.  Orange, unisex.  Great first mountain bike. $50.00", other/unknown, excellent,, other/unknown,,, other/unknown,,,,
3865,3300.0,monterey,https://monterey.craigslist.org/bik/d/monterey-2019-bh-atom-lynx-pro-large/7468368453.html,2022-04-07 15:32,2019 BH Atom Lynx 6 Pro large frame; excellent,6, aluminum, mountain, Large, 27.5 in,"2019 BH Atom Lynx 6. Large frame. Excellent condition. This is a fantastic full suspension ebike.   720 miles. Not ridden much because it was always too large for me. (I’m 5’ 7”)  Brose drive. (Same as specialized turbo Levo. In fact with 6 inches of travel and similar geometry the handling is very much like the turbo levo but with a 650 watt battery.   Rock shox yari fork  Shimano xt 10 speed derailleur  SLX hydraulic brakes KS dropper   The battery is fully charged and ready to ride but the bike hasn’t been riden in over a year so it probably needs a tune up.   Text is best. I’m very busy. Please don’t bother me unless you’re serious about buying. No lowballs, I don’t need to sell. No scammers, you are ruining an otherwise good way to sell.", disc (hydraulic),, pedal assist, riser, BH bikes, Atom Lynx 6, frame and fork (full suspension),,,,
3866,2295.0,monterey,https://monterey.craigslist.org/sgd/d/electric-the-mid-drive-ebike-that/7468142425.html,2022-04-07 08:07,ELECTRIC! The Mid-drive eBike that Shreds! CyberBike eMountain Bikes!,15,,,,,"Introducing the New 2022 Cyberbike Electric Mountain Bikes   Riders agree: Nothing comes close to Cyberbike's combination of performance, value, style, and quality.  See the Cyberbike Mullet Pro in action HERE! (and here, by popular demand, is last year's intro featuring Division 1 Collegiate Mountain Racer Corey Jackson on the first edition Cyberbike) Order online for fast delivery at www.Cyberbike.com All 2022 Cyberbikes are in stock and ready to shred, Order yours before they're sold out!  More mid-drive power than ever Awesome new color graphic display Easier to ride, lower standover frame, the lowest of any mid-drive eMTB New, structurally superior, mountain ready rear suspension linkage The best brakes in the business, even Quad-piston brakes on some models! Massive brake rotors up to 220mm 34mm gold tube forks on some models up to 140mm travel Wider range of models  A proper e-Mountain bike needs to be mid-drive and have full suspension, it's as simple as that. Until now, if you wanted an electric mountain bike to tackle rugged trails, your choices have been heavy, low-quality, fat tire, hub-motor beach bikes, or legacy brands charging $4000 or more for low-power eBikes without full suspension.   Whether your knees are tired or you just want to shred, there is simply no better choice for performance and value than Cyberbike. An American company with great customer support: Cyberbike, USA. The mountains are calling. Will you answer?  Cyberbike eBikes come all with the quietest and most powerful motor in its class, with a long range (65 miles and more) battery, and powerful e-spec hydraulic disk brakes that will be there when you need them. A lightweight package with 500 watts of power, top-of-the-line battery range, and quality components, all for the price of an inexpensive yet stellar bike! You'll get so much more than other eBikes with the CyberBike, it's the real e-MTB experience for the adventurous rider. Performance, specs, and quality components throughout, and the best warranty in the industry, from an American company with experienced American mechanics on call for all your tech support needs.  54 volt/500 watt climbing power with 13Amp hour Li-Ion battery and only 52 lbs means you'll get power and tons of battery range. Now with available throttle! Now from only $2495 Note: Owning and riding comes with risks. Wear proper protection, properly maintain and check your bike, and ride within your limits. By purchasing our products you agree to take full responsibility for the ownership of your bike, including the above and all other reasonable precautions for yourself or anyone you allow to ride your bike.",, new,,, Cyberbike,,,,,,
3867,50.0,monterey,https://monterey.craigslist.org/bik/d/carmel-bikes-for-sale-as-is/7457898006.html,2022-04-03 16:09,Bikes for sale -AS IS,3, steel, road," 36"" high- Medium", 27 in,"Two bikes for sale AS IS- they are in good condition but need some cleaning. Perfect as summer gets closer. $ 50 EACH OBO... Blue bike is a ladies Schwinn 27"" tires, 10 speed with bell Yellow is a ""Panama Jack"" beach cruiser with 26"" tires..",,,,,,,,,,,
3868,25.0,monterey,https://monterey.craigslist.org/bik/d/salinas-kids-bikes-with-20-to-16-wheels/7466114740.html,2022-04-02 10:42,"Kids bikes with 20"" to 16"" wheels",6, steel, bmx," 20""", 20 in,"Some 16"" with training wheels. 29"" Ferrari mountain bike.  Many to choose from. Sponsored by Rancho Cielo's bike program. Priced from $20 to $35.   Gordon",,,,,,,,,,,
