,Price,Location,URL,Date,Title,condition,make / manufacturer,model name / number,num image,text,part type,bicycle frame material,bicycle type,frame size,wheel size,size / dimensions,brake type,electric assist,suspension,handlebar type
25072,50.0,newjersey,https://newjersey.craigslist.org/for/d/fort-lee-car-trunk-bicycle-rack-for/7463654612.html,2022-04-18 14:56,"Car trunk bicycle rack for 3 bikes, GREAT Condition, no hitch needed", excellent, Hollywood Racks, Express,0,"A barely used trunk bicycle rack that holds 3 bikes by Hollywood Racks.  It's the ""Express rack"" for a sedan or similarly sized car without a hitch.  Used maybe 5 times and then couldn't anymore because we have an additional bicycle to transport. We used it for 2 adult bikes and 1 child's bicycle. It is easy enough to install and remove from the trunk of a standard car.   Folded up, it is about 35"" x 17"" x 9"", so it can fit in your trunk to take it home.  Asking $65 OR BEST OFFER. Sells $110 retail.  Hollywood Racks details from their website:  https://hollywoodracks.com/collections/trunk-bike-racks/products/express-trunk-rack?variant=44239030982  The Express is our economical trunk bike rack that fits most vehicles and features easy-to-use adjustment hubs.  Fitted with soft rubber bike cradles which help protect your bike's finish.  This bike rack comes fully pre-assembled and folds flat for easy storage.  Weight Capacity: 35 lbs per bike Soft rubber cradles protects bike’s finish Fits most vehicles Easy-to-use adjustment hubs Comes fully pre-assembled Folds flat for easy storage Integrated tie-down strap for extra security Distance between bike support arms: 15”",,,,,,,,,,
25073,15.0,newjersey,https://newjersey.craigslist.org/bop/d/newton-allen-sports-crossbar-for/7464792099.html,2022-04-18 14:38,Allen Sports Crossbar for Transport on Step-Through Style Bikes, new, Allen sports, Top tube,4,"Brand new. Bike frame adaptor for transporting your bicycle. Enables bicycle transport by adding a top tube to suspension, step through, BMX/ Kid's, and women's style bicycles."," racks, fenders, bags",,,,,,,,,
25074,25.0,newjersey,https://newjersey.craigslist.org/bik/d/paterson-bikes-parts-or-repair/7467303905.html,2022-04-18 11:04,Bikes Parts or Repair,,,,2,Used bikes for sale for $25 each. two being sold as-is for parts or repair.,, other/unknown, bmx, 000, other/unknown,,,,,
25075,100.0,newjersey,https://newjersey.craigslist.org/bop/d/north-bergen-lv-griptape-pegs-se-bikes/7463656082.html,2022-04-18 10:21,LV griptape pegs se bikes,,,,0,Like new LV bikelife griptape pegs (blk/gld). Located in North Bergen NJ. Call or text,,,,,,,,,,
25076,200.0,newjersey,https://newjersey.craigslist.org/bab/d/jersey-city-bikes-and-walkers/7472621989.html,2022-04-18 05:36,Bikes and walkers, excellent,,,0,This is a big hefty bag filled with three mini baby push bikes and one inner active learning Walker. Maybe also together all at once. Trying to get rid of baby toys. If you need clearer pictures please do not hesitate to text me￼,,,,,,,,,,
25077,145.0,newjersey,https://newjersey.craigslist.org/bop/d/ramsey-rack-for-bikes-hitch-mount/7472590712.html,2022-04-17 23:19,Rack for 3 bikes / hitch mount, excellent, Sportrack, SR2703,3,Fits 2 inch square hitch.  Holds 3 bikes and has keyed locking option.  Lightly used.,,,,,, 3 bike carrier,,,,
25078,145.0,newjersey,https://newjersey.craigslist.org/bop/d/ramsey-bicycle-rack-for-bikes-hitch/7472588437.html,2022-04-17 23:08,Bicycle rack for 4 bikes / hitch mount, excellent, Softride, 4 bike,2,2 inch hitch mount.   Holds 4 bikes.,,,,,,,,,,
25079,50.0,newjersey,https://newjersey.craigslist.org/bop/d/ramsey-bike-rack-for-bikes/7472588123.html,2022-04-17 23:05,Bike Rack for 3 bikes,,,,0,,,,,,,,,,,
25080,40.0,newjersey,https://newjersey.craigslist.org/bop/d/ramsey-bikerack-for-bikes/7472587873.html,2022-04-17 23:02,Bikerack for 2 bikes, like new, ALLEN, 102DN,2,Used twice.   Hold 2 bikes.  Fits most cars and SUVs.,,,,,,,,,,
25081,35.0,newjersey,https://newjersey.craigslist.org/bop/d/wharton-bike-rack-holds-bikes-will-fit/7465512339.html,2022-04-17 21:52,"Bike rack holds 2 bikes, will fit 1-1/4” receiver or 2”receiver", good,,,2,Bike rack that holds 2 bikes fits 1-1/4 receiver or 2” receiver,,,,,,,,,,
25082,20.0,newjersey,https://newjersey.craigslist.org/bik/d/wharton-16-bikes-with-front-and-rear/7471501865.html,2022-04-17 21:51,2 16” bikes with front and rear shocks, good,,,8,"2 - 16” free style type bikes, $20 each",, steel, bmx, 16”, 16 in,,,,,
25083,700.0,newjersey,https://newjersey.craigslist.org/bik/d/fort-lee-c2/7472348510.html,2022-04-17 09:35,c2, excellent, se bikes,,7,Trades accepted will add cash on top for fat ripper,, aluminum, bmx, 27.5, 27.5 in,, disc (hydraulic), none, none (rigid),
25084,285.0,newjersey,https://newjersey.craigslist.org/bik/d/glen-ridge-best-bikes-20-new-york-mets/7472338182.html,2022-04-17 08:47,BEST BIKES 20” NEW YORK METS STEEL BMX FRAME BICYCLE - BRAND NEW & BOXED!, new,,,0,"BEST BIKES 20” NEW YORK METS STEEL BMX FRAME BICYCLE   BRAND NEW IN ORIGINAL MANUFACTURERS FACTORY SEALED BOX *(BOX HAS SHELF WEAR)! *   FEATURES:  BRAND NEW IN ORIGINAL MANUFACTURERS FACTORY SEALED BOX *(BOX IS SHELF WORN)!*  MLB ENDORSED AUTHENTIC NY METS COLORS!  STEEL BMX FRAME WITH OVERSIZED TUBES.  OVERSIZED BMX UNICROWN FORK FOR MAXIMUM CONTROL AND SAFETY.  COASTER AND REAR HAND BRAKES FOR MAXIMUM CONTROL AND SAFETY.  ADJUSTABLE PADDED SEAT WITH TEAM GRAPHICS.  CHAIN GUARD FOR ADDED SAFETY.  MEETS OR EXCEEDS ALL US PRODUCT SAFETY COMMISSION STANDARDS!  EASY TO ASSEMBLE INSTRUCTIONS INCLUDED!     ** FREE DELIVERY IN ESSEX COUNTY NJ AND NEARBY NJ TOWNS, -   CALL MICHAEL IN New Jersey.    Show your team loyalty with this MLB, 20” BMX bicycle from Best Bikes USA.  It's constructed with a durable steel frame and an oversized BMX unicrown fork.  A coaster brake and rear hand brakes provide maximum control, and the adjustable padded seat features team graphics.  Features Steel BMX frame with oversized tubes Oversized BMX unicrown fork for maximum durability and control Coaster brake and rear hand brakes for maximum control and safety Adjustable padded seat with team graphics Chain guard for added for safety.   Meets or exceeds all U.S. Consumer Product Safety Commission standards.      * A percentage of this sale will be donated to the American Red Cross *",, steel, bmx,,,, coaster,,,
