,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,frame size,wheel size,num image,text,brake type,condition,electric assist,handlebar type,make / manufacturer,model name / number,suspension,serial number,part type,size / dimensions
3954,250.0,orangecounty,https://orangecounty.craigslist.org/bik/d/costa-mesa-wildman-bmx-bike-se-bikes/7463243633.html,2022-04-18 16:46,Wildman BMX Bike SE Bikes, alloy, bmx, 4'4 - 5' rider, 20 in,3,"With a 19.5” top tube, the Wildman might be small but it packs a mean punch. It’s the perfect bike for a new BMXer looking to hit the trails, street, or skatepark. Built with 25-9 gearing, tapered fork legs, and extra-wide 2.3-inch tires, it’s ready to be put to the test.  Great bike however son no longer rides BMX anymore.",,,,,,,,,,
3955,30.0,orangecounty,https://orangecounty.craigslist.org/bik/d/bellflower-girls-kids-bikes/7461787896.html,2022-04-18 16:42,Girls/kids bikes,,,,,0,,,,,,,,,,,
3956,800.0,orangecounty,https://orangecounty.craigslist.org/bik/d/costa-mesa-lectric-bikes/7472947196.html,2022-04-18 15:40,Lectric Bikes, aluminum, folding, one size fits all, 20 in,0,Lectric Bike Purchased in the last 90 days.  This was ws ridden one time and its been parked in the garage ever since., disc (mechanical), like new, pedal assist, other/unknown, Lectric Bike, XP, suspension fork (hardtail),,,
3957,70.0,orangecounty,https://orangecounty.craigslist.org/bop/d/huntington-beach-bike-rack-holds-bikes/7462940645.html,2022-04-18 14:59,"Bike rack holds 4 bikes s and fits in a 2"" hitch",,,,,6,"Bike rack holds 4 bikes and fits in a 2"" hitch   pandy",, good,,,,,,,,
3958,300.0,orangecounty,https://orangecounty.craigslist.org/bik/d/costa-mesa-se-bikes-everyday/7472905875.html,2022-04-18 14:07,SE Bikes Everyday,,,,,0,,,,,,,,,,,
3959,60.0,orangecounty,https://orangecounty.craigslist.org/bik/d/costa-mesa-public-bikes-sprout-mini/7469602347.html,2022-04-18 10:51,Public Bikes Sprout Mini Balance Bike,,,,,0,,,,,,,,,,,
3960,785.0,orangecounty,https://orangecounty.craigslist.org/bik/d/long-beach-thule-easyfold-platform-rack/7464795999.html,2022-04-18 10:31,"Thule Easyfold. platform rack great for E-bikes,has fold away ramp,", other/unknown, other, 222, other/unknown,6,"Thule Easyfold. platform rack great for E-bikes,has fold away ramp,locking clamps to hold bikes rack is $1000 out the door $765  show contact info",,,,,,,,,,
3961,575.0,orangecounty,https://orangecounty.craigslist.org/bik/d/long-beach-electra-mod-3i-beach-cruiser/7467010998.html,2022-04-18 10:31,"Electra Mod 3i  beach cruiser tank bike ,aluminum frame 26 inch,bikes", aluminum, cruiser, 26, 26 in,8,"Electra Mod 3i  beach cruiser tank bike ,aluminum frame 26 inch,bikes in good condition $525  show contact info",,,,,,,,,,
3962,550.0,orangecounty,https://orangecounty.craigslist.org/spo/d/thule-t2-hitch-bike-racks-with/7471467651.html,2022-04-17 21:07,Thule T2 Hitch bike racks with extension for 4 Bikes,,,,,4,"Thule T2 with extension for 4 Bikes Platform Hitch Bike rack in excellent condition.   This fits 2"" receiver.   New one costs abt $ 900, but I'm asking only $550.   Features: - Carrier easily folds when not in use and tilts away from vehicle for rear access due to the HitchSwitch lever - Secure bikes quickly without frame contact with the frame free ratcheting arm - Bike to bike interference is eliminated with fully adjustable bike mounts - Ideal for carbon frames, mountain, downhill, and fat bikes as it fits 20 - 29 inch wheels and up to 5 inch tires without adapters - Carries 4 bikes  I'll delete this ad right after I sell it.   If you see this ad, you don't have to ask if this is still available. Thanks a lot.",, excellent,,,,,,,,
3963,3400.0,orangecounty,https://orangecounty.craigslist.org/snw/d/aliso-viejo-super-73-electric-bikes-new/7472559910.html,2022-04-17 17:48,Super 73 Electric Bikes New,,,,,0,Super 73 Electric Bikes New  more pics coming,,,,,,,,,,
3964,25.0,orangecounty,https://orangecounty.craigslist.org/spo/d/capistrano-beach-universal-battery/7472541253.html,2022-04-17 16:33,"Universal Battery Charger 24 Volts for electronic bikes, scooters, toys and elec",,,,,0,"Universal Battery Charger 24 Volts for electronic bikes, scooters, toys and electronic wheel chairs.",, excellent,,,,,,,,
3965,180.0,orangecounty,https://orangecounty.craigslist.org/bik/d/westminster-trek-precaliber-24-youth/7468907141.html,2022-04-17 14:14,Trek Precaliber 24” Youth Bikes, alloy, mountain, Small, 24 in,6,"I’m good condition, 21 speed, 3x7, $180 OBO",,,,,,, suspension fork (hardtail),,,
3966,300.0,orangecounty,https://orangecounty.craigslist.org/bik/d/newport-beach-folding-bikes-for-sale/7472488845.html,2022-04-17 13:34,FOLDING BIKES FOR SALE, alloy, folding, 20 inch, 12 in,2,2 GIANT brand 12 speed folding bikes for sale. We’re $450 each new. Asking $300 each with carry cases., caliper, like new,,, GIANT, Express,,,,
3967,799.0,orangecounty,https://orangecounty.craigslist.org/bik/d/fullerton-custom-raleigh-tokul-xc-bike/7472468346.html,2022-04-17 12:34,Custom Raleigh Tokul 2 XC bike ( free extra fork) ( pedals included), aluminum, mountain, Large, 27.5 in,11,"A 27.5″ aluminum frame hardtail crosscountry bike with mid-range components, priced in the middle of the Tokul model range. Its a very capable bike. This is also the bike that lead me to be being sponsored by Commencal when you buy this bike you will get 2 forks, u will get an extra 100mm fork for free. This bike also recently got a full maintenance and peak performance, changed any old parts with new and better parts. ( That cost me $250). When you buy this bike it will be already washed checked thru all the bearings and be at its top performance and look. ( a lot of custom parts, fork, grip, pedal, brakes) ( pedals included)   Specs: Frame	 Alloy 6061 MTB with DISC Mount, Formed Tubing  Fork	 1.RC2 pro XC 120mm Air.( the fork thats on the bike when u buy) 2.SR Suntour XCM HLO, 30mm Stanchions, 100mm Travel( free fork included)   Bottom Bracket	 Sealed Cartridge Bear BB( just changed a new one so its super smooth.)  Headset	 FSA NO.11N  Stem	 Alloy 31.8 Bar Bore, 40mm Length  Handlebar	 Alloy 740mm Wide, 15mm Rise, 31.8 Bar clamp  Saddle	 Raleigh MTB ultra soft saddle   Seatpost	 Alloy 30.9x350mm  Pedals	 Bontrager Line Elite MTB pedal   Grips	 Black BMX   Groupset: Rear Derailleur	 Shimano Alivio  Crank	 Alloy Crank with Narrow Wide Chainring 32 Tooth  Shifters	 Shimano M4000 Altus Shadow  Cassette	 32 Tooth Alloy  Chain	 KMC Z9  Brakes	 Shimano MT200  Brake Levers	 Shimano MT200 Hydraulic Disc  Wheels: Rims	 Weimann U28  Spokes	 14g - 259/260mm  Front Hub	 Alloy Disc, 32H, 100mm  Rear Hub	 Alloy Disc, 32H, 135mm  Tires	 Vee Tire Co. Crown Gem 27.5x2.3", disc (hydraulic), excellent, none, riser, Raleigh Bikes, Raleigh Tokul 2, suspension fork (hardtail), UUK19C01204,,
3968,45.0,orangecounty,https://orangecounty.craigslist.org/bop/d/garden-grove-bikes-chain-guard-fender/7463094203.html,2022-04-17 11:43,Bike's chain guard fender fenders bicycle chain-guard bike bikes,,,,,3,714-two 30-93 eight o    Chain-guard Fenders  All go together  $45 pickup,,,,,,,,,,
3969,100.0,orangecounty,https://orangecounty.craigslist.org/bop/d/garden-grove-wheels-set-aluminum-rims/7460593365.html,2022-04-17 11:43,Wheels set aluminum rims tires bike bicycle wheel bikes bicycles,,,,,4,"714-two 30-93 eight o   Aluminum rims  Off from Electra (see last photo) wheels set ONLY  wheels set ONLY Good condition  Ready to role 26 in (see photos) 7 speeds cassette  $100 firm ,pickup",,,,,,,,,,
3970,2599.0,orangecounty,https://orangecounty.craigslist.org/bik/d/bellflower-revi-bikes-retro-electric/7462791530.html,2022-04-17 09:37,Revi Bikes Retro Electric Bike Cheetah Ebike Vintage E-Bike,,,,,0,,,,,,,,,,,
3971,250.0,orangecounty,https://orangecounty.craigslist.org/bik/d/anaheim-mountain-bikes/7472405567.html,2022-04-17 09:34,mountain bikes, alloy, mountain, 24 inch, 26 in,4,Men and Womens mountain bikes Shimano gears 18 speed $175..00 cash only for both.. can sell separate.. 150.00 for shogun and $60.00 for Palos MTN Sport   mens shogun celeste metro- 24 inch frame: chromoly double butted joints... comes with tool kit.. lock and key Moving Sale.. if add is up its still available..,,,,,,,,,,
3972,35.0,orangecounty,https://orangecounty.craigslist.org/vgm/d/brea-hollywood-bike-rack-trunk-mount/7463656011.html,2022-04-17 08:27,Hollywood Bike Rack Trunk Mount Carrier 2 Bikes,,,,,0,Text only please. show contact info   Pickup location is in Brea area code 92821     Tags: Super Smash Bros Ultimate Melee Brawl Nintendo Wii U Switch Mario Luigi Peach Toad Switch white,,,,,,,,,,
3973,110.0,orangecounty,https://orangecounty.craigslist.org/bop/d/laguna-niguel-thule-camber-hitch-rack/7468430205.html,2022-04-16 20:32,Thule Camber Hitch Rack HOLDS 4 BIKES 515-0109,,,,,4,"Greetings Bike Riders. I am selling a Thule Camber Hitch 4 Bike Rack model number 515-0109. It is good working condition. I have a car that doesn't have a trailer hitch so I am passing this rack on.  Serious inquiries only. Contact me via craigslist email, by phone (please leave a message if I don't pick up) or text. Thank you for looking  Please: Cash from local buyers only. NO Western Union, Moneygram, wire transfer, cashier check, money order, ads or scammers. do NOT contact me with unsolicited services or offers",, good,,, Thule, 515-0109,,," racks, fenders, bags",
3974,2.0,orangecounty,https://orangecounty.craigslist.org/bik/d/huntington-beach-each-kids-bikes/7468902082.html,2022-04-16 20:23,⭐$2 EACH!!!!! Kids Bikes Bicycles Boys And Girls In HB,,,,,0,,,,,,,,,,,
3975,100.0,orangecounty,https://orangecounty.craigslist.org/bik/d/costa-mesa-two-schwinn-21-speed-bikes/7469589972.html,2022-04-16 17:18,Two Schwinn 21-Speed Bikes, aluminum, mountain,,,4,Two Schwinn 21-speed mountain bikes. Both in good shape but need new inner tubes in tires.   Asking $100 each or best offer!  Email or text 95l-2Ol-7433,, good,,,,,,,,
3976,499.0,orangecounty,https://orangecounty.craigslist.org/bik/d/san-juan-capistrano-nakto-emoji/7472240731.html,2022-04-16 16:45,"Nakto, emoji, discovery Electric bikes, low price free delivery!", other/unknown, other,,,0,"Happy New Year !   Nakto, Discovery & Emoji + other brand E- bikes ! We have a bunch of different styles in our warehouse located in San Juan Capistrano.  We Constantly have stock of our bikes , They start at 499$ and go up depending on style and watts etc. Different models / colors / sizes...  500 watt - 750 watt motor and 48 volt batteries.  The best thing to do is to make an appointment with me to come by the warehouse to see and ride them ' try them out &  pick your favorite style and color  My name is Hans & my cell # is 949 254 66 four four. THANK YOU",,,,,,,,,,
