,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,frame size,wheel size,num image,text,condition,brake type,make / manufacturer,suspension,electric assist,handlebar type,model name / number,serial number
8330,80.0,orlando,https://orlando.craigslist.org/bik/d/orlando-schwinn-bmx-bikes-20-wheels/7461830936.html,2022-04-18 11:11,Schwinn BMX s bikes 20” wheels, steel, bmx, 14”, 20 in,2,Schwinn BMX  kids bikes 20” wheels $80  new condition ridden once.,,,,,,,,
8331,450.0,orlando,https://orlando.craigslist.org/bik/d/orlando-fuji-haro-mountain-bikes/7472538477.html,2022-04-17 19:22,Fuji/Haro mountain bikes, other/unknown, mountain, Large medium, 26 in,6,"Excellent condition mountain bikes , mine is a fuji , my wife’s a Haro , cant ride anymore due to medical reasons so you have a chance to take advantage of this deal, paid way more for them when i bought new, and they are barely used Fuji- 450 Haro -400   Let me know if you have questions", like new,,,,,,,
8332,1.0,orlando,https://orlando.craigslist.org/bik/d/orlando-bikes-bikes-and-bikes/7472392920.html,2022-04-17 11:58,"BIKES, BIKES AND BIKES", aluminum, mountain, MEDIUM, 26 in,7,"BE A KID IN A CANDY STORE, SEVERAL BIKES FOR SALE, ALL HAVE SEPERATE AND DIFFERENT PRICES, PLEASE CONTACT ME TO GET INFORMATION AND PRICES PLEASE. THANKS AND GOD BLESS.", like new, u-brakes, GARY FISHER, suspension fork (hardtail),,,,
8333,5.0,orlando,https://orlando.craigslist.org/bik/d/orlando-kids-bikes/7469340632.html,2022-04-16 16:32,Kids bikes, other/unknown, kids," 10""", 10 in,4,Kids bikes 10 in up to 20 in various Styles sizes and conditions and brand names starting at $5 up to $15 some need air in tires inner tubes brakes adjusted that's why their priced so reasonably please text for more details prices and pictures also available a 24 in Schwinn ladies mountain bike asking $15 need some TLC also available bike tires various sizes of tires and rims 20 inch up to 24 in asking $5 each, good,,,,,,,
8334,75.0,orlando,https://orlando.craigslist.org/bop/d/saint-cloud-bikes-for-parts/7459479806.html,2022-04-16 08:57,Bikes For Parts,,,,,0,,,,,,,,,
8335,888.0,orlando,https://orlando.craigslist.org/mpo/d/grant-wanted-vintage-classic/7471753402.html,2022-04-15 16:09,Wanted Vintage Classic motorcycles parts bikes collections,,,,,0,email or text pictures 7 seven 2 3 two 1 one 437 and bottom line price !! title or no title ? the bottom line the answer will only be yes or no super nice or not running,,,,,,,,
8336,400.0,orlando,https://orlando.craigslist.org/spo/d/lake-monroe-echelon-smart-connect/7466670342.html,2022-04-15 10:12,Echelon Smart Connect Fitness Bikes,,,,,0,,,,,,,,,
8337,35.0,orlando,https://orlando.craigslist.org/bab/d/orlando-girls-bikes/7470933925.html,2022-04-13 17:19,Girls Bikes,,,,,8,"20” great condition, $35 each  Picnic table with cover, $30  Leather Love seat, $50, have tiny scratch, bought over $800",,,,,,,,
8338,350.0,orlando,https://orlando.craigslist.org/bik/d/glenwood-peugeot-mens-and-womens-bikes/7470839861.html,2022-04-13 14:14,Peugeot Men's and Women's Bikes, steel, cruiser, Medium, other/unknown,6,Peugeot Men's and Women's bikes for sale as a pair.  Both ride and shift great and are in excellent condition with just a minor scratch here and there. Tires are like new with very few miles on them.  Cannondale handlebar bags are included and I do have the original low chrome handlebars which will also be included. Contact via Craigslist email or text @*t*w*o*5*s*i*x*4*7*t*h*r*e*e*2*s/e*v/e*n*o*8., excellent, caliper, Peugeot, none (rigid), none, cruiser, Unknown, Unknown
8339,50.0,orlando,https://orlando.craigslist.org/bik/d/winter-park-multiple-bikes-for-sale/7470320812.html,2022-04-12 11:53,Multiple bikes for sale!,,,,,0,,,,,,,,,
