,Price,Location,URL,Date,Title,num image,bicycle frame material,bicycle type,frame size,wheel size,text,make / manufacturer,brake type,condition,electric assist,handlebar type,suspension,model name / number,size / dimensions,part type,paint color,year manufactured,serial number
1503,25.0,prescott,https://prescott.craigslist.org/spo/d/prescott-led-rechargeable-bikes-lights/7466659401.html,2022-04-18 11:29,*LED Rechargeable Bikes Lights + Extras*,0,,,,,,,,,,,,,,,,,
1504,25.0,prescott,https://prescott.craigslist.org/bik/d/chino-valley-bikes-bike-bicycle/7462329270.html,2022-04-17 14:17,"Bikes, Bike, Bicycle, Bicycles. trade for silver eagle.",2, other/unknown, bmx, Unknown, 12 in,"Buy, sell, trade, email, call or text: 928 46O 284I  Nice bikes, $25 each.",,,,,,,,,,,,
1505,57.0,prescott,https://prescott.craigslist.org/bop/d/camp-verde-bicycle-rack-carrier-for-two/7468210524.html,2022-04-16 06:42,Bicycle rack carrier for two bikes,6,,,,,Sportrack two bicycle rear hitch carrier. Can use either size hitch with adapter included. Easy set up and storage. Used for 3 years but not abused. See pics & buy. No holds. Cash only., Sportrack,,,,,,,,,,,
1506,40.0,prescott,https://prescott.craigslist.org/bik/d/prescott-bikes/7465174633.html,2022-04-14 09:32,3 bikes,2, aluminum, mountain, Unknown, 26 in,", Giant Sedona, Univega, Raleigh technium  Two made in Taiwan, two made in Usa"," Raleigh, Giant",,,,,,,,,,,
1507,1.0,prescott,https://prescott.craigslist.org/bik/d/prescott-valley-wheel-bikes/7470935317.html,2022-04-13 14:21,3-wheel bikes,0, other/unknown, recumbent/trike, 000, 24 in,"2- miami Sun trikes ,20"" blue and 24"" pink, set up a time to see and ride and get pricing.thanks", sun, other/unknown, like new, none, other/unknown, none (rigid),,,,,,
1508,375.0,prescott,https://prescott.craigslist.org/bik/d/chino-valley-motorized-bikes/7469734506.html,2022-04-11 00:05,Motorized Bikes,4, aluminum, mountain, 54, 26 in,"26 inch alluminum frame Cannondale m300 w/ new 80, good tires, upgraded chain spring tensioner,  runs great. 375.00  First to come with cash rides it home. Half way through breakin. One tank ran through, needs one more tank and the tighten all the bolts.  Huffy Beach cruiser, w/ new YD 100 Big Bore, upgraded carb and ignition. Fun to ride. I have the fenders and a front basket that will go with it and other little parts. Has upgraded chain tensioner. Tires will need to be replaced soon. Price reduced to 400 to leave 100 for tires.  400 . I'd like to sell them to someone who is interested in the hobby. You will want to watch videos online for any info you would need. The parts are super cheap and easy to install. No d/l needed. Thanks for looking and please email and I'm sorry if it takes a little time to get back, I don't get great phone service,lol.", Huffy/Cannondale,,,,,, BC/m300,,,,,
1509,100.0,prescott,https://prescott.craigslist.org/bik/d/prescott-schwinn-deelite-20-bikes-mint/7469536879.html,2022-04-10 11:57,Schwinn Deelite 20” bikes - Mint and Purple $100/ea,0, steel, kids, Kids, 20 in,Pair of lightly used 20” Deelite bikes. Stored indoors. Used less than 10 times. Girls simply outgrew and upsized to larger bikes., Schwinn,,,,,, Deelite,,,,,
1510,100.0,prescott,https://prescott.craigslist.org/wan/d/prescott-valley-buy-all-brands-dirt/7468145443.html,2022-04-07 08:30,I buy all  brands Dirt Bikes ATV's - $100,5,,,,,"I buy all  brands Dirt Bikes & ATV's including Coolster Roketa Viva Baja TaoTao SunL Apollo Ice Bear BMS Boreem SSR and Hammerhead 50cc 60cc 70cc 90cc kids 110cc 125cc 150cc 189cc 200cc 250cc.  Not Running, Flat tires, or just plain broke!!!!!!!! Wiring Basket cases sitting for years Turn it into cash $$$$$$$$$ Prices Varies per unit's Condition..  Text me and send pic of what you have..",,,,,,,,,,,,
1511,950.0,prescott,https://prescott.craigslist.org/bik/d/prescott-dahon-folding-bikes-vintage/7454660966.html,2022-04-01 13:12,Dahon Folding Bikes 2 Vintage 1987 era,5, steel, folding, small, 16 in,"Dahon Stainless steel folding bikes 1987 vintage 3 speed Great for RV, camping or airplane  Carry bags and manuals Need some work to be perfect. Sold as a pair. $950.00  OBO for both.  E-mail me with your phone number for details. If the ad is posted it's still for sale.  Thanks.",,,,,,,,,,,,
1512,1234.0,prescott,https://prescott.craigslist.org/wan/d/prescott-interested-in-e-bikes-full/7464535870.html,2022-03-29 13:37,Interested in 2 E-bikes.  Full suspension,0,,,,,Interested in 2-bikes full suspension. Liven in the hills and need to use my legs are lose them.  Plz send pictures of what you have and price/trade interest.  Like the pictures but can't afford to buy new.  Disabled and on a fixed income with a lot of trade options.,,,,,,,,,,,,
1513,2000.0,prescott,https://prescott.craigslist.org/bop/d/mayer-exerciser-bikes/7462350204.html,2022-03-24 09:25,exerciser bikes,9,,,,,"It's like a bike but your exercise with your feet in your arms moving motion the brand spanking new never been used have the paperwork and a little saddlebags and even the amounts so you can exercise inside a house with the bikes cell number is  show contact info  call or text$1,000 a piece they are brand new", like another track,, new,,,, 1111," 5x1x3,12",,,,
1514,200.0,prescott,https://prescott.craigslist.org/bop/d/chino-valley-bikes-and-bike-parts/7461654063.html,2022-03-22 14:33,Bikes and Bike parts,0,,,,,"Six complete bikes, 4 mountain bikes, 2 kid bikes, one frame, front fork, and two wheels that should fit it. comes in lot, $200 OBO. Images show current condition. Rust on some, tires need filling/replacing on others. Most if not all are bikes to fix up and sell for more if you can or restore and enjoy. Trek 800 (yellow bike) Motiv ground pounder (red) Balance (silver) vertical pk1 aluminum (silver and blue) huffy uproar 20 (blue) maybe huffy girl bike? (white and purple) giant4130 custom steel tubing frame and front fork, 1x Shimano rear wheel + one that looks the same size and style",,, fair,,,,,, other,,,
1515,60.0,prescott,https://prescott.craigslist.org/bop/d/prescott-bell-hitch-bike-rack/7472909813.html,2022-04-18 14:15,Bell Hitch Bike Rack,2,,,,,Bell Right Up Platform Hitch Bike Rack.  3 bikes.,,,,,,,,,,,,
1516,70.0,prescott,https://prescott.craigslist.org/bik/d/chino-valley-28-schwinn-21-speed/7470577516.html,2022-04-18 13:18,"28"" Schwinn 21 speed",3, aluminum, hybrid/comfort, 28, 28 in,"Nice bike aluminum frame 21 speed with rack. It will need tubes, we bought new bikes.",,,,,,,,,,,,
1517,95000.0,prescott,https://prescott.craigslist.org/rvs/d/chino-valley-2017-jayco-seismic-4113/7472871786.html,2022-04-18 12:56,2017 Jayco Seismic 4113,24,,,,,"Beautiful 2019 Jayco Seismic 4113. Originally bought to travel and live in but we started a business and settled in again at home.   Hate to sell it but we are not using it anymore.   Specifications and Weights (lbs): Dry Hitch Weight         	3,790 Unloaded Vehicle Weight 	16,025 Cargo Carrying Capacity 	4,670 Gross Vehicle Weight Rating 	20,695  Measurements: Exterior Length (overall)	44' 3"" Exterior Height (with A/C)	13' 5"" Exterior Width	8' 6"" Interior Height (main)	7' 5""  Tank Capacities: Fresh Water Capacity (gals)	146.0 Gray Water Capacity (gals)	87.0 Black Tank Capacity (gals)	87.0  See pics including factory graphic of typical 4113 layout - including side and rear patios.  Upgraded King mattress in Master-Wilderness RV luxury mattress, very comfortable.   Added sturdy hitch receiver to back of rig for bike rack - ours held four bikes.   Comes with added Furrion backup camera and side cameras as well as WiFi monitor you can have in your tow vehicle.   Dishwasher, washer and dryer hookups.  Tons of Incredible storage. Additional shelves added in several cabinets as well as over main door.   Fuel tank for generator and second fuel tank for toys with fill pump and nozzle.   CilaJet exterior finish installed for added protection against the elements.  WiFi modem and antenna installed on roof from Mobile Satellite Technologies.  Service can be started with them for additional WiFi coverage.",,,,,,,,,,,,
1518,380.0,prescott,https://prescott.craigslist.org/bik/d/prescott-trek-caliber-single-speed/7470091600.html,2022-04-17 19:16,*Trek X Caliber 8 Single Speed w/ Extras*,16, aluminum, mountain, Medium, 29 in,"Medium size 2014 Trek X Caliber 8 fully rigid, single speed, 29er. Aluminum frame. Includes accessories and extras.   Components:  -Surly Krampus steel rigid fork w/ mounts. -RaceFace Atlas pedals ($140 new). -Paul levers ($120 new). -Avid BB5 mechanical disks, good pads.  -Spank Spoon 40mm rise bars. -Dimension 35mm stem. -Stock Wheelset. -Bontrager and Geax tires, good tread, Slime tubes. -Sram cranks. -Stock Trek seat and post. -Snafu lock on grips. -Surly 19t rear sprocket.  -32t front chainring. -DMR Bikes chain guide.  Accessories/ Extras:  -Zefal large helmet in good shape, no crashes. -Serfas lock with 3 keys. -Topeak compact bike tool. -Frame bag. -2 water bottles. -2 extra rotors. -2 pairs of brand new brake pads. -Extras Maxxis tire with good tread. -A few odds and ends.  Bike has normal wear, no dents or cracks. There is a broken bolt in the seat tube water bottle mount hole. I just use the downtube water bottle cage or frame bag if I want to carry more then one bottle. The bike is solid and ready to ride. I could part the bike out for what I’m asking. $350 FIRM for everything. Pickup in Diamond Valley. Thanks.",,,,,,,,,,,,
1519,325.0,prescott,https://prescott.craigslist.org/bik/d/mayer-three-classic-or-retro-mens-beach/7472100260.html,2022-04-16 11:05,Three classic or retro men's beach cruisers for sale:,0,,,,,,,,,,,,,,,,,
1520,100.0,prescott,https://prescott.craigslist.org/bop/d/prescott-valley-bike-carrier/7465900510.html,2022-04-15 17:56,Bike Carrier,4,,,,,Allen Sport bike carrier. Can carry up to 4 bikes. All plastic parts like new. Model #S545., Allen Sports,, like new,,,, S545,,,,,
1521,5.0,prescott,https://prescott.craigslist.org/spo/d/jerome-new-mountain-bike-tubes/7471595239.html,2022-04-15 08:10,**NEW** Mountain Bike Tubes,2,,,,,"Small collection of 12 bicycle tubes for sale $6 each -or- $10 for two tubes All are brand new, taken off new mtn bikes  29 x 1.9/2.35 size, can also be used for wider 29er tires Most are high quality Kenda brand Great to take with you on the trail in case your tubeless system lets you down  Photo also includes other items for sale (tires, bike locks)",,, new,,,,,,,,,
1522,4599.0,prescott,https://prescott.craigslist.org/bik/d/jerome-2019-cannondale-scalpel-si/7471538890.html,2022-04-15 05:56,"2019 Cannondale Scalpel Si Carbon 2, size Large",19, carbon fiber, mountain, Large, 29 in,"Excellent condition Only 500 miles, mostly dirt roads.  This XC mountain bike has been meticulously cared for.  Amazing bike, carbon everything! (frame, wheels, cranks, handlebars).  Shimano XT build mixed with some SRAM XO.  MSRP $7,200 when new (plus tax). I purchased this bike new and barely rode it. I have 8 bikes and am downsizing.  - The bike is completely stock, with exception of Maxxis Ardent 29x2.4"" tires and frame protection tape I added when purchased. - Weighs only 24-something pounds, is up to date on service - Bike is ready for your next adventure, needs nothing  Price is firm, will ignore low ball offers and not even respond  Price reflects value as determined by BicycleBlueBook.com (excellent condition) https://www.bicyclebluebook.com/value-guide/product/3082594/  Component highlights: - Frame: full Cannondale BallisTec Carbon - Fork: Lefty Ocho (100mm, remote-actuated) - Shock: Fox Float DPS Performance Elite EVOL (100mm, remote-actuated) - Wheelset: Cannondale HollowGram carbon wheels (hubs have DT Swiss internals) - Brakes: Shimano XT (180/160mm, XT rotors) - Brake Levers: Shimano XT - Rear Derailleur: SRAM X01 Eagle (12-speed) - Cassette: SRAM XG-1295, X01 Eagle (10-50, 12-speed) - Chainring: 32T (1x12 setup) - Handlebar: Cannondale C1 Carbon (760mm) - Saddle: Fabric Scoop Flat Race (titanium rails) - Color: Midnight Blue w/Volt Yellow and Stealth Gray (awesome paint job!) - Seat Post: Cannondale C1 Full Carbon (31.6mm) - Chain: SRAM GX Eagle (12-speed) - Shifters: SRAM X01 Eagle (12-speed) - Crankset: Truvativ Stylo Carbon Ai Custom - Headset: Cannondale HeadShok Si  Factory Description: - Kill on the ups, and thrill on the downs with the class-dominating weight and stiffness, mountain goat traction, and insanely confident handling of the world's best XC race machine—Cannondale's Scalpel-Si. Welcome to XXC.  - OutFront Steering Geometry gives you the best of both worlds: slack and stable on hectic descents, yet quick and nimble everywhere else.  - Unbelievably rigid and precise, Lefty out-corners, out-handles and flat-out rides circles around its flexy XC competition.  - Its custom extra-long fork offsets (rake) makes Cannondale's OutFront Steering Geometry possible.  - Proprietary Ai offset drivetrain delivers super short chainstays for climb-winning traction and agile handling, without sacrificing mud/tire clearance or limiting you to single ring set-ups.    not 3T Bikes, Affinity Cycles, Alchemy Bikes, All-City Bikes, Allied Cycle Works, American Classic, Argon 18 Bikes, Banshee Bikes, BH Bikes, Bianchi Bikes, Black Inc, Blue, BMC Bikes, Boardman, Bombtrack Bikes, Bontrager, Boyd, Canyon, Cervelo, Cinelli, Colnago, De Rosa, Dean, Devinci, Diamondback, Eddy Merckx, Ellsworth, Evil, Felt, Fezzari, FOCUS, Forza, Fox, Fuji, Fulcrum, Garmin, Giant, GT, Ibis, Intense, Jamis, Juliana, Kestrel, KHS, Kona, Lauf, Litespeed, Liv, Look, Marin, Merckx, Merlin, Mondraker, Moots, Niner, Norco, OPEN, Orbea, PARLEE, Pinarello, Pivot, Polygon, Primus Mootry, Quintana Roo, Raleigh, Renthal, Revel, Reynolds, Ridley, Ritchey, RockShox, Rocky Mountain, Roval, Salsa, San Marco, Santa Cruz, Saris, Schwalbe, Scott, Serotta, Seven, Shimano, Soma, Spank, Specialized, Spinergy, SRAM, Stages Power Meters, Stan's NoTubes, Storck, Surly, Tacx, Transition, Trek, Truvativ, Vittoria, Vitus, Waterford, Wilier Triestina, Wolf Tooth, WTB, Yeti, YT, Zinn, Zipp", Cannondale, disc (hydraulic), excellent, none, flat, frame and fork (full suspension), Scalpel Si Carbon 2,,,,,
1523,35.0,prescott,https://prescott.craigslist.org/bop/d/prescott-allen-bike-rack-trailer-hitch/7464222218.html,2022-04-14 11:19,Allen 4 bike rack - trailer hitch insert,0,,,,,"Allen 4 bike rack with trailer hitch mount Fits 4 smaller frame bikes.  All original parts, hardly used.   $35 Obo Delivery available for small fee, message for details", Allen,, excellent,,,,,,,,,
1524,1800.0,prescott,https://prescott.craigslist.org/for/d/prescott-trailer-8x4/7471071446.html,2022-04-13 23:08,Trailer 8x4,7,,,,,"I have a utility trailer that’s been converted for many different uses. It was painted, U bolts flipped for more clearance, bigger trailer tires with spare, diamond plates added to sides and tung, gate cut, and welded rack bolted on. Rack can be used to haul bikes, kayaks or mount a roof top tent. Or it can be used simply as a utility trailer.   1800$  Call or text  Nine 2 eight - 8 four eight - four 2 four 0",,,,,,,,,,,,
1525,3250.0,prescott,https://prescott.craigslist.org/mcy/d/prescott-valley-beautiful-suzuki/7470143581.html,2022-04-11 18:27,Beautiful Suzuki GSX1100F Katana,0,,,,,,,,,,,,,,,,,
1526,3200.0,prescott,https://prescott.craigslist.org/bik/d/camp-verde-seven-odonata-56cm/7460075342.html,2022-04-09 16:46,Seven Odonata 56cm,8, titanium, road, 56cm, 700C,"Ti/Carbon, built with Campy Record 10 speed. Campy Nucleon wheels. Chris King headset. Over $7k invested. Been in storage for the past 15 years! Needs a new owner to ride this amazing bike. Only needs a new brake hood on the right side, rubber is worn.  A high end bike at a steal of a price. A new bike like this will cost you over $8k now! https://sevencycles.com/bikes/622-sl.php  Can meet half way if you don't live near Camp Verde. Thanks, Mark", Seven Cycles, cantilever, good, none, drop, none (rigid), Odonata,,,,,
1527,50.0,prescott,https://prescott.craigslist.org/for/d/prescott-valley-bike-rack/7468016430.html,2022-04-09 12:59,Bike rack,4,,,,,"Rv bike rack. Attaches to the bumper of your rv so you can take your bikes camping too. Holds 5 bikes total. The picture shows kids bikes, but it holds adult size as well, just used the closest bikes handy to display the rack $50  Thank you. Text if interested.",,,,,,,,,,,,
1528,1595.0,prescott,https://prescott.craigslist.org/bid/d/phoenix-full-suspension-750-watt-48v/7468935343.html,2022-04-08 23:14,Full Suspension 750 WATT 48v Ebike Electric Bike Fat Tire,21, aluminum, mountain,,,"WWW.COGEBIKES.COM   We can ship anywhere in the cont. U.S.A. for $125.00.We stock many different styles e bikes and have some of the best prices in the country.Brand new top of the line electric full suspension mountain or street bike .This has the newest technology 48 v with a powerful 750 watt motor and removable lithium ion 15 ah battery pack.Good for up to 1000 charges.Bike is aprox. 68 lbs. Fat tires for all terrain riding.Sand , snow , mud , gravel. Lots of power to get up those hills with 5 different pedal assist modes.Average top speed is 30 mph depending on rider weight.Will hold up to 300 lb rider.Average 50 miles on a single charge on level one assist.Medium aluminum frame.Call me for more specific details of the bike and to take a test ride.You won't be disappointed.They are a blast to ride and a great way to start getting exercising again. Commute to work and save gas.$ 1595.00 OTD We have many different e bike styles to choose from.    Atala Aventon Babboe Batavus Bearcraft Benno Beone BH Bianchi Bixs blix BMC Boardman Bottechia Budnitz Bulls Butchers & Bicycles Buzz Bicycles BTN BPN Cannondale Canyon CIOCC Civia Colnago Commencal Corratec Cube Bikes Dawes Day6 DCO De Rosa Del Sol Devinci Diamondback Dolan Ecells Electra Electric Bike Company EVO EUNORAU Factory Falkenjagd Felt Focus Frey Fuji Gazelle Gepida GHOST-bikes Giant Gitane Haibike Haro Hasa Head Hilite HP Juiced Rambo Quit Kat FLX Velotechnik IDWorx KHS Kildemoes Kona La Pierre Liv Look M2S Ebikes Marin Merida Micargi Miyata Montague Motobecane Moustache Olmo Olympia Omnium Opus Orbea Peugeot Pinarello PlanetX Polygon Priority Bicycles Pure Cycles R&A Cycles R+E Cycles Rad Power Bikes Raleigh Raymon Ribble Ridley Riese & Müller Rocky Mountain Roux Ruff Cycles S.A.M.’s Bike Company Saracen Savadeck Scapin Schindelhauer s Schwinn SCO Scott Specialized Stevens Sondor Storck Stradalli Taurus Tern Trek Trinx Univega Upland Urban Arrow Urwahn Van Dessel Vilano Walleräng WHEELER Whyte Wilier Winora Yuba Zinn Cycles Electric-Bike E-Bike ebike e bike bicycle",, disc (mechanical), new,,,,,,,,,
1529,1295.0,prescott,https://prescott.craigslist.org/bid/d/phoenix-front-suspension-750-watt-48v/7468934837.html,2022-04-08 23:08,Front Suspension 750 WATT 48v Ebike Electric Bike Fat Tire,20, aluminum, mountain,,,"WWW.COGEBIKES.COM  Compare this to the RADD Rover.This is a much better value and comes with the rack.Also much faster.We can ship for $125.00.We stock many different styles e bikes and have some of the best prices in the country.Brand new top of the line electric front suspension mountain or street bike .This has the newest technology 48v with a powerful 750 watt motor and removable lithium ion 13 ah battery pack.Good for up to 1000 charges.Bike is aprox. 65 lbs. Fat tires for all terrain riding.Sand , snow , mud , gravel. Lots of power to get up those hills with 5 different pedal assist modes.Average top speed is 30 mph depending on rider weight.Will hold up to 300 lb rider.Average 50 miles on a single charge on level one assist.Medium size aluminum frame.Call me for more specific details of the bike and to take a test ride.You won't be disappointed.They are a blast to ride and a great way to start getting exercising again. Commute to work and save gas.$ 1295.00 OTD We have many different e bike styles to choose from.    Atala Aventon Babboe Batavus Bearcraft Benno Beone BH Bianchi Bixs blix BMC Boardman Bottechia Budnitz Bulls Butchers & Bicycles Buzz Bicycles BTN BPN Cannondale Canyon CIOCC Civia Colnago Commencal Corratec Cube Bikes Dawes Day6 DCO De Rosa Del Sol Devinci Diamondback Dolan Ecells Electra Electric Bike Company EVO EUNORAU Factory Falkenjagd Felt Focus Frey Fuji Gazelle Gepida GHOST-bikes Giant Gitane Haibike Haro Hasa Head Hilite HP Juiced Rambo Quit Kat FLX Velotechnik IDWorx KHS Kildemoes Kona La Pierre Liv Look M2S Ebikes Marin Merida Micargi Miyata Montague Motobecane Moustache Olmo Olympia Omnium Opus Orbea Peugeot Pinarello PlanetX Polygon Priority Bicycles Pure Cycles R&A Cycles R+E Cycles Rad Power Bikes Raleigh Raymon Ribble Ridley Riese & Müller Rocky Mountain Roux Ruff Cycles S.A.M.’s Bike Company Saracen Savadeck Scapin Schindelhauer s Schwinn SCO Scott Specialized Stevens Sondor Storck Stradalli Taurus Tern Trek Trinx Univega Upland Urban Arrow Urwahn Van Dessel Vilano Walleräng WHEELER Whyte Wilier Winora Yuba Zinn Cycles Electric-Bike E-Bike ebike e bike bicycle",, disc (mechanical), new,,,,,,,,,
1530,1995.0,prescott,https://prescott.craigslist.org/bid/d/phoenix-bicycle-full-suspension-folding/7468933686.html,2022-04-08 22:58,E Bicycle Full Suspension Folding 1000 Watt Electric eBike 48 Volt,21, aluminum, folding,,,"WWW.COGEBIKES.COM  Worth a tip to the valley.We have some go the best prices on pedal assist e bikes in the country.All with full warranty.We have many styles of e bikes available.Perfect for campers with limited space.Great for planes or boats and rv,s.Folding fat tire bike.Hydraulic brakes.This has the newest technology with the 1000 watt Bafang motor and removable lithium ion Samsung 48 volt 21 ah battery pack.Good for up to 1000 charges. 4 "" fat tires for all terrain riding.Sand , snow , gravel , mud etc.Lots of power to get up those hills with 5 different pedal assist modes.Average top speed 27 mph depending on rider weight.Integrated head light and tail light.Will hold up to 275 lb rider.Average 60 miles on a single charge on level one assist.Average top speed 27 mph. 20 "" rims.Call me for more specific details of the bike and to take a test ride.You won't be disappointed.They are a blast to ride and a great way to start getting exercising again. Commute to work and save gas.$ 1995.00 OTD. 623- 512-5431     Atala Aventon Babboe Batavus Bearcraft Benno Beone BH Bianchi Bixs blix BMC Boardman Bottechia Budnitz Bulls Butchers & Bicycles Buzz Bicycles BTN BPN Cannondale Canyon CIOCC Civia Colnago Commencal Corratec Cube Bikes Dawes Day6 DCO De Rosa Del Sol Devinci Diamondback Dolan Ecells Electra Electric Bike Company EVO EUNORAU Factory Falkenjagd Felt Focus Frey Fuji Gazelle Gepida GHOST-bikes Giant Gitane Haibike Haro Hasa Head Hilite HP Juiced Rambo Quit Kat FLX Velotechnik IDWorx KHS Kildemoes Kona La Pierre Liv Look M2S Ebikes Marin Merida Micargi Miyata Montague Motobecane Moustache Olmo Olympia Omnium Opus Orbea Peugeot Pinarello PlanetX Polygon Priority Bicycles Pure Cycles R&A Cycles R+E Cycles Rad Power Bikes Raleigh Raymon Ribble Ridley Riese & Müller Rocky Mountain Roux Ruff Cycles S.A.M.’s Bike Company Saracen Savadeck Scapin Schindelhauer s Schwinn SCO Scott Specialized Stevens Sondor Storck Stradalli Taurus Tern Trek Trinx Univega Upland Urban Arrow Urwahn Van Dessel Vilano Walleräng WHEELER Whyte Wilier Winora Yuba Zinn Cycles Electric-Bike E-Bike ebike e bike bicycle",, disc (hydraulic), new,,,,,,,,,
