,Price,Location,URL,Date,Title,make / manufacturer,model name / number,num image,text,bicycle frame material,bicycle type,brake type,condition,electric assist,frame size,wheel size,handlebar type,suspension,part type,size / dimensions,serial number
4190,175.0,sacramento,https://sacramento.craigslist.org/spo/d/thule-helium-pro-holds-bikes/7472855151.html,2022-04-18 12:28,Thule Helium Pro - Holds 2 Bikes, Thule, Helium Pro 2,0,This is a hitch bike rack. Holds 2 bikes. It folds down for trunk access in a one and a quarter hitch mount.  Super light weight.   I caught my 5 year old carrying it around the house one time.  All straps are included.  Also comes with cable lock and hitch lock with 2 keys.  Paid nearly $400.  Asking $175.   Excellent condition.   Please email or call with any question.  show contact info   Thanks,,,,,,,,,,,,
4191,200.0,sacramento,https://sacramento.craigslist.org/spo/d/thule-bike-hitch-rack-fullswing-holds/7472854767.html,2022-04-18 12:27,Thule Bike Hitch Rack FullSwing 4 - Holds 4 Bikes, Thule, Full Swing,14,"Hold 4 bikes .  Excellent condition.  Has not been used for a while and right now sitting in my garage collecting dust.  All rubber straps are included.   Paid nearly $600.  Asking $200.  Locks and keys are included.  The FullSwing 4  is a swing away hitch rack with all the right moves. Get easy access to the rear of your vehicle anytime during your road trip, without the hassle of having to remove your bikes.    FEATURES:      Swings away with bikes loaded to provide ultimate access to vehicle.     No toolbox required with the single bolt assembly. We've made it really easy and even included the wrench.      Anti-sway cradles eliminate bike-to-bike contact.     Lock your bikes to the rack with the Hand Cuff locking cable.     Carries up to 4 bikes.     2"" hitch receiver only.     Optional Tube Top allows you to carry a variety of bike frames.   Check to see if this carrier will fit your vehicle with the HITCH DIMENSION CHART  GENERAL INFORMATION: WEIGHT: 23 kg (50.6 lbs) DIMENSIONS: 1003 x 279 x 1118 mm CAPACITY: 4 bikes   show contact info    Thule, bike rack.rack, bike",,,,,,,,,,,,
4192,900.0,sacramento,https://sacramento.craigslist.org/bid/d/shingle-springs-marin-bikes-and-bikes/7472761462.html,2022-04-18 09:35,MARIN BIKES and E-BIKES in Stock at BISON BIKES(GREAT INVENTORY!), MARIN, RIFT ZONE BOBCAT,7,"MARIN BIKES are “MADE FOR FUN!” “Marin County California is the birthplace of mountain bike culture, and home to many of the people and places that have shaped the sport.”  MARIN makes some of the best value bikes(for almost all budgets) in the industry with modern geometry and modern features the pickiest bike nut will love.   Contact Bison Bikes for the best deal on your favorite model. Our prices and service can't be beat!!! Bike Deals are Available on Most Sizes and Models.   BISON BIKES is your number one source for top quality MARIN Mountain/Road/Gravel Bikes in the SACRAMENTO, FOLSOM, EL DORADO HILLS, CAMERON PARK, PLACERVILLE AND all of El Dorado County.  (530)500-BIKE www.bisonbikes.com. Great selection. Special Orders are super easy.  We will not be beat by anyone, anywhere on price, from any legit  MARIN BIKES Authorized Dealer.  Please see our website for inventory and links to see your new MARIN RIFT ZONE CARBON or ALLOY, MARIN RIFT ZONE JR 26, MARIN EL ROY, SAN QUENTIN, BOLINAS RIDGE, MARIN HEADLANDS, MARIN BOBCAT TRAIL, MARIN E-BIKES, or Many Other MARIN BIKES We Don't Have the High Overhead of Other Big Multi Location Shops, so Please Check Us Out.  THANKS AND RIDE ON!!", aluminum, mountain, disc (hydraulic), new, pedal assist, All Sizes, 29 in,,,,,
4193,150.0,sacramento,https://sacramento.craigslist.org/bik/d/fair-oaks-bikes-and-dog-cart/7472723220.html,2022-04-18 08:34,2 bikes and dog cart,,,0,,,,,,,,,,,,,
4194,70.0,sacramento,https://sacramento.craigslist.org/pts/d/represa-yakima-forklift-rooftop-bike/7472668103.html,2022-04-18 06:41,Yakima Forklift rooftop bike rack with lock n key fit MTB n road bikes,,,0,,,,,,,,,,,,,
4195,1.0,sacramento,https://sacramento.craigslist.org/mpo/d/san-francisco-dirt-bikes-and-vintage/7472610303.html,2022-04-17 23:20,Dirt bikes and Vintage Bikes,,,2,"Hi,   I am a collector who is looking to buy some more motorcycles. It is a hobby of mine to rebuild and restore bike, so any condition is fine. Interested in dirt-bikes 1970-2021 as well as any other motorcycles, mopeds and scooters that you may have. I may even buy cars if you are interested in selling them. But I mainly like 2 wheeled rides. Send me all you want to sell!! I pay Cash with fast pickup and response.  Thanks",,,,,,,,,,,,
4196,40.0,sacramento,https://sacramento.craigslist.org/bop/d/vehicle-rack-for-bikes/7469719178.html,2022-04-17 21:50,Vehicle Rack for 2 Bikes,,,4,This is a quick easy on and off style -- it is in good condition -- fully adjustable & all steel costruction -- asking ONLY $40.00  ! !    * * *  N O Texts   * * *  but do   CALL  ( 916 ) 804  - 376two,,,,,,,,,,,,
4197,65.0,sacramento,https://sacramento.craigslist.org/bop/d/davis-thule-bike-rack-bikes/7472361522.html,2022-04-17 07:23,Thule bike rack-4 bikes, Thule,,5,Thule bike rack.  Holds 4 bikes. Hitch mount. The part that goes into hitch is 1.25 inches.  See pics.  You may or may not need an adapter. Needs new straps.,,,,,,,,,,,,
4198,50.0,sacramento,https://sacramento.craigslist.org/bik/d/rocklin-bmx-and-kids-mountain-bikes-for/7472280824.html,2022-04-16 19:35,BMX and Kids’ Mountain bikes for sale, Felt Trek Giant,,4,Felt 18.5 BMX—-SOLD Giant Mtn Bike kids size Trek BMX/Mtn bike kids —-SOLD  All is good condition. Need new tubes and maybe a tune up, aluminum, bmx, caliper, good, none, 18.5 misc, 20 in, bmx, frame and fork (full suspension),,,
4199,40.0,sacramento,https://sacramento.craigslist.org/bop/d/sacramento-best-companions-bikes-mount/7472272184.html,2022-04-16 18:52,"Best Companions Bikes Mount Hitch Rack, Bicycle Carrier for Cars, with",,,0,,,,,,,,,,,,,
