,Price,Location,URL,Date,Title,condition,num image,text,bicycle frame material,bicycle type,brake type,frame size,make / manufacturer,model name / number,suspension,wheel size,handlebar type,electric assist,part type,size / dimensions,paint color,year manufactured,serial number
40313,1.0,saltlakecity,https://saltlakecity.craigslist.org/mpo/d/magna-wanted-wrecked-or-damaged-sport/7471682572.html,2022-04-15 12:00,WANTED - Wrecked or damaged sport bikes sportbikes - cash in hand, fair,0,"I am in the market to purchase wrecked or damaged sport bikes. Primary interested in 2006 and newer Yamaha r6 r1; Honda 929 954 cbr 600rr 1000rr; Suzuki gsxr 600 750 or 1000 hayabusa 1300; Kawasaki zx10 zx6 zx14, BMW S1000RR etc.  Price will depend on miles, condition and status of title. Please call/text me with information on your motorcycle. Thanks! Nick",,,,,,,,,,,,,,,
40314,700.0,saltlakecity,https://saltlakecity.craigslist.org/bik/d/salt-lake-city-brande-new-rad-runner/7468307199.html,2022-04-07 14:16,brande new!! RAD RUNNER ELECTRIC BIKE needs battery, new,11,Rad runner e bike with add on center consols $99.00 value passenger packagde $99.00 value cbike cost 1799 plus th198 NEEDS BATTERY. thats wht its $1000.00 less then cost. Bike is brand new. Still has protective plastic coating. After markst battery for 129, aluminum, other, disc (mechanical),,,,,,,,,,,,
40315,900.0,saltlakecity,https://saltlakecity.craigslist.org/bik/d/draper-gary-fisher-cake-dlx-xt-full/7472204800.html,2022-04-16 15:58,"Gary Fisher Cake 1 DLX XT Full Suspension tubeless 26"" 19"" frame", excellent,6,"I bought this used and rode it a few times. It's amazing, but not for me. Completely stock as far as I can tell. I see no suspension leakage.   Very highly rated:  https://products.mtbr.com/product/bikes/xc-suspensio/gary-fisher/cake-1-dlx.html", aluminum, mountain, caliper," 19""", Gary Fisher, Cake 1 DLX, frame and fork (full suspension), 26 in,,,,,,,
40316,2250.0,saltlakecity,https://saltlakecity.craigslist.org/bik/d/salt-lake-city-full-carbon-trek-madone/7461464745.html,2022-04-16 10:22,- $6800 full carbon Trek Madone 6.7 SSL * 54cm * Ultegra / Dura Ace, excellent,7,"Full carbon fiber Trek Madone 6.7 SSL road bike for sale.  Shimano Dura Ace / Ultegra build w/ Race Lite wheels = total weight of only +/- 15.5 lbs.  This ultra-light-weight build + proven, multiple Tour de France winning geometry + race level Shimano groupset make this Madone a beast in the canyons. It is one of the lightest production frames Trek has ever built.  $6800 new  54cm frameset  Typical wear from normal recreational riding.  Very well maintained and in very good condition. overall. No crashes or damage of any kind..  Fresh tune + new bar tape, new rear tire, and new Bontrager Anja Elite saddle.  With a lighter wheelset and a few other tweaks this bike could easily be 14-ish pounds.  Dura Ace crankset, front derailleur and brakes. Ultegra shifters and rear derailleur..  Reply to posting with any questions. Super highly reviewed bike:  https://www.bikeradar.com/news/article/2011-trek-madone-6-9-ssl-first-look-26844/  https://www.ridgewoodcycle.com/product/trek-madone-6.7-ssl-compact-h2-73591-1.htm  Moving to Hawaii for a while... selling off a few extra bikes.  If you're riding a basic / entry level / alloy frame, this bike will be a game changer for you.  This bike is such a great climber.  My go-to training ride is up Emigration Canyon it just floats right up and flies back down.  Does not include pedals, Garmin / mount, tail bag or any other accessories that may be shown in the pics... except for the water bottle cages.    53cm 55cm Emonda Domane S-Works Tarmac Roubaix Giant TCR Advanced Defy Propel Project One Orbea Orca Cervelo R3 R5 S5 Guru Time Look SRAM Red", carbon fiber, road, caliper, 54cm, Trek, Madone 6.7 SSL, none (rigid), 700C, drop,,,,,,
40317,5000.0,saltlakecity,https://saltlakecity.craigslist.org/mcy/d/draper-rebuilt-cb-750/7471702336.html,2022-04-15 12:23,Rebuilt CB 750,,3,"This classic CB750K SOHC has been an amazing bike for me. 	⁃	The carbs have been cleaned, tuned, and synced on a number of occasions. 	⁃	The motor was “rebuilt” 2 years ago. The rebuild included several modifications that are debatably factory due to the fact that I hunted and picked through the bone yard to pull the very best K0 camshaft, cam towers, rockers, shafts, etc. I pieced each together utilizing the best of each year of the 750 to maximize the power output “WITHOUT” increasing displacement. Essentially this bike has been gone through with power in mind, but I have not bored it out. Rather old parts have been replaced with either new stock sizes or lightly used parts. Everything and I mean EVERYTHING in the top end has been hand lightened, the head completely ported and polished, including combustion chambers, as well as domed (higher compression) pistons installed.  	⁃	All electrical parts have been gone through with the points replaced, then essentially bypassed with a transistorized ignition, new coils, upgraded advance unit, modified advance springs, and so on. All in all everything is LED and the headlight alone is amazing to say the least. The electrical upgrades completely removed the 750 flat spot in the mid range and have overall reduced the workload that the wiring has to deal with. All of this improves reliability, performance, and safety.  	⁃	The tires alone are over $500 in rubber and MAN do they hug the corners. 	⁃	The suspension has been completely gone through, with fork seals and oil replaced. The triple tree clamps cracked on me on my way to work one day, so I bought a joker machine replacement set that are solid billet aluminum with taper steering stem bearings installed. 	⁃	The front and rear wheels have been professionally trued and bearing have been replaced with the tires at end of last riding season.  	⁃	The front wheels hub does not come stock setup to be able to receive a second (yes that’s right second, as in dual disk) disk, but I have machined the hub and have the second disk on the front wheel now. I also have the second brake setup complete, but you would just need to get the brake line for it. Cool part about the triple clamp is that it actually acts as the hydraulic splitter for the front end. So everything is set to go, I just never got around to getting it done.  	⁃	There are two completely different set of pipes based on your preference. One is an after market 4 into 1 that is on it now. I personally don’t like or prefer this set, but haven’t had the time to swap them back to the original 4 into 4 chrome pipes. With all of the upgrades done to bike I thought it might do well with the 4 into 1 pipe, but honestly have been disappointed. The performance, sound, and look of the originals far out way the 4 into 1 set. Both come with the bike though.   I could go on and on about this bike if you couldn’t tell, but sadly a “deal with the devil”, just kidding a deal with my wife is causing me to have to give this prize up. Lame or stupid as I may sound I REALLY REALLY want this bike to go to someone who will love it the way that I have. Give it a good home if you will. The trick with “old” bikes is that they need a certain amount of care and most people don’t get that. They just ride it and don’t take care of what they have. Really the only thing that hasn’t been updated in this bike is it’s cosmetics. The tank has a small ding and a scratch, but the seat, tank, and side panels are all from the 70’s. Quality stuff really.  I also have two full bins chalk full of parts for this baby. I am happy to include most of them.",,,,,,,,,,,,,,,
40318,4350.0,saltlakecity,https://saltlakecity.craigslist.org/bik/d/salt-lake-city-santa-cruz-5010-s-build/7470851287.html,2022-04-13 12:35,Santa Cruz 5010 C S-Build Large, excellent,4,"Size L, S build.   Ridden for one season. Rips through most everything and has fun doing it. I'm just looking to find something with a little more travel.   RideWrap (frame protection) installed on day 1, pedals and cage can be included if you want. A few tiny paint chips on the chainstays and right brake lever, and fork decal scratches, as is expected. Rear rim has a small bulge (0.5"" long) on the right side that does not affect performance. This damage is reflected in the price.  Will be sold with stock Burgtec aluminum bars.   Everything stock, except upgraded the rear tire with a double down DHR II and brake pads to SRAM performance.  Servicing the fork this week.  Happy to send more photos and answer questions.   Parts list: https://www.vitalmtb.com/product/guide/Bikes,3/Santa-Cruz/5010-Carbon-C-S,30524", carbon fiber, mountain, disc (hydraulic), Large, Santa Cruz, 5010, frame and fork (full suspension), 27.5 in, downhill, none,,,,,
40319,9999.0,saltlakecity,https://saltlakecity.craigslist.org/wad/d/salt-lake-city-wanted-old-motorcycles/7470833636.html,2022-04-13 11:59,Wanted Old Motorcycles 📞(800) 220-9683 www.wantedoldmotorcycles.com,,24,"Wanted Old Motorcycles (1930's 1940's 1950's 1960's 1970's) For Private Collection. www.wantedoldmotorcycles.com  Buying ""as is"" condition, picking up and paying fair market value. One bike, a barn full or NOS part lots.  Contact for a CASH offer on your old motorcycle:  ✅ Call ☎ (800)220-9683  ✅ Visit the WEBSITE: www.wantedoldmotorcycles.com  In search of 1980 and older: Harley Davidson Knucklehead Panhead Shovelhead Flathead AMF Honda: CB CB750 FOUR Sandcast K0 K1 K2 K3 CBX 1000 CB400F CB450 CB550 CT70 Trail 70 CB400 Kawasaki: H2 750 Triple Z1 KZ 900 H1 500 KZ900 Z1R KZ1000 MK2 MKII LTD KZ1300 S2 S3 KH400 Norton: Commando Atlas P11 Ranger Manx Jubilee Navigator Dunstall Rotary 850 Dominator 900kz 900z BMW: R50 R50/2 R60 R65 R60/2 US R50/2 R27 R80 R90 R75/6 R90/6 R100 r100RS r90S R69s R69 R69US Triumph: X-75 Hurricane Bonneville Trident Tiger Daytona 650 t120 t140 t150 t160 Pre Unit X75 z1000 Yamaha: RD Rd350 Rd400 XS1 XS1B R5 XS650 Big Bear YA1 1973 1974 1975 1976 1977 1978 1979 Suzuki: GT750 Waterbuffalo RE5 GT380 GT500 GT550 T500 Titan Re-5 Indy Water Buffalo T350 BSA: Rocket 3 Gold Star Thunderbolt Lightning Spitfire Golden Flash B44 Victor Special A50 A65 Indian: Chief Junior Scout Arrow V Twin Factory Hillclimber Single Belt Drive Hendee Prince 1000kz Ducati: 750ss GT 860 Monza DM750 900ss GTS Darmah Desmo Mk3 Diana Elite DM450 SCR R/T RT  Husqvarna: 360 400 cross WR450 Sportsman Prototype 1965 1966 1967 1968 1969 1970 1971 1972 Moto Guzzi: Le Mans Eldorado Ambassador Falcone Lemans V7 Sport 750S T3 Airone El Dorado All other makes, RUNNING OR NOT, JUNK OR MINT. No GL1000 Goldwings or 1981 and newer  Paying you and picking up at your location, very safe, super easy. You won't have to bring your motorcycle anywhere.  Willing to purchase immediately in any condition: good or bad, complete, incomplete, restored or needing restoration.  If you lost your title or registration, not a problem.  Why not take a minute now go to website: www.wantedoldmotorcycles.com Find out what yours is worth in a couple minutes while relaxing in comfort on sitting on your sofa couch or desk chair.   Buying ""as is and where is"" means exactly as it sounds. Whatever shape it's in and wherever located, buried in cluttered basements or outside in a overgrown back yard. Excellent classic survivors, fixer upper winter projects, junker bikes too.  Get the details how to turn your motorcycle into the money you want the ez way at website: www.wantedoldmotorcycles.com   SELLING DOES NOT GET EASIER!  Call to get a offer, the number is a landline not a cell phone: (800)220-9683, please leave a message if no answer.   GET PAID THE IMMEDIATE MONEY YOU WANT! PAYING AND PICKING UP AT YOUR LOCATION.  Please dont contact if you are trying to buy, nothing is for sale, no trades or barter, everything is kept.  www.wantedoldmotorcycles.com  Own a antique motorcycle untouched the past 30 years? Sell it! Get paid the money you want. Make room in your garage, shed, building or reclaim the basement space. Regardless of condition, send a email with your asking price. If you don't know how much you want, attach a few pictures with your digital camera or iPhone and ask for an offer. Fast, simple and you don't have to get a basket case put together, clean it up or do anything to the motorcycle. Always buying things ""as is"", coming to you, at a time that works on your schedule, weekdays or weekends. Spending huge amounts for vtg dealership NEW OLD STOCK, fastest payment, speedy removal. www.wantedoldmotorcycles.com  Call (800)220-9683 please no text messages (This is a land line not a cellphone or smartphone) voicemails ok.  ALWAYS BUYING AS IS! You won't need to do a thing. Don't wash it, just count the cash. It can not get easier.  For an instant offer go to the website and include pics or info anytime. Its the best way to sell at the price you want. ✅ Use the Online Form: https://www.wantedoldmotorcycles.com/contact.html (copy and paste link)  WTB: Vintage Post war British * Japanese * American * Italian * French * German * Laverda - Rickman - Bultaco - Benelli - Matchless - Royal Enfield - Vincent - Velocette - Parilla - NSU - Morini - Aermacchi - Maico - Hodaka Combat Wombat - Rokon - Brough Superior - MV Agusta - Motobi - Sachs - Rupp - Greeves - Ace - Ossa - Vizio - Montesa - Mondial - Premier - Fantic - Pope - Henderson - Cleveland - Excelsior - Flying Merkel - Crocker - Ariel - Casal - Horex - Cyclone - Gilera - Kaizom - AKT - Jawa - Hercules - Buell - Bimota - Whizzer - Tomahawk - Maserati - Bianchi - Cagiva - Yale - Nimbus - Panther - Artic Cat - Rudge - Scott - Terrot - Ural - DKW Dogs -Thor - Sony - Metisse - Motosacoche - James - Cushman - Bombardier - Universal - AJS - KTM - ESO - CZ - Zundapp - Rumi - Can-am - Fratelli Ferrari - Sunbeam - Ski-doo Mini-trail - Ceccato - Puch - Lambretta - Vespa scooter moped - Simplex - ISO 1950s: 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960s: 1960 1961 1962 1963 Two Stroke Triples S1 Mach I 250cc 350cc 400cc H1500 III 500cc KH500 H2750 IV 750cc Z1900 900cc Z1-R z900 kh KZ-1000 MK. Mark II 60's 70's 80's 1 2 3 4 I widow maker Supersport SS 1000cc 1300cc MK11 Z1R-TC MKV MKIV MKIII ATP TC2 Kz900ltd 1000z KZ1000LTD 1982 KZ1000R. 1980's 81 82 Z750RS Z2 z1300 KSR KZ-1100 KZ650 KZ750 Samurai cb750k K4 K5 K6 CB-750 CB750F CB350F C100E CZ100 CB350 GS400 GS425 Black Bomber CB500 CB550F HD Trophy Tigress Bantam RM250 RD500 256gb 1964 RZ500 RZ350 RZ XS-1 XS1-B 32gb XS-650 128gb TZ 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 71 72 73 74 76 77 78 79 Z1-R Z1A Z1B Z1-A Z1-B H2A H2B H2C H1a h1B H1C H1D H1E H1F z1-a z1-b h2-a h2-b h2-c kzp turbo charged blower models Rd250 California Edition Goldstar Thunderbird Shooting Fleetstar Barracuda International Wes Cooley, Eddie Lawson replica racing ELR, autograph shovel Mathews Craig Vetter CBX1000 CB71 CB77 Superhawk  THINKING OF THINK OF SELLING, CALL TODAY! (800)220-9683  Seeking those serious collectors who spent their entire life collecting, retired dealers having left over inventory large or small should hold out for Top Dollar, Kelly BlueBook or NADA appraised estimates. Fine museum quality rarities are practically unique and deserve highest possible, KBB book appraisal prices, receive a total fortune. Dear sir, you found the buyer.  Seller Option 1: Spend hard earned dollars on a mechanic to fix your project or doing repairs or restorations yourself. Grab a repair manual service guide hunting for correct tools. Pull out the iPad, start ordering the missing parts to rebuild it, taking weeks assembling, cleaning washed waxed detailing, a second fresh wax detail, listing on Facebook marketplace for the first stranger to arrive in a car, not even a truck, complaining wanting it delivered, tire kicking, offering less then half or a trade, Meeting halfway for delivery. Horror stories hasn't that happened! Theres a right way and a wrong way.   Sellers options 2: PICK UP YOUR PHONE DIAL 800-220-9683 NO WORK! QUICK! CONVENIENT! HASSLE FREE!   Finder fees payments if lead is purchased! Plus earn bucks for tips! Maybe a cousin still owns his retro cafe racer. Attend weekend neighborhood sales? Spot a nice survivor, get a bonus cut if its bought! Locate a dragster that doesnt run at flea markets, Aunt Sue has her dad's chopper, she might be curious to a estimate. Nobody wants silly pawn shop pricing, ask a expert. Don't ask your only uncles advice to appraise dads bobber, Im sure uncle Joe has no appraiser skills. Eye a rusted rat rod enduro at a storage facility or motorbike at a estate auction? Howabout a scrambler Pickin' at a tag bazaar? Are you a plumber, house keeper, tree cutter, home aide, electrician, You probably will pass a dozen or more a year. People with jobs that require going in and out of homes, traveling general contractor working hvac renovation job. If you do give him my number and say you referred the present owner to me. It doesn't matter if you are a scraper dumpster diving, a hunter outdoors and you stumble upon a pair of choppers in a field. Find a disassembled basketcase stored in grandmothers cellar, moms attic, outdoor in grandpas canvas carport. You can easily get a percentage for a referral reference. someone has been searching, forever on the hunt purchasing: Bobbers, military production or experimental track trackers, hill climbers, board tracker enduros, Trial Trials, mc road dirt climber scramblers minibike police cycles scooters mopeds non original, customized or specialized, superbike era street replicas, Briggs & Stratton cord starter powered minibikes, foreign scotty import Servicar, imported fastback Grand Prix racers, Also: Bell M/C Helmets, Dealer porcelain enamel Advertising Signs from closed dealerships, rare HTF cycle related collector memorabilia, AMA club Motocross championship trophies, used Bates men's / women's leather jacket, riding gear leathers woman's & mens in every size AHRMA clubs clothing: t-shirts jackets coat suit mx boots. engines, motors, king seat, Denco chambers exhaust pipes, carburetors etc Handle bars, masters master cylinders, roadster rims, side stand center away travel hand extension open whole pole hitch led fuel injected carburetor blowers, repainted color fiberglass petrol tank, wheels fairing saddle bags, roller lift, pneumatic jack table lifts, ATC Atv Utv, 4k clubman roadsters, Weather the frame is broken and needs the damaged motor fixed, Purs like a kitten and runs like a scalded dog chasing cats. It doesn't have to be a gem. Repaired gas tanks painted pink with purple polkadots insane colors candy lime red yellow silver midnight blue orange white brown grey burgundy copper aluminum aqua olive gray platinum rust maroon. Shaftdrive or chain shaft model, dead battery, bent handlebars, one sick looking puppy with flat tires or a trailer it everywhere show queen. Custom paint with skulls and spiderwebs or kittens and puppies. Guns and roses to a peace sign and flowers no customization is too extreme. Rotted and rusty to mirror polished chrome Some never change, chase grows Interpol jap, hagerty insured, Strap plowing trading cards come person checks dusty taken apart them miss voicemail mind adds story again I'm address bed salt smart diesel Trek sharp tin plow knife autographed helmet Powerplus CT-70 CT125 A65L A70L T65 R GT185 copy 8 125 0 150 0 175 2 200 2 250 0 350 380 380cc 9 6 850cc 8 550 3 c a t 1100 101 401 402, WL FL LG J JD JDH FLH KHK KR VL VLH VLD WLA WR U UL DVD ULH TV XA SUV T120r TR6R T110 TR65 TR7T TR65T T140LE Royal Wedding T140J T140AV TR7AV TR7VS T140ES Electro Electric starters W1 w2 w2ss T150V Three Quad T90 T100 T100A T100SS T100S T100R TR5T T140W TSS T140D T140E D1 D3 Major D5 D7 D10 RV90 RV125 A1 A2 A3 Motocompo Hi-rider Interstate, champion spark plugs carbureted, carb z50 ko kit tool sets toolkit kick, Crate Bored Engine, Spit fire Hornet A75 Dk2 440 Mag Magnum target enclosed lcd rim, compound Warrior Blackhawk landscaping jeep ford cj Sportster XR750 4x4 bbq Grill dewalt Makita Ryobi rigid thermostat nest ring doorbell bosch vacuum capability increased mobility. PrecisionCut TerrainCut blades provide efficient finish designed mowing larger estates Due beneficial mulching properties suited gardening applications four-wheel-drive provides manoeuvrability manufacturers United States Craftsman Co Troy-Bilt Decker, Ferris Greenworks Whether zero fashioned innovation, here finest lawnmowers available Walk-Behind Mowers Tow SC300HW 159cc High Self-Propelled EGO Select XP 18"" Volt LXT Lithium-Ion Cordless Batteries Charger Included) SCP100 173cc Push Earthwise 16"" 7-Blade Reel garden hose digger tandem Refrigerator fridge Kenmore oven dishwasher. Microwave humidifier tickets ticket printer A/C washer heater archery Meyer angle love weedeater lawnmower got salvage yards scrap dozens lawn mower pontoon Evinrude Odyssey ping TaylorMade Titleist Golf iron bow dining living bedroom set toys books weighted blanket hoyt Cam Dryer Power screen hoarder Rolling loader pan Box picker rent loveseat sectional. game Wen duromax tractor stihl chainsaw Nikon remodeling fishing camping hoist flatwork landscape plumbing electrical carpentry hour polk schwinn Oldsmobile Pontiac Firebird Camaro Corvette Convertible Corvair pet Chevy Dodge 4wd 2dr coupe Hudson heating cooling pool sauna welder cans neon beer cabinets shelving vise pellet stove carpet RV Z500 Z550 KZ500 KZ550 GPz550 Z750B KZ305 CSR TSX TS8-1 ohc 88 497cc 99 596cc GPz750 GPZ1100 gpz B1/B2 legal dirtbike xr yfr yrf collectable Impala Chevelle Hurst olds Cadillac mustang Camino dart viper duster Bel 750k tr6 cb72 pickers scope toro ladder scaffold painting John Deere Bicycles bicycle shadow muzzle Fat kat CB160 CB360 CB360T Roomba Baby Dream 305 CA CA90 CA95 CL350 CL77 Sand Cast Loan, vin, motorized vehicle cc Rapide, Rebel Metal, Kaw TR5 Stroker, Bonnie, Adams signed mobile Camron Cobra Mizuno Nike hire hiring generator 15,000 watts spa hot tub carhartt jacuzzi inverter generac Westinghouse automotive cruiser, Barrow, sled soccer baseball football nfl detector nascar, venue Disco Volante, Campera Supreme Sports Bushman Polaris starfire balls C65 S65 Motosport SL70 ST70 st-70 st90 st-90 CM90 C90 CT200 S90 Benly Benley C92 CB92 Elsinore CR250M Hellcat ATC90 CR93 ATC70 ATC110 ATC125 ATC200 NR500 NSR500 CR250R MT250 MT125 XL70 XL100 XL125 XL175 XL250 XL Hawk CA77 SL350 Electra Snow Terrier Cub snowmobile Carburettor Wheeler Thruxton Tina Speed Camper cadet ram Adventurer 745cc Mercury P11A N15 6T 441 3TA 5TA TR25W T100C TR6C TR7V DBD Ramp outboard ariens Avenger Centurion G4TR G4 Boss KV100 Green Streak F3 Bushwhacker A10 F4 Sidewinder Dyson F5 Bighorn boat F6 125cc F7 CR750 175cc F8 Bison Drone F9 ZXR ZX-7 1000R Ninja ZZR-1000 GPZ900R KH125 KH250 1015cc Sei four-cylinder sidecar Z750 KZ400 RS750 Z400 KZ440 Z440 KZ350 Z650 ST (Six cylinder) J1TR 85cc CL CX CB650 CB250 CB125 CB175 CL100 8002209683 CL305 CL360 CL450 450cc Z50A Monkey Z50M Z50R Z50J QA50 C71 C72 C76 C77 A4 A5 A6 A7 GS Air Head Heads R12 R17 R32 R35 R39 R68 R-series M85 M80 Superrocket C100 CA100 C50 C110 GS1000 GS750 GS850 C115 MR50 CT50 CT-series CT90 90 Copyright © 2013-2022 by www.wantedoldmotorcycles.com. All rights reserved.  1900 1901 1902 1903 1904  1905 1906 1907 1908 1909  1910 1911 1912 1913 1914  1915 1916 1917 1918 1919 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39  40 41 42 43 44 45 46 47 48 49  18002209683 1920s: 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930s: 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940s: 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949  Websites app accessed by Android Devices (Samsung Galaxy s20, s21, s10, s9, s8, Note) or Apple device: iMac, iPod 8 9 10 11 12 13, MacBook pro, Microsoft google Chromebook laptop / tablet / desktop computer.  www.wantedoldmotorcycles.com   ***If you have most symptoms of Corona Virus Covid-19, Wear a surgical mask (N95 respirator masks) disposable latex rubber nitrile gloves. Stay safe, remember if you feel a little unwell, wait.***  *** FINDERS FEE if leads materialize. Help a neighbor, relative, friend or others ***  Copyright © 2013-2022 by www.wantedoldmotorcycles.com. All rights reserved.",,,,,,,,,,,,,,,
40320,85.0,saltlakecity,https://saltlakecity.craigslist.org/bop/d/salt-lake-city-saris-bones-bike-rack/7470824165.html,2022-04-13 11:45,Saris Bones 2-Bike Rack, excellent,3,"Like New Saris Bones 2-Bike Rack for Sale. Saris Bones 2-bike rack was awarded 4.5 out of 5 stars from Bicycling Magazine. Retails for $199- barely used for for one year- 5-6 trips in all. Fits 90% of sedans, including Prius and most cars with spoilers. Saris.com offers videos and custom fitting instructions for each specific vehicle model and year to help you fit it correctly to your car. Product Features • Arc-based design fits over most spoilers and separates bikes on different levels. • Injection-molded arms and legs are the strongest on the market. • Meets European Union regulations for safety.",,,,, Saris, Bones 2-Bike Rack,,,,, other, NA,,,
40321,500.0,saltlakecity,https://saltlakecity.craigslist.org/snw/d/magna-2020-rzr-1000-part-out-portals/7469179328.html,2022-04-13 04:28,2020 rzr 1000 PART OUT (portals for sale),,14,"Devon ATV/ UTV AN PARTS i do this as a side business an i buy a lot of wrecked bikes an salvaged bikes an part them out i will NOT sell entire machines.  Parting out wrecked rzr, I have several other models, let me know what you need. All shipping on my dime FedEx Freight, I also have stereo roof tops an bumpers, rock sliders, seat belt harnesses etc..  Engines- $700 Trans-$700 Front diff-$500 Shocks all 4 fox- $575 Seats got 2 kinds- $275-300 Plastics- $600 Cages- $200-350 Wheels an tires stocks- $300 a set 28” Big horns in 14 wheels  Gen 3 GDP super atv 6” portals $800.00 never opened everything included  Lmk what else you need",,,,,,,,,,,,,,,
40322,62000.0,saltlakecity,https://saltlakecity.craigslist.org/rvs/d/salt-lake-city-2014-dodge-promaster/7470375191.html,2022-04-12 11:22,2014 Dodge Promaster Custom Van,,9,"I’m selling my truly unique 2014 Dodge Promaster 2500 136 WB.  I’ve lived in this beautiful van for more than 2 years. It’s open and roomy and easy to park and drive - both on and off-road. I’ve maintained it with care and have improved many little things to make it extremely comfortable and livable.  NEW ENGINE with only 28,000 miles on it and a 100k mile warranty. Total mileage: 165,500  The build itself was an architecture project. The designer had important systems contracted (the electrical components and electrical system is under warranty)  •	Fully insulated with Rigid foam insulation R18 on walls and ceiling R13 on floor •	Maxxfan 7500 (can be open in all weather) •	Mr. Heater Propane heater •	Huge 25-gallon freshwater tank with gravity and hose fill •	4.2 cubic ft Marine Vitrifrigo fridge 12/120v (currently 12v) •	Custom cool memory foam full sized bed •	Summit double burner propane stove top •	1.2 GPM 12V water pump •	Carbon monoxide/fire detector •	Marine GFCI outlets •	Dimmable kitchen lights (LED) •	Dimmable main lights (LED) •	CR Lawrence dual venting window •	Custom insulated/blackout divider curtains •	Laminate hardwood flooring •	Custom upholstered “garage” •	Welded bed frame •	Custom cabinets made with plywood (not MDF!) •	600 watts solar (Sun Module 300watt panels (2) •	500 ah battery bank •	60-amp SRNE Charge controller •	2000-watt CoTek inverter •	SRNE w/ Bluetooth monitor •	New all-terrain tires larger than stock (adds 1-2” of clearance) as of 2022 •	1.5” Front leveling kit to make the floor/sleeping area flat and better ground clearance •	Remote start •	Back up camera and sensors •	Bluetooth/steering controls •	Under bed “garage” storage has room for mountain bikes, climbing gear, skis, and whatever else you want to throw down there.  Must see in person, beautiful craftsmanship, attention to detail and overall interior aesthetic!",,,,,,,,,,,,,,,
