,Price,Location,URL,Date,Title,num image,text,bicycle frame material,bicycle type,brake type,condition,electric assist,frame size,handlebar type,make / manufacturer,model name / number,suspension,wheel size,serial number,part type,year manufactured,paint color
4560,1.0,santabarbara,https://santabarbara.craigslist.org/wan/d/goleta-wanted-unwanted-bikes/7471285861.html,2022-04-17 11:36,WANTED UNWANTED BIKES,0,"Hi. Do you have unwanted bikes in your garage or side yard, getting rained on, ready for the dump?? I buy bikes. Please send me photos & price, Or describe .  PS I repair bikes also. Not interested in: Huffy,Kent, Mogoose,pacific,or low end bikes Thank You PS. Price I pay is normally  around $5 to $50 Don",,,,,,,,,,,,,,,
4561,100.0,santabarbara,https://santabarbara.craigslist.org/bik/d/santa-barbara-singlespeed-bikes/7468219370.html,2022-04-16 16:51,2 singlespeed bikes,0,,,,,,,,,,,,,,,,
4562,900.0,santabarbara,https://santabarbara.craigslist.org/bik/d/santa-barbara-bmx-race-bikes-size-expert/7463336743.html,2022-04-15 09:41,BMX Race bikes: Size expert,8,Two Redman Race bikes in great condition. The green is a 20in and the orange is a 24in cruiser class. Also including a box of spare parts as seen in photos. $900 for the pair. These bikes are a perfect pair and allow you to race both 20in and cruiser class in the same day.   Cash and venmo only., aluminum, bmx, v-brakes, excellent, none, Expert, bmx, Redman, Tomahawk, none (rigid), 20 in,,,,
4563,10.0,santabarbara,https://santabarbara.craigslist.org/bab/d/buellton-scoot-bikes-and-pedal-bike/7469677384.html,2022-04-10 18:04,2 scoot bikes and a pedal bike,2,The scoot bikes ($10 each) are great for preparing kids with their balance and getting ready for riding without training wheels. They could use some TLC but otherwise work great. The small pedal bike ($15) has a 10 inch frame and 12 inch wheels￼,,,,,,,,,,,,,,,
4564,45.0,santabarbara,https://santabarbara.craigslist.org/bik/d/buellton-mountain-bikes/7469668922.html,2022-04-10 17:34,2 mountain bikes,2,I have two mountain bikes that both work but needs some TLC $45 each or $80 for both, aluminum, mountain, caliper,,, 18”,, mongoose,, frame and fork (full suspension), 24 in,,,,
4565,899.0,santabarbara,https://santabarbara.craigslist.org/bik/d/pismo-beach-electric-bikes/7465535329.html,2022-04-10 01:18,Electric Bikes,15,"Fat tire 20 “ and 26” bikes , mid drive, hub motor as well as electric trikes, beach cruisers and mountain e bikes as well. fully assembled with extended local labor warranty in all styles new and used $899 and up.  CALL or TEXT for further assistance in Pismo Beach   Brand new quality Electric Bikes in all styles and sizes available as shown in pictures from $899 and up", aluminum, cruiser, disc (mechanical), new, pedal assist, Assorted, cruiser, Motion Madness, Assorted, suspension fork (hardtail), 26 in, Assorted,,,
4566,350.0,santabarbara,https://santabarbara.craigslist.org/bik/d/santa-barbara-vintage-schwinn-bikes/7469197871.html,2022-04-09 13:14,Vintage Schwinn Bikes,0,Schwinn Fiesta with working headlight and Schwinn Breeze 3-speed.  Both for $350 or each for $200., steel, cruiser,, fair,, Typical,, Schwinn, Fiesta and Breeze, none (rigid), 20 in,,,,
4567,200.0,santabarbara,https://santabarbara.craigslist.org/bik/d/santa-barbara-public-bikes/7467820245.html,2022-04-09 12:26,Public Bikes,6,"2 bikes - can be sold individually or together ($200 each, $400 total)  1 bike women's frame (blue), 1 bike men's frame (black)  Public bike, had a Bionx E-bike feature but current batteries do not work, would need to buy refurbished battery or use as a normal bike. Comes with cat eye bike light.  ""A classically styled city bicycle with BionX electric drive system, you get torque sensing pedal assist, four levels of regeneration and variable speed trigger throttle  Mechanical disc brakes with tool-free adjustable pads, sturdy alloy chain guide reduces drops, steel frame and fork minimize vibration, reflective tires and integrated rear light  Rear-heavy design with some of the weight high up vs. low and centered, throttle won't activate until the bicycle is moving ~2 mph for safety, more exposed wires   Bicycle Details TOTAL WEIGHT: 55 lbs (24.94 kg)  BATTERY WEIGHT: 8 lbs (3.62 kg)  MOTOR WEIGHT: 9 lbs (4.08 kg)  FRAME MATERIAL: 4130 Aircraft Grade Chromoly Steel  FRAME SIZES: 18 in (45.72 cm)21 in (53.34 cm) GEOMETRY MEASUREMENTS: 32.5"" Stand Over Height  FRAME TYPES: High-Step  FRAME COLORS: Gloss Black  FRAME FORK DETAILS: Rigid 4130 Steel, 3/8"" Bolt-On Axle  FRAME REAR DETAILS: Hardened Steel 3/8"" Axle  ATTACHMENT POINTS: Rear Rack Bosses, Fender Bosses, Bottle Cage Bosses  GEARING DETAILS: 8 Speed 1x8 Shimano Claris, 11-32T SHIFTER DETAILS: Shimano Claris Triggers on Right  CRANKS: Driveline 170 mm, Aluminum Alloy, 39T  PEDALS: Wellgo Aluminum Alloy Platform with Rubber Tread  HEADSET: Threadless, Sealed Mechanism, 1-1/8""  STEM: Steel, 7° Rise, 100 mm Length  HANDLEBAR: Steel, Low-Rise, 23.5"" Length  BRAKE DETAILS: Avid BB7 MTN Mechanical Disc with 180 mm Rotors, Generic Levers with Motor Inhibitor on Left  GRIPS: Faux Leather Stitched, Black  SADDLE: Faux Leather, Memory Foam Layer, 198 mm Wide  SEAT POST: Aluminum Alloy, Single Piece Setback  SEAT POST LENGTH: 350 mm  SEAT POST DIAMETER: 27.2 mm  RIMS: Aluminum Double Wall, Stainless Eyelets, 36H  SPOKES: Stainless 12G Rear, 14G Front  TIRE BRAND: Kenda, 700 x 42c  WHEEL SIZES: 28 in (71.12cm) TIRE DETAILS: Reflective Sidewall Stripe  TUBE DETAILS: Presta  ACCESSORIES: Aluminum Alloy Fenders, Aluminum Alloy Rear Carry Rack (35 lb Max Load), Alloy Chain Cover, Alloy Chain Guide and Bash Guard, Pletscher Adjustable Length Kickstand  OTHER: Locking Removable Battery Pack, 1 lb 3.45 Amp Charger, Deep Sleep Battery Protection", aluminum, hybrid/comfort,,,," 18 in, 21 in",, Public, D8,, 28 in,,,,
4568,2295.0,santabarbara,https://santabarbara.craigslist.org/sgd/d/electric-the-mid-drive-ebike-that/7468183184.html,2022-04-07 09:20,ELECTRIC! The Mid-drive eBike that Shreds! CyberBike eMountain Bikes!,15,"Introducing the New 2022 Cyberbike Electric Mountain Bikes   Riders agree: Nothing comes close to Cyberbike's combination of performance, value, style, and quality.  See the Cyberbike Mullet Pro in action HERE! (and here, by popular demand, is last year's intro featuring Division 1 Collegiate Mountain Racer Corey Jackson on the first edition Cyberbike) Order online for fast delivery at www.Cyberbike.com All 2022 Cyberbikes are in stock and ready to shred, Order yours before they're sold out!  More mid-drive power than ever Awesome new color graphic display Easier to ride, lower standover frame, the lowest of any mid-drive eMTB New, structurally superior, mountain ready rear suspension linkage The best brakes in the business, even Quad-piston brakes on some models! Massive brake rotors up to 220mm 34mm gold tube forks on some models up to 140mm travel Wider range of models  A proper e-Mountain bike needs to be mid-drive and have full suspension, it's as simple as that. Until now, if you wanted an electric mountain bike to tackle rugged trails, your choices have been heavy, low-quality, fat tire, hub-motor beach bikes, or legacy brands charging $4000 or more for low-power eBikes without full suspension.   Whether your knees are tired or you just want to shred, there is simply no better choice for performance and value than Cyberbike. An American company with great customer support: Cyberbike, USA. The mountains are calling. Will you answer?  Cyberbike eBikes come all with the quietest and most powerful motor in its class, with a long range (65 miles and more) battery, and powerful e-spec hydraulic disk brakes that will be there when you need them. A lightweight package with 500 watts of power, top-of-the-line battery range, and quality components, all for the price of an inexpensive yet stellar bike! You'll get so much more than other eBikes with the CyberBike, it's the real e-MTB experience for the adventurous rider. Performance, specs, and quality components throughout, and the best warranty in the industry, from an American company with experienced American mechanics on call for all your tech support needs.  54 volt/500 watt climbing power with 13Amp hour Li-Ion battery and only 52 lbs means you'll get power and tons of battery range. Now with available throttle! Now from only $2495 Note: Owning and riding comes with risks. Wear proper protection, properly maintain and check your bike, and ride within your limits. By purchasing our products you agree to take full responsibility for the ownership of your bike, including the above and all other reasonable precautions for yourself or anyone you allow to ride your bike.",,,, new,,,, Cyberbike,,,,,,,
4569,50.0,santabarbara,https://santabarbara.craigslist.org/bop/d/goleta-rad-bikes-lcd-upgrade-display/7468045001.html,2022-04-07 00:31,Rad Bikes lcd Upgrade Display,2,This came off my Radrunner plus with only 50 miles on it. Great way to check speed and track mileage. Plug and play. Still have protective film on screen from factory. (805)451-six18six.,,,,,,,,,,,,,,,
4570,150.0,santabarbara,https://santabarbara.craigslist.org/bik/d/santa-barbara-new-beach-cruiser/7462790391.html,2022-04-05 07:47,New Beach Cruiser,6,"Recently purchased, and only ridden briefly a couple of times, nice high quality beach cruiser. Lightweight, smooth ride. Very comfortable, and fun to ride.", other/unknown, cruiser,,,, Average,, Pacific Custom Bikes, Beachride,, 26 in,,,,
4571,500.0,santabarbara,https://santabarbara.craigslist.org/bik/d/solvang-spin-bikes-keiser-m3/7466951126.html,2022-04-04 12:10,Spin Bikes Keiser M3,5,"10 used Keiser Spin Bikes.  These are great bikes, last a long time, no wearing parts.  What creates the resistance is a magnet, so the bike is very quiet.  This is my preferred version of all the spin bikes, this coming from a former D1 athlete. Include Shimano clipless pedal option  A couple will need some love, a couple of new seats, and just cleaned up a bit.  Right now they have just been sitting in a storage container and not getting used much if at all, so might as well sell them.    in great condition, these will go for 1000+. I could list them close to that, but I just want to sell and get the $$.  I know they need a little love, so I am pretty firm on 500/bike unless you buy them all, or 5, then maybe we talk about knocking it down a touch.  A box of some spare parts that include brand new pedals with Shimano clipless  All monitors work, and will just need new batteries.", other/unknown, road,,,, 50-65cm,, Keiser, M3,, 24 in,,,,
4572,120.0,santabarbara,https://santabarbara.craigslist.org/bik/d/santa-barbara-infinity-and-the-north/7466667313.html,2022-04-03 18:35,Infinity and the north face bikes,0,I'm selling my kid's bikes  Infinity -70 USD North face - 50, other/unknown, other, other/unknown, good, other, Medium, other/unknown, Infinity,, other/unknown, other/unknown,,,,
4573,40.0,santabarbara,https://santabarbara.craigslist.org/bik/d/santa-barbara-kids-bikes/7461525850.html,2022-03-22 10:18,Kids Bikes,0,"Two 18-inch kids’ bikes in excellent condition. Has hand brakes and kickstand. $40 each.  One 16-inch kid bike in good condition, slight rip in seat. $15.", other/unknown, kids,, excellent,, Unknown,,,, none (rigid), 18 in,,,,
4574,400.0,santabarbara,https://santabarbara.craigslist.org/bik/d/santa-barbara-state-street-ca-klunker/7461698537.html,2022-04-18 17:37,STATE Street CA KLUNKER Big Boy BMX Cruiser Schwinn GT SE,4,"Bike is new in Box, if you think a 26"" is too small but 29 too big then this 27.5"" is perfect. The bike has never been pulled out of the box, I paid $420+tx and shipping came out to $485 and change. $400 is a great price for the bike still in un-opened box.  Link below has all pictures and specifics.   *ignore* Redline SE Ripper Flyer KOS 29er GT vintage Landing Gear Schwinn mongoose brooks straightbar  https://www.statebicycle.com/collections/klunker-bikes/products/state-bicycle-klunker-black-metallic-27-5", other/unknown, bmx,,,, Medium / Large,,,,, 27.5 in,,,,
4575,325.0,santabarbara,https://santabarbara.craigslist.org/ele/d/thousand-oaks-50-inch-tv/7472887573.html,2022-04-18 13:31,50 inch tv,0,"Brand new 50 inch, still in box,trade for bike rack for electric bikes",,,,,,,,,,,,,,,
4576,150.0,santabarbara,https://santabarbara.craigslist.org/bik/d/santa-barbara-yakima-bike-roof-racks/7472870517.html,2022-04-18 12:58,Yakima 2-bike Roof Racks for Wagon or Van,0,"I have a set of used but good condition Yakima  roof racks with 2 rails for Mountain or Road Bikes ~ good used condition with locks and set of 2 keys. These were used on a mid-size Wagon with roof rails or will work on a Van as well. Message me with questions or to have a look... $150.  Call, (Text is Best)  show contact info  or e-mail reply", aluminum, mountain,,,, N/A,, Yakima, 2 bicycle roof racks,, 26 in,,,,
4577,2000.0,santabarbara,https://santabarbara.craigslist.org/bik/d/santa-barbara-tern-vektron-d8-folding/7472748327.html,2022-04-18 09:18,Tern Vektron D8 Folding E-Bike,8,"Perfect condition, purchased new from REI about a year ago for close to $3k. Injury prevents riding now. My loss is your gain!  This bike is really cool.  Powerful 250W motor, replaceable 400Wh battery, and it FOLDS UP.    One size fits most.  Manufacturer link here:  https://www.ternbicycles.com/us/bikes/471/vektron-d8  If you are seeing the ad, the bike is available.  Please email with any questions you have, or a time you'd like to see the bike.  ""Is is still available"" emails and lowball offers will NOT get a reply.    Thanks for looking!", aluminum, folding, disc (hydraulic), like new, pedal assist, One size fits all,, Tern, Vektron D8, none (rigid), 20 in,,,,
4578,8000.0,santabarbara,https://santabarbara.craigslist.org/cto/d/carpinteria-1995-chevy-g20/7472598436.html,2022-04-17 21:08,1995 chevy G20,12,Rare Black Gladiator edition 1995 Chevy G20 van  Really cool van for VAN LIFE! It has 150k miles  2 solar panels  1000w inverter  12v Coleman fridge  Bike Rack for 2 bikes It’s a converted van Bed with new mattress  Boxes for storage  Drawers  New brakes Nice wheels and new tires Transmission needs to be replaced ($2200 at Meineke Santa Barbara) It’s registered and the tags are till June  It passed on smog  Accept offers   Serious buyers only!,,,,,,,,,,,,,,,
4579,100.0,santabarbara,https://santabarbara.craigslist.org/bop/d/santa-barbara-thule-bike-rack-spare-me/7472510541.html,2022-04-17 14:43,THULE 2-BIKE RACK SPARE ME TIRE MOUNT REAR CAR CARRIER,9,"This Thule 2-bike SPARE ME spare-mounted rack is in great condition, holds 2 bikes securely on the outside of your rear-car-mounted spare tire.  It retails for $380 at REI. It is in great condition, no cracking to the rubber straps. The arms fold down when you’re not carrying bikes to save rear-clearance.  No key but one could be made. I never missed not having one. Venmo and cash (exact change) accepted!! I'm downtown, come take a look!",,,, excellent,,,, Thule, Spare Me,,,, other,,
4580,2200.0,santabarbara,https://santabarbara.craigslist.org/bop/d/carpinteria-rolf-prima-paired-spoke/7472243706.html,2022-04-16 16:56,Rolf prima paired spoke carbon wheels 60MM,0,"5 month old carbon wheels for disc brake road bikes. New rotor on front wheel. Great condition and super fast. Will throw in tires 28c vittoria corsa. Asking $2,200 paid $2,600 Contact Alex  show contact info  I also have rim brake ALTO carbon wheels 47mm great condition",,,, excellent,,,, ROLF, Prima,,,,,,
4581,750.0,santabarbara,https://santabarbara.craigslist.org/bik/d/santa-barbara-trek-fx-disc-size-xl/7472212448.html,2022-04-16 15:19,Trek FX 3 Disc - Size XL,11,Full Specs here: https://www.trekbikes.com/us/en_US/bikes/hybrid-bikes/fitness-bikes/fx/fx-3-disc/p/28474/  2020-2021 Model Trek FX 3 Disc Color Black Size XL  Aluminum frame. Carbon Fiber Fork. Hydraulic Disc brakes. Wide range of gears for both fast road speeds as well as climbing speeds.  Bought this hybrid/road bike during COVID when I was getting started with cycling. But have since upgraded to a higher end carbon fiber racing road bike so I rarely use this anymore.  Great for road cycling and also as a gravel bike on trails. Have had no issues with it and all parts are original. I used it mainly for occasional weekend rides and it has been very comfortable even for multiple hour rides. Happy to throw in the green bottle cages if you’d like them. New FX 3 Disc sells for $1K.  Ready to ride now. Just washed and lubed chains. No tune-up needed., aluminum, hybrid/comfort, disc (hydraulic), excellent,, XL,, Trek, FX 3 Disc,, 700C,,,,
4582,800.0,santabarbara,https://santabarbara.craigslist.org/bik/d/santa-barbara-2019-jamis-renegade-expat/7472194588.html,2022-04-16 14:30,2019 Jamis Renegade Expat,4,2019 Jamis Renegade Expat. Good condition ready to ride. 800 OBO.  https://99spokes.com/bikes/jamis/2019/renegade-expat, steel, gravel, disc (mechanical), excellent,, 61, drop, Jamis, Renegade Expat, none (rigid), 700C,,,,
