,Price,Location,URL,Date,Title,num image,text,condition,make / manufacturer,part type,bicycle frame material,bicycle type,frame size,wheel size,model name / number,size / dimensions,brake type,electric assist,handlebar type,suspension,serial number
42656,1.0,seattle,https://seattle.craigslist.org/see/mpo/d/seattle-wtb-rd-gt-h1-rz-rz350-parks-or/7469214597.html,2022-04-18 17:42,wtb  rd gt h1 rz rz350  parks or bikes,0,need  parts or whole bikes  two strokes 2  send pics price location please  gt  rz  rd  tz h1 h2  trade:   k,,,,,,,,,,,,,,
42657,100.0,seattle,https://seattle.craigslist.org/sno/bop/d/lynnwood-three-kids-bikes-bicycles-teens/7471042531.html,2022-04-18 17:11,Three Kids Bikes 3 Bicycles Teens,6,Great deal,,,,,,,,,,,,,,
42658,150.0,seattle,https://seattle.craigslist.org/kit/bop/d/suquamish-felt-bikes-bmx-frame/7469991839.html,2022-04-18 16:25,Felt Bikes BMX frame,3,"Felt Bikes BMX frame, unused. Blaine Fontana artist edition.", like new, Felt Bikes, frame only,,,,,,,,,,,
42659,100.0,seattle,https://seattle.craigslist.org/sno/bop/d/mountlake-terrace-wanted-to-buy-vintage/7472886121.html,2022-04-18 13:28,Wanted To Buy: Vintage 1970-80's BMX Bicycles Bikes Parts Gear,6,"Wanted to buy. Vintage 1970-80's BMX bicycles, parts, and gear. Condition doesn't matter, mint or rusty. Single items or full lot buys. Let me know what you have available and schedule a time for pickup. Cash in hand. Thanks!  Schwinn, Hutch, GT/Dyno, Mongoose, Redline, Haro, Skyway, ect. No cheap department store stuff please.  Danny @  show contact info",,,,,,,,,,,,,,
42660,2500.0,seattle,https://seattle.craigslist.org/tac/snw/d/tacoma-wtb-dirtbike-atv-project-bikes/7472866952.html,2022-04-18 12:51,WTB Dirtbike / ATV Project Bikes,0,Looking to buy 2 or 4 stroke dirtbikes or quad projects. Titles are preferred but not an absolute. Send me pictures and a price and we’ll make a deal. Will take on any project.   CR250r cr125r Honda Kawasaki Suzuki Yamaha yz125 yz250 yz450f YZ250F wr250f rmz450 rmz250 rm125 rm250 kx125 kx250 ktm husqvarna beta Yfz Trx 450r blown crashed wrecked,,,,,,,,,,,,,,
42661,1.0,seattle,https://seattle.craigslist.org/sno/bik/d/lynnwood-mens-bikes-50-up/7463236060.html,2022-04-18 12:15,7 Men's Bikes $50 up,2,"Vertical Shockedge Mountain bike, 24"" tires, 21 speed, dual split suspension, aqua blue, very good condition, asking $60.  Huffy Mountain Stalker, 15 speed, 26"" tires, 20"" frame, black, good condition, asking $50.  Giant, 18 speed, 26"" tires, 24"" frame, Mountain rack, black, good condition, no kickstand, asking $60.  GT Terra Backwoods, 21 speed, 26"" tires, 19"" frame, cherry red, very good condition, no kickstand, asking $60.  Mongoose MGX S20, 21 speed, 26"" tires, 20"" frame, orange with black fenders, good condition, asking $60.  Trek 830 mountain bike, 21 speed, 26"" tires, 20"" frame, black, very good condition, asking $125.  Kona Hahanna RST mountain bike, 21 speed, 26"" tires, 21"" frame, bright green, very good condition, asking $195.  All bikes tuned.  Ready to ride.  Must sell due to broken ankle.  Please reply to Craigslist. Individual pictures can be forwarded.  Please indicate bike pictures you want via Craigslist and provide email address.",, various,, aluminum, mountain, varies, 26 in,,,,,,,
42662,1.0,seattle,https://seattle.craigslist.org/sno/bik/d/lynnwood-ladies-bikes-50-to-75/7463218997.html,2022-04-18 12:15,6 Ladies bikes-$50 to $75,0,"Roadmaster Mountain Sport, 18 speed, 24"" tires, 17"" frame, purple & silver, very good condition, asking $50.  Magna Double Divide, 15 speed, 24"" tires, 18"" frame, green & blue, good condition, asking $60.  Magna Dual Suspension, 21 speed, 26"" tires, 17"" frame, blue metallic, good condition, asking $60.  Avalon, 7 speed, 26"" tires, 18"" frame, purple, like new, asking $75.  Schwinn Jaguar, 7 speed, 26"" tires, 17"" frame, cruiser handlebars, blue & gray, like new, asking $75.  Schwinn Breeze, 3 speed, 26"" tires, 22"" frame, 1960's era, chrome fenders, wire basket, blue, good condition, $75  All bikes tuned.  Ready to ride.  Must sell due to broken ankle. Please Reply to Craigslist.  Individual bike photos are available by request.  Please reply to Craigslist with the bike description and I will forward to your personal email address.", good, various,, other/unknown, other, varies, 26 in,,,,,,,
42663,3750.0,seattle,https://seattle.craigslist.org/skc/mpo/d/black-diamond-ktm-dirt-bikes/7466823312.html,2022-04-18 11:34,KTM Dirt Bikes,9,2017 KTM 85 SX less than 5 hrs  $5000  2012 KTM 65 SX low hrs  $3500 all these bikes will have full service and carb clean titles in hand  NO Trades,, Ktm,,,,,, SX,,,,,,
42664,80.0,seattle,https://seattle.craigslist.org/see/bik/d/seattle-bikes/7472801919.html,2022-04-18 10:52,2 bikes,4,"2 bikes 80.00 for both  color red and blue 27"" mens le tour II women is a suburban both are schwinn",,,, other/unknown, other," 27""", 27 in,,,,,,,
42665,25.0,seattle,https://seattle.craigslist.org/kit/bop/d/southworth-bikes-tailgate-rack/7472802733.html,2022-04-18 10:53,3 bikes tailgate rack,6,"I have a bike rack we used a couple times when my kids were young and we had a suv. It's been sitting in the garage fot few years. It's has some light scratches from moving from spot to spot in the garage but in good condition otherwise. It looks like it would work well for a car, suv, truck, back of a camper, maybe even as a way to store the bikes in the garage.",,," racks, fenders, bags",,,,,,,,,,,
