,Price,Location,URL,Date,Title,num image,bicycle frame material,bicycle type,frame size,make / manufacturer,model name / number,wheel size,text,brake type,condition,handlebar type,suspension,electric assist,serial number,size / dimensions,part type,year manufactured,paint color
4455,135.0,slo,https://slo.craigslist.org/bik/d/atascadero-mens-womans-giant-bikes/7472942439.html,2022-04-18 15:28,Mens/woman’s giant bikes,0,,,,,,,,,,,,,,,,,
4456,120.0,slo,https://slo.craigslist.org/bik/d/templeton-black-and-yellow-bikes/7471845031.html,2022-04-17 22:25,Black and Yellow Bikes,0,,,,,,,,,,,,,,,,,
4457,90.0,slo,https://slo.craigslist.org/bik/d/morro-bay-vintage-huffy-bikes/7465827949.html,2022-04-17 12:14,VINTAGE HUFFY BIKES,6, steel, mountain, 22 & 19, HUFFY, TITANIUM, 26 in,"HIS & HERS VINTAGE HUFFY TITANIUM 10 SPEED BIKES  MENS NEEDS NEW SHIFTING CABLE OTHER THAN THAT VERY GOOD SHAPE  26"" TIRES RAYALGEL SADDLES VERY GOOD TIRES  SMALL AMOUNT OF SURFACE RUST BUT WILL CLEAN UP WITH STEEL WOOL  MENS  22"" FRAME ------ WOMENS  19"" FRAME  show contact info     SELLING AS A PAIR $150  FOR BOTH",,,,,,,,,,
4458,100.0,slo,https://slo.craigslist.org/bik/d/los-osos-fixed-gear-bikes-like-new/7472139331.html,2022-04-16 12:23,Fixed Gear Bikes -like new,2, titanium, road," 61 cm, 21 3/4"""," Specialized, KHS",, 27.5 in,"1.   Specialized Langster fixed gear reversible hub for free wheeling, frame size 61cm, longhorn handle bars with brakes, color  red   Condition is like new  Langster$100 obo  2.  KHS Urban Uno, fixed gear reversible hub for free wheeling, frame size 21 3/4 “, longhorn handlebars with brakes, color grey and silver Condition is like new  KHS  $100 obo", caliper, like new, bullhorn, frame and fork (full suspension),,,,,,
4459,1.0,slo,https://slo.craigslist.org/spo/d/thousand-oaks-spin-bikes-fleets-of-10/7459518877.html,2022-04-15 14:50,SPIN BIKES Fleets of 10+ SCHWINN * PRECOR * Cardio Indoor Cycling GYM,6,,,,,,,"THIS LISTING IS FOR THE STUDIO / GYM OWNER LOOKING TO ACQUIRE SPIN BIKES FOR THEIR FACILITY.  This is for a minimum of 5 spin bikes. Please do not inquire about just 1 bike.  Current inventory: - 35 Schwinn AC Performance w/ Carbon Blue (w/ Echelon2 console + power upgrade; triple link pedals) - $795/BIKE - 90 Precor Rally (chain drive) - $895/BIKE - 17 Star Trac Blade ION - $625  ALL bikes are in excellent condition. I will give more details for each type of bike when we correspond.  And, be realistic about the pricing requests. Don't expect these bikes to be $200/ea. These are all high-grade commercial spin bikes. The Schwinn's brand new (w/ all the upgrades) are close to $3000. The Star Trac Blade IONs were about $2100; and, the Precor's were about $1900 brand new. AGAIN - be realistic on what to expect the numbers to be...",, excellent,,,,,,,,
4460,180.0,slo,https://slo.craigslist.org/bik/d/san-luis-obispo-road-commuter-bikes/7465153698.html,2022-04-15 12:18,Road/Commuter Bikes,13, steel, road, 15” - 63cm,,, 700C,"Road and around-town bikes built up to spec: please provide your height, typical cycling distances, and budget to help me determine what I might build up for you to test ride.  Over thirty years’ experience as cyclist and mechanic.",, excellent,,,,,,,,
4461,1.0,slo,https://slo.craigslist.org/mcy/d/paso-robles-2003-yz450f-bikes/7471061092.html,2022-04-13 21:30,2003 YZ450F ***2 bikes***,13,,,,,,,Selling 2 bikes as a combo.  Bike # 1 Turn key ready ride.  FMF Powerbomb FMF Q4 silencer R&D accelerator pump New Piston & topend rebuild Hinson clutch  Many other extras Current registration and pink in hand  Bike # 2 Rolling chassis Complete engine disassembled  2 sets plastics Current registration and pink in hand  Both bikes are 2003 YZ450F. All parts are interchangeable.  Make a reasonable offer Call for more info (Eight0five)97five-88six8,,,,,,,,,,
4462,60.0,slo,https://slo.craigslist.org/spo/d/san-luis-obispo-car-trunk-rack-for-bikes/7471052570.html,2022-04-13 20:37,Car Trunk Rack for 3 Bikes,0,,,, Hollywood Racks, Baja Trunk Bike rack,,"Hollywood Baja Trunk Rack, fits 3 bikes.  This has been a great bike rack but we recently got a roof rack so we just don't use it anymore.   See https://hollywoodracks.com/collections/trunk-bike-racks/products/baja-bike-rack?variant=44239528902 for details",, good,,,,,,,,
4463,1.0,slo,https://slo.craigslist.org/wan/d/san-luis-obispo-cash-for-old-road-bikes/7463091515.html,2022-04-12 17:30,Cash for Old Road Bikes,0,,,,,,,"Looking for complete MENs racing Road Bikes ,No parts or frames. Send photos of what u have",,,,,,,,,,
4464,150.0,slo,https://slo.craigslist.org/bik/d/arroyo-grande-bikes/7470560525.html,2022-04-12 16:59,Bikes,2, steel, cruiser, 58 cm,,, 26 in,Red and silver Beach cruiser 100$ Xl nishiki prestige 150   NO CODES !,,,,,,,,,,
