,Price,Location,URL,Date,Title,num image,condition,text,make / manufacturer,model name / number,part type,bicycle frame material,bicycle type,frame size,wheel size,brake type,electric assist,handlebar type,suspension,size / dimensions,paint color,year manufactured,serial number
1886,1150.0,tucson,https://tucson.craigslist.org/bik/d/tucson-rad-power-bikes-radrunner/7472941637.html,2022-04-18 15:26,rad power bikes radrunner 1 electric bike,0,,,,,,,,,,,,,,,,,
1887,25.0,tucson,https://tucson.craigslist.org/spo/d/tucson-cross-bar-for-bikes-thule-holds/7472173045.html,2022-04-18 14:56,CROSS BAR FOR BIKES  THULE  HOLDS 2,3, good,ADJUSTABLE WIDTH / NO KEY  /STILL CAN WORK JUST FINE WITH OUT GOOD WORKING ORDER THKS JEFF  show contact info  FIRM ON PRICE,,,,,,,,,,,,,,,
1888,250.0,tucson,https://tucson.craigslist.org/bop/d/tucson-rebuilt-bikes-bafang-bbs02-used/7469136103.html,2022-04-18 13:21,Rebuilt e bikes bafang bbs02 used electric bikes motor,2, excellent,Just spent 200.00 replacing primary gear. clutch. Composite gear. Ready for many more years. Bbs02 750w bafang. If you want complete with display. Gear and wiring add 50.00. That will make it a complete kit. Comes as bare bones just motor for 250.00, BAFANG, Bbs02, other,,,,,,,,,,,,
1889,1800.0,tucson,https://tucson.craigslist.org/bik/d/tucson-26-gimour-mountain-bike-custom/7472872893.html,2022-04-18 13:03,"26"" Gimour mountain bike. Custom",12,,"Local Tucson fabricator Gilmour bikes 26"" steel mountain bike w/  DSD Carbon wheels. Quality bike built with Tange Prestige tubing. Medium frame Fox Fork 120mm Avid Elixir brakes GX shifter(11spd) X0 R derailluer(11spd) 11-42 XD cassette(11spd) Wolf Tooth 34 oval chainring 175mm X0 cranks Chris King BB and Headset Specialized seatpost New 2.4 Ardent rear tire 2.5 Minion front tire Wide Carbon rims  Very high quality bike. Everything works great. Very light. Lifetime bike to be proud of. Very unique. 5'6""- 5'10"" rider height. USA made frame!!! Call/text anytime. 520-three13-7265 Thanks for looking!  No spam!", Gilmour bikes,,, steel, mountain, Medium, 26 in,,,,,,,,
1890,2800.0,tucson,https://tucson.craigslist.org/bik/d/tucson-crust-lightning-bolt-54cm-custom/7472859728.html,2022-04-18 12:36,CRUST Lightning bolt. 54cm S. Custom,12,,"Custom Crust Lightning ⚡! Size S 54cm. 5'7""-5'11"" Very custom steel Crust all around. Gravel riding, city or Touring.  Includes Ritchey breakaway for traveling!!  Parts list -  Shimano Di2 1x11. 11-32 Ultegra cassette  Ultegra RX derailluer Dura Ace shifters XT v brakes SRAM carbon cranks 172.5 w/ Absolute BLK chainring (44 Oval) All around Chris King. BB, hubs, headset. Crust stem w/ Cinelli bars Paul long and tall seatpost. 27.2 Stan's Alpha 700C rims, Sapim spokes New Teravail 700x38 Washburn w/  Orange Seal. Custom Rippie products frame bag made for this frame(Local Tucson maker)  Now, very unique is this frame had the rear drop outs replaced to accept gears. Crust made this break-away lightning bolt only single speed. Added Mounts for v brakes. One of a kind Crust.  Everything is top notch.   Downside - No Di2 charger. Areas that have frame work done have not been repainted.  See photos!  520-threeonethree-7265 Reach out anytime if you are interested. Call/text Thanks for looking! No spam!", Crust bikes,,, steel, gravel," 54cm, medium", 700C,,,,,,,,
1891,350.0,tucson,https://tucson.craigslist.org/for/d/tucson-150-miles-per-gallon-motorized/7463364289.html,2022-04-18 12:07,150 miles per gallon!! Motorized bikes from $350,7, new,Motorized bikes and kits. Ready to ride bikes starting at $360 and DIY kits from $160. Service and custom builds available. Please text or call I don't often see the emails.,,,,,,,,,,,,,,,
1892,50.0,tucson,https://tucson.craigslist.org/bop/d/cortaro-bike-rack/7463301249.html,2022-04-18 11:08,Bike Rack 3,4, excellent,Saris hitch style bike rack for 1 bike. Can add hardware for 2 bikes.   Kevin  show contact info, Saris, 1 1/2” hitch style, other,,,,,,,,,,,,
1893,20.0,tucson,https://tucson.craigslist.org/tag/d/tucson-new-in-box-boys-girls-balance/7466696485.html,2022-04-18 09:29,NEW IN BOX BOYS GIRLS BALANCE BIKES!,0, new,NEW IN BOX BOYS GIRLS BALANCE BIKES!,,,,,,,,,,,,,,,
1894,4200.0,tucson,https://tucson.craigslist.org/bik/d/tucson-2021-canyon-neuron-cf/7472708563.html,2022-04-18 08:07,2021 Canyon Neuron 5 CF,13, like new,"2021 Canyon Bikes Neuron CF 5.0. Full shimano XT 12 speed group. XT brakes.Fox 34 FIT front shock with lockout, compression and rebound adjustments. Fox Float EVOL rear shock. DT swiss 240 hubs with carbon rims. Fox Transfer dropper post with Wolf Tooth remote lever. No pedals. Bike is in perfect condition with low miles. Selling to fund other projects. Will ship buyer pays shipping.",,,, carbon fiber, mountain,,, disc (hydraulic),,,,,,,
1895,30.0,tucson,https://tucson.craigslist.org/tag/d/tucson-new-kids-balance-bikes-boys-and/7471569243.html,2022-04-17 09:34,new kids balance bikes boys and girls,4, new,"new kids balance bikes boys and girls new in box.  Call or text  show contact info   Key features  · Adjustable 12*2.4 inch Balance Bike for ages 2 to 6 years old; · Frame and Fork: High Carbon Steel /- Argon Arc Welding - High tech of welding - longer working life and Double Better Safety for kids than other cheap welding · Rim:Alum; Braking System: Rear Axes Braking; · Headset:better headset which fastens the fork well without loose and don't like cheap one else which slide when kids ride;this headset makes the balance bike long working life than cheap one else,also better safety for kids too. · Seatpost: electroplated; Quick Release:Alum Alloy; Hub:electroplated; spoke:16pcs with Thicker spoke #10 than cheap one ; Wheel and Tire: 12*2.4 inch  Product Description  Adjustable Balance Bike: Frame and Fork: High Carbon Steel /- Argon Arc Welding - High tech of welding - longer working life and Double Better Safety for kids than other cheap welding Rim:Alum Headset:better headset which fastens the fork well without loose and don't like cheap one else which slide when kids ride;this headset makes the balance bike long working life than cheap one else,also better safety for kids too. Handlebar: Swallows Type/pink/electroplated Stem: electroplated; Grip:colorful and environmental Braking System: Rear Axes Braking Seatpost: electroplated Quick Release:Alum Alloy Hub:electroplated ,16 spokes, spoke:Thicker spoke #10 than cheap one Wheel and Tire: 12*2.4 inch",,,,,,,,,,,,,,,
