,Price,Location,URL,Date,Title,num image,bicycle frame material,bicycle type,brake type,condition,electric assist,frame size,handlebar type,make / manufacturer,model name / number,suspension,wheel size,text,serial number,part type,size / dimensions
5028,50.0,ventura,https://ventura.craigslist.org/bik/d/simi-valley-bikes/7469478886.html,2022-04-18 10:14,bikes,0,,,,,,,,,,,,,,,
5029,350.0,ventura,https://ventura.craigslist.org/bik/d/ventura-gt-full-suspension-mtb/7466338346.html,2022-04-17 19:29,GT Full suspension MTB,5, aluminum, mountain, disc (mechanical), good, none, Large, downhill, GT, GT socal bikes, frame and fork (full suspension), 26 in,I'm selling my GT Full suspension mountain bike because I don't ride it enough   Large frame and wheels,,,
5030,100.0,ventura,https://ventura.craigslist.org/bik/d/ventura-bikes/7465385522.html,2022-04-17 19:28,Bikes,15, aluminum, cruiser, other/unknown, excellent, none, Medium to large, cruiser, Bikes, Cruiser, suspension fork (hardtail), 26 in,Big wheel beach cruiser $200    G7 Full suspension  Needs seat and pedals   $50 Bontrager Rims $40  Full suspension Schwinn $250  Big wheel Northrock $250 SOLD   Purple huffy beach cruiser $75 :SOLD  Stow away bicycle $100  Full suspension diamondback ascent $200 SOLD  Blue hybrid cruiser $80  Stationary bike $60  Got a few others  Come and check them out  Make an offer  Trades for surfboards okay,,,
5031,40.0,ventura,https://ventura.craigslist.org/bop/d/camarillo-bike-rack-bikes/7465304833.html,2022-04-17 19:03,Bike rack 3 bikes,2,,,,,,,,,,,,Good shape,,,
5032,499.0,ventura,https://ventura.craigslist.org/bik/d/ventura-gary-fisher-mountain-bikes/7471825500.html,2022-04-17 17:33,2 GARY FISHER MOUNTAIN BIKES,6, titanium, mountain, caliper, good,, 19.5 cm, other/unknown,,, none (rigid), 26 in,1 Gary Fisher Kai Tai and 1 Gary Fisher Aquila in pretty good condition...............new tires/tubes or best offer,,,
5033,100.0,ventura,https://ventura.craigslist.org/bik/d/oxnard-bikes-bicycles/7472488713.html,2022-04-17 13:34,5 bikes / bicycles,0,,,,,,,,,,,,,,,
5034,40.0,ventura,https://ventura.craigslist.org/spo/d/camarillo-allen-bikes-trunk-rack/7464078810.html,2022-04-16 19:14,Allen 2 Bikes Trunk Rack,4,,,, excellent,,,,,,,,Gently used  2 Bikes Trunk Bike Rack Bikerack  Asking $40  Local pickup in Camarillo,,,
5035,75.0,ventura,https://ventura.craigslist.org/for/d/simi-valley-bicycle-yakima-carrier/7466936910.html,2022-04-16 08:56,Bicycle Yakima carrier hitch mount for two bikes,6,,,, excellent,,,, Yakima,,,,"Very sturdy for 2"" receiver.  Folds down.  Would be sufficient for an e-bike.  In excellent condition.",,,
5036,1200.0,ventura,https://ventura.craigslist.org/bik/d/thousand-oaks-se-bikes-om-duro-xl/7469169432.html,2022-04-15 18:10,SE Bikes OM DURO XL,20, other/unknown, bmx, disc (hydraulic), like new,, Xl,, SE Bikes, OM Duro,, 27.5 in,Bike is like brand new with no damage at all! It’s only been ridden a few times since I put it together probably less then 1 mile. I added the ODI Mushroom Grips and Blue SE Bear Trap pedals along with a set of blue anodized caps. I still have the original grips and pedals along with the box the bike came in. Only selling as I need to get hip and knee surgery and don’t plan on riding it anymore. Please include a contact number if interested and I will call you. Save some money and get some free parts. The ad will be removed when sold.     PK ripper fast blocks vans redline gt throne goon old school bmx 27.5 29 retro big flyer,,,
5037,100.0,ventura,https://ventura.craigslist.org/bik/d/oxnard-kids-bikes/7471804371.html,2022-04-15 15:04,Kids bikes,3, steel, kids,,,, Small,,, Huffy,, 12 in,3 kids bikes 1spiderman 1 seastar 1 specialized,,,
5038,45.0,ventura,https://ventura.craigslist.org/bik/d/thousand-oaks-kids-bikes-and-scooter/7471227502.html,2022-04-14 09:54,Kids Bikes and Scooter,7, other/unknown, kids,,,, unknown,,,,, 14 in,"$10 - Radio Flyer My 1st Scooter. The handle bars turn, this is not a lean-to-turn scooter.  $20 - 12 in Strider Sport - Blue  Great for little ones just starting out.   $20 - 14 in Royal Baby Freestyle bike - Green Has foot brake and front hand break, kickstand, water bottle holder (no bottle).   Amazon link for reference to sizes and weight of Royal Baby bike.  https://www.amazon.com/Royalbaby-Freestyle-Kids-Bike-wheels/dp/B005IUZ11U/ref=sr_1_1_sspa?crid=3HGF90LUWWY5O&keywords=royal%2Bbaby%2Bfreestyle&qid=1649953516&sprefix=royal%2Bbaby%2Bfreestyle%2Caps%2C137&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzRDA1WVI2QURQSlRKJmVuY3J5cHRlZElkPUEwNDgxMTc4M0tPMEg5MjVYQ04zMiZlbmNyeXB0ZWRBZElkPUEwNTgyNjg1SUpENUQ3OU4xQkRQJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ&th=1  Cash only, meet in public location. No holds. X posted.",,,
5039,1.0,ventura,https://ventura.craigslist.org/wan/d/buy-vintage-cycling-road-bikes-and-parts/7471019899.html,2022-04-13 18:13,I BUY VINTAGE CYCLING ROAD BIKES AND PARTS,0,,,,,,,,,,,,WANTED VINTAGE BICYCLE CYCLING  ROAD BIKES AND PARTS CANNOT QUOTE PRICE WITHOUT SEEING THE IT. CALLS ONLY.,,,
5040,1800.0,ventura,https://ventura.craigslist.org/mpo/d/salinas-ossa-stilettos-parts-project/7464673952.html,2022-04-11 21:09,(2) OSSA Stilettos parts/project bikes,0,,,,,,,,,,,,,,,
5041,75.0,ventura,https://ventura.craigslist.org/bik/d/ventura-bikes-and-bike-rack-tesla/7469697862.html,2022-04-10 19:23,Bikes and bike rack Tesla,10, aluminum, hybrid/comfort,,,, 21,,,,, 700C,75 each  Infinity is good no problems Full suspension needs work  Bike rack no keys  Please text  show contact info,,,
5042,100.0,ventura,https://ventura.craigslist.org/bik/d/ventura-bikes-mountain-bikes-hybrids/7469693495.html,2022-04-10 19:04,"Bikes , mountain bikes, hybrids, cruisers",11, aluminum, mountain,,,, 21,,,,, 27 in,Grey -130 Green-150 Blue/black -175 (project ) Silver - 55 basically frame Purple-30 Please contact me with any questions preferably text,,,
5043,70.0,ventura,https://ventura.craigslist.org/spo/d/simi-valley-hollywood-bike-carrier-for/7457921011.html,2022-04-10 16:38,Hollywood bike carrier for 3 bikes for car trunk.,5,,,, like new,,,, Hollywood,,,,Barely used and in excellent condition.  Rubber straps to hold bike on and the buckles can be twisted to accommodate bike frame. Rack folds down when not in use.,,,
5044,60.0,ventura,https://ventura.craigslist.org/bik/d/camarillo-girls-bikes/7469490480.html,2022-04-10 10:16,Girls bikes,3, steel, kids,,,, 17.5,,,,, 16 in,I have two used 16 in Schwinn girls bikes for sale. Hardly ever ridden. These were my granddaughters. Good condition. Call me if interested. Both for $60.00 or $40.00 for one. Call me if interested.  show contact info . John,,,
5045,300.0,ventura,https://ventura.craigslist.org/bik/d/oak-view-bikes-kids-adult-different/7469348499.html,2022-04-09 22:34,6 bikes 2 kids 4 adult different brands,0,,,,,,,,,,,,,,,
5046,2295.0,ventura,https://ventura.craigslist.org/sgd/d/electric-the-mid-drive-ebike-that/7468164218.html,2022-04-07 08:48,ELECTRIC! The Mid-drive eBike that Shreds! CyberBike eMountain Bikes!,15,,,, new,,,, Cyberbike,,,,"Introducing the New 2022 Cyberbike Electric Mountain Bikes   Riders agree: Nothing comes close to Cyberbike's combination of performance, value, style, and quality.  See the Cyberbike Mullet Pro in action HERE! (and here, by popular demand, is last year's intro featuring Division 1 Collegiate Mountain Racer Corey Jackson on the first edition Cyberbike) Order online for fast delivery at www.Cyberbike.com All 2022 Cyberbikes are in stock and ready to shred, Order yours before they're sold out!  More mid-drive power than ever Awesome new color graphic display Easier to ride, lower standover frame, the lowest of any mid-drive eMTB New, structurally superior, mountain ready rear suspension linkage The best brakes in the business, even Quad-piston brakes on some models! Massive brake rotors up to 220mm 34mm gold tube forks on some models up to 140mm travel Wider range of models  A proper e-Mountain bike needs to be mid-drive and have full suspension, it's as simple as that. Until now, if you wanted an electric mountain bike to tackle rugged trails, your choices have been heavy, low-quality, fat tire, hub-motor beach bikes, or legacy brands charging $4000 or more for low-power eBikes without full suspension.   Whether your knees are tired or you just want to shred, there is simply no better choice for performance and value than Cyberbike. An American company with great customer support: Cyberbike, USA. The mountains are calling. Will you answer?  Cyberbike eBikes come all with the quietest and most powerful motor in its class, with a long range (65 miles and more) battery, and powerful e-spec hydraulic disk brakes that will be there when you need them. A lightweight package with 500 watts of power, top-of-the-line battery range, and quality components, all for the price of an inexpensive yet stellar bike! You'll get so much more than other eBikes with the CyberBike, it's the real e-MTB experience for the adventurous rider. Performance, specs, and quality components throughout, and the best warranty in the industry, from an American company with experienced American mechanics on call for all your tech support needs.  54 volt/500 watt climbing power with 13Amp hour Li-Ion battery and only 52 lbs means you'll get power and tons of battery range. Now with available throttle! Now from only $2495 Note: Owning and riding comes with risks. Wear proper protection, properly maintain and check your bike, and ride within your limits. By purchasing our products you agree to take full responsibility for the ownership of your bike, including the above and all other reasonable precautions for yourself or anyone you allow to ride your bike.",,,
5047,900.0,ventura,https://ventura.craigslist.org/bik/d/ventura-fat-tire-electric-bikes/7455373639.html,2022-04-06 12:40,Fat Tire Electric Bikes,0, aluminum, other, disc (hydraulic), new,,,,,,,,"Have all models in stock ready to pick up! Starting at $900 and up!  ✓ Delivery Available, • If you want then you can hold it - I accept Cash App or Venmo For The Hold It.....   • For sell by Owner_________ Very nice bicycle and Full fresh, • Advance Deposit: $300 hold it for you (Advance Deposit Returnable IF YOU DISLIKE) • For the hold the bicycle send me mail ""I want hold this bicycle for me'  # For more information and a faster response, please provide your direct phone number.",,,
5048,70.0,ventura,https://ventura.craigslist.org/bop/d/camarillo-thule-bike-rack-for-bikes/7463349189.html,2022-04-06 08:06,Thule bike rack for 2 bikes,0,,,,,,,,,,,,,,,
5049,250.0,ventura,https://ventura.craigslist.org/bik/d/camarillo-beach-cruiser-diamondback-mtn/7455161304.html,2022-04-05 18:18,"1 beach cruiser,  2 diamondback mtn. bikes, highend kids priority belt",3, aluminum, mountain,,,,,,,,,,call for info and pics.  show contact info,,,
5050,50.0,ventura,https://ventura.craigslist.org/bik/d/simi-valley-18sp-blue-women-10sp-red/7456720395.html,2022-04-04 21:06,18sp blue women/10sp red mens 26inch bikes,4, steel, road, cantilever, good, none, 26, riser, murry/magna,, none (rigid), 26 in,$45 each,,,
5051,30.0,ventura,https://ventura.craigslist.org/bop/d/camarillo-bell-bike-trunk-rack/7464980690.html,2022-04-03 17:05,Bell Bike Trunk Rack Cantilever 200 2 Bikes,2,,,, excellent,,,, Bell,,,,I have for sale a used trunk bike rack that holds two bikes. It worked flawlessly I just no longer have use for it since buying a different vehicle. All the information can be found here:  (https://offerup.com/redirect/?o=aHR0cHM6Ly93d3cudGFyZ2V0LmNvbS9wL2JlbGwtY2FudGlsZXZlci0yMDAtMi1iaWtlLXRydW5rLXJhY2stYmxhY2svLS9BLQ==(contact info removed)9)  Thank you!,,,
5052,100.0,ventura,https://ventura.craigslist.org/bik/d/camarillo-bikes-giant-cypress-24-and-26/7464755585.html,2022-04-03 14:14,"Bikes (Giant Cypress)  24"" and 26""",2, aluminum, cruiser,, good, none," 24"" and 26""", cruiser, Giant, Cypress, suspension fork (hardtail), 24 in,"Giant bicycles vintage Cypress year 2000.  Men's 26"" red and Women's 24""green Good condition. Recently tuned up.  $100.00 ea. o.b.o.", C53FR342/ C45EL435,,
5053,1300.0,ventura,https://ventura.craigslist.org/mcy/d/camarillo-2020-apollo-rfz-bikes/7466243961.html,2022-04-02 15:17,2020 Apollo RFZ bikes,8,,,,,,,,,,,,I’m selling 2 Apollo rfz dirt bikes. One is a 125 automatic no clutch. The other is a 110 automatic no clutch. Both bikes were ridden one time. They are like brand new still in break in period. Both are currently registered and have current red stickers. Pink slips in hand. Asking $1300 obo for each bike. Please text Jen at 895-791-828 seven,,,
5054,75.0,ventura,https://ventura.craigslist.org/bik/d/port-hueneme-vintage-bikes/7465415067.html,2022-03-31 15:32,Vintage bikes,3, steel, cruiser,, good,, 26in,,,,, 26 in,Various bikes for sale. Yellow Schwinn womens 5 speed 150.00. Purple Schwinn cruiser 100.00. Red univega 100.00. Blue Columbia 100.00. Blue Schwinn 12 speed 80.00. Prices are negotiable,,,
5055,40.0,ventura,https://ventura.craigslist.org/bab/d/camarillo-balance-bikes/7464760173.html,2022-03-30 07:14,Balance bikes,2,,,, good,,,, Banana, GT,,,Banana GT all terrain balance bikes with 12” wheels good for 2-4 year olds. Tires have inner tubes and good tread for going in dirt. We had original strider bikes also and my kids liked this brand way better. $40 each or $70 for both,,,
5056,1.0,ventura,https://ventura.craigslist.org/mcy/d/simi-valley-dirt-bikes-for-sale/7463801330.html,2022-03-27 18:47,Dirt bikes for Sale,0,,,,,,,,,,,,,,,
5057,80.0,ventura,https://ventura.craigslist.org/bop/d/camarillo-thule-bike-rack-bikes/7463669978.html,2022-03-27 12:31,Thule Bike Rack  3 Bikes,2,,,, like new,,,, Thule, pro 3,,,Thule Thruway Pro 3 Rear mounted bike rack Instructions and all accessories  Excellent condition COD Pickup only,,,
5058,25.0,ventura,https://ventura.craigslist.org/bik/d/oxnard-bikes-for-sale/7463403574.html,2022-03-26 16:39,Bikes for sale,2, other/unknown, kids,,,, Small,,,,, other/unknown,"Two bikes for sale, $25 each, the boy’s has one rim a little damage but still works fine   Bicicletas de venta, $25 cada una, la de niño tiene un rim  un poco dañado pero funciona bien.",,,
5059,25.0,ventura,https://ventura.craigslist.org/bop/d/fillmore-new-transit-bike-frame-adapter/7451318365.html,2022-03-26 07:31,NEW Transit Bike Frame Adapter for Women's Children's and BMX Bikes,5,,,,,,,,,,,,"This frame adaptor allows you to hang any bike with no top tube (Women's, Girl's, Children's, BMX ) from a rack on your car or in your home. One end attaches to the stem and the other to the seat post and voila- you have a tube you can hang your bike from. Thule makes the same item, but charges more money for it.  I have only one left.  Please reference ""adapter"" when you email me. I do not respond to ""Is it still available?"" due to all the scammers on CL.",,,
5060,30.0,ventura,https://ventura.craigslist.org/bab/d/port-hueneme-balance-bikes/7449849140.html,2022-03-24 07:06,Balance bikes,3,,,,,,,,,,,,Balance bikes show contact info,,,
