,Price,Neighborhood,URL,Date,bicycleframematerial,bicycletype,framesize,suspension,wheelsize,numimage,text,condition,electricassist,make/manufacturer,modelname/number,braketype,handlebartype,days
0,1900.0,"hudson, fl",https://newyork.craigslist.org/brk/bik/d/hudson-velosolex-2-bikes/7471140556.html,2022-04-14 10:05,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,3
1,300.0,fairfield ct,https://newyork.craigslist.org/fct/bik/d/fairfield-searching-for-80s-90s-bmx/7469059463.html,2022-04-14 10:05,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,3
2,190.0,brooklyn,https://newyork.craigslist.org/brk/bik/d/brooklyn-se-bikes-fixie-bicycle-free/7459512735.html,2022-04-14 10:01,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,3
3,250.0,west village,https://newyork.craigslist.org/mnh/bik/d/new-york-bikes-for-sale/7468978813.html,2022-04-14 08:25,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,3
4,800.0,brooklyn,https://newyork.craigslist.org/brk/bik/d/brooklyn-high-end-modern-vintage-road/7465087779.html,2022-04-14 00:22,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,3
5,250.0,"williamsburg , brooklyn",https://newyork.craigslist.org/brk/bik/d/brooklyn-road-hybrid-bikes-for-sale/7468894034.html,2022-04-14 00:22,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,3
6,300.0,inwood / wash hts,https://newyork.craigslist.org/mnh/bik/d/new-york-vintage-vista-road-bikes/7471040862.html,2022-04-13 22:39,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,3
7,750.0,brooklyn,https://newyork.craigslist.org/brk/bik/d/brooklyn-fuji-sportif-23-racing-bikes/7464634676.html,2022-04-13 22:24,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,3
8,100.0,queens,https://newyork.craigslist.org/que/spo/d/rockaway-park-car-bike-rack-for-bikes/7466422353.html,2022-04-13 18:24,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,3
9,75.0,brooklyn queens manhattan bronx,https://newyork.craigslist.org/brk/mpo/d/astoria-motorcycle-towing-only-for/7470890883.html,2022-04-13 15:52,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,3
10,60.0,brooklyn,https://newyork.craigslist.org/brk/bik/d/brooklyn-nice-hitch-mount-bicycle-rack/7469711138.html,2022-04-13 13:19,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,4
11,200.0,ridgewood,https://newyork.craigslist.org/brk/bik/d/ridgewood-bikes/7467443439.html,2022-04-13 11:54,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,4
12,250.0,manhattan,https://newyork.craigslist.org/mnh/bik/d/brooklyn-raleigh-bikes-jazzi-kids-bike/7467650431.html,2022-04-13 11:05,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,4
13,127.0,upper west side,https://newyork.craigslist.org/mnh/bop/d/new-york-saris-bones-car-trunk-bike/7470726594.html,2022-04-13 10:45,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,4
14,190.0,brooklyn,https://newyork.craigslist.org/brk/bik/d/brooklyn-se-bikes-fixie-bicycle-free/7458315598.html,2022-04-13 09:42,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,4
15,190.0,brooklyn,https://newyork.craigslist.org/brk/bik/d/brooklyn-se-bikes-fixie-bicycle-free/7458148083.html,2022-04-13 09:40,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,4
16,300.0,fairfield ct,https://newyork.craigslist.org/fct/bik/d/fairfield-searching-for-80s-90s-bmx/7460627517.html,2022-04-13 09:39,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,4
17,1.0,staten island,https://newyork.craigslist.org/stn/for/d/staten-island-bikes-weight-bench/7469386305.html,2022-04-13 09:30,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,4
18,50.0,queens,https://newyork.craigslist.org/que/bik/d/howard-beach-mountain-bike-and-vintage/7463497583.html,2022-04-13 08:39,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,4
19,180.0,eastchester,https://newyork.craigslist.org/wch/bik/d/eastchester-bikes-galore/7469754763.html,2022-04-13 07:25,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,4
20,200.0,brooklyn,https://newyork.craigslist.org/brk/bik/d/brooklyn-bmx-bikes-for-sale-gt-haro/7466689729.html,2022-04-13 00:32,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,4
21,200.0,brooklyn,https://newyork.craigslist.org/brk/bik/d/brooklyn-bikes-for-kids-24-trek-giant/7465152007.html,2022-04-13 00:32,other/unknown,other/unknown,other/unknown,0.0,other/unknown,0.0,,other/unknown,0.0,other/unknown,,other/unknown,other/unknown,4
