,price,location,url,date,title,numimage,text,condition,makemanufacturer,modelnamenumber,bicycleframematerial,bicycletype,braketype,electricassist,framesize,handlebartype,suspension,wheelsize,sizedimensions,serialnumber,paintcolor,yearmanufactured,days
0,30.0,auburn,https://auburn.craigslist.org/bop/d/opelika-thule-961xt-speedway-bike-strap/7468966301.html,2022-04-16 09:07,Thule 961XT Speedway Bike Strap Rear Rack Carrier,6.0,"Thule 961XT Speedway - Bike Strap Rear Rack Carrier - Holds 2 Bikes and is designed to prevent bikes from swaying.  Used but still in excellent condition.  The foam has not deteriorated and is fully adjustable depending on your vehicle.  Any cosmetic wear, such as scratches are from normal use.  The item is fully operational and functions as intended.    $30 or best offer. Cash only Thanks for looking!",4,1.0,1.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,10
2,75.0,auburn,https://auburn.craigslist.org/bik/d/auburn-giant-revel-blk-gry-poor/7459186732.html,2022-03-16 17:43,"Giant Revel (BLK, GRY) [Poor condition]",0.0,"Giant Revel Mountain bike left outside, chain rusted, tires rotted, gears not shifting properly. Willing to send pictures and arrange to meet.",1,0.0,0.0,aluminum,mountain,mechanical,0.0,unknown,unknown,0.0,unknown,0,0,0,0,40
3,500.0,auburn,https://bham.craigslist.org/snw/d/talladega-coleman-mini-bikes-bt200x/7472807461.html,2022-04-18 13:02,2 Coleman mini bikes BT200X,0.0,I have 2 Coleman mini bikes that have been sitting. Both will need carbs cleaned and the pull rope on one has been pulled out. Wasn’t rode much just need gone. $500. Text 2zero5 7five3 ninenine45 for any more info.,unknown,0.0,0.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,8
4,42.0,auburn,https://bham.craigslist.org/bik/d/springville-mountain-bikes-children/7472692510.html,2022-04-18 09:36,Mountain bikes / children bikes,18.0,"I have a Vertical PK7 21 speed mountain bike with 26 inch tires for an adult. Nothing wrong with it. Has a kickstand and nice cushioned seat. Asking $65  I have a Magna Excitor 21 speed mountain bike with 26 inch tires for an adult. Has a kickstand and nice cushioned seat. Asking $65  I have a neon green MADD Gear truck bike for kids. Front and back brakes. Nothing wrong with it. Has a kickstand. Asking $25  I have a pacific MTB synergy bicycle for sale. It hasn’t been used in a while so will need the tires aired up etc. It does have gears. It has a kickstand. Asking $15  Call or text 205-4o1-9889, thanks.",unknown,0.0,0.0,alloy,mountain,unknown,0.0,3,unknown,0.0,unknown,0,0,0,0,8
5,100.0,auburn,https://atlanta.craigslist.org/nat/bik/d/suwanee-two-bikes/7460978540.html,2022-04-18 08:41,Two bikes,12.0,"I have a 26 inches man mountain bike and a 26 Inch fitness lady bike for sale. They are both in excellent condition. See attached pictures for details. Asking $100 for the man bike and $70 for the lady bike . comes with everything you see in the pictures. local pickup only. Cash only. All sale are final .  If ad is posted, it is available. Do not ask! text  show contact info  for pick up location.",4,0.0,0.0,alloy,mountain,unknown,0.0,3,unknown,0.0,26,0,0,0,0,8
6,50.0,auburn,https://atlanta.craigslist.org/nat/bik/d/atlanta-new-transit-soft-bike-case/7465619410.html,2022-04-18 03:23,"New TRANSIT Soft Bike Case 48""x34""x7"" fits most bikes",2.0,"600 Denier bag has a durable internal PVC coating for increased weather and abrasion resistance Store your bike at home or on the go with plenty of pockets for pedals, skewers, tools and other small items Large inner wheel dividers to isolate wheels from frame Carry it through the hotel lobby with heavy-duty grab handles or the removable padded shoulder strap  show contact info",unknown,0.0,0.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,8
7,65.0,auburn,https://atlanta.craigslist.org/nat/bab/d/suwanee-minnie-mouse-bikes-for-toddlers/7463253957.html,2022-04-17 22:56,Minnie Mouse Bikes for Toddlers,5.0,Disney 12” Minnie Mouse bikes. Brand new in boxes. Asking $70 OBO. Perfect Easter gift! Two available. Cross posted. Pickup or delivery in Suwanee. 😊,unknown,0.0,0.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,8
8,65.0,auburn,https://atlanta.craigslist.org/nat/bik/d/suwanee-brand-new-minnie-mouse-12/7463258161.html,2022-04-17 22:56,Brand New Minnie Mouse 12” Toddler Bikes,5.0,Disney 12” Minnie Mouse bikes. Brand new in boxes. Asking $70 OBO. Perfect Easter gift! Age 2-4. Two available. Cross posted. Pickup or delivery in Suwanee. 😊  Jackie  show contact info,4,1.0,0.0,aluminum,kids,unknown,0.0,1,unknown,0.0,12,0,0,0,0,8
9,20.0,auburn,https://atlanta.craigslist.org/eat/for/d/grayson-ea-priced-kids-desk-easel/7467781596.html,2022-04-17 20:33,"EA Priced: Kids Desk, Easel, Chairs, Rocker, Bikes & Wagon",14.0,"* ""Todays Kids"" Desk is 21"" tall with seat thats 10"" from floor, Desk Top opens for Storage and can be detatched to carry with you. $20 * ""Crayola Kids"" Tall Easel, Dual Sides for Dry Erase or Chalkboard, Pd 69 asking $30 * 3 Small Blue School Chairs, Sturdy, Seats are 13.5"" from floor, All 3 for $20 & 1 Blue Stool 18"" tall, Very Sturdy $10 * Cute Pink Vanity Stool, Vintage, Metal, 16"" Seat Height, $15 * Small White Rocker with 9.5"" seat, $10 * Blue Wagon by ""Step 2"" with 2 Seats, a little rustic from use but very durable and rolls very well, $20 * Red Boys Bike: ""Rhino Trouble Maker"" 20"" Needs air in tires, $20 * Pink/Aqua Girls Bike: ""Dynacraft Charmer"" 20"" May need air in tires, $20 All at our office in Loganville where they can be sold during the day with help loading.",unknown,0.0,0.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,8
10,30.0,auburn,https://atlanta.craigslist.org/nat/bop/d/cumming-bycyle-carrier-for-an-auto/7468402740.html,2022-04-17 19:26,bycyle  carrier for an auto which will carry 2 bikes,0.0,no pictures it is still in the box  its new,unknown,0.0,0.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,8
